id	tag	word	prev_word	next_word	label	prev_label	next_label	prev_tag	start_w_s	start_w_n
52	G_J	old	wala	and	en	hi	en	G_PRT	0	0
53	CC	and	old	new	en	en	en	G_J	0	0
54	G_J	new	and	mix	en	en	en	CC	0	0
55	G_N	mix	new		en	en		G_J	0	0
56	G_N	IshQ		waLa	hi		hi		0	0
57	G_PRT	waLa	IshQ	||	hi	hi	univ	G_N	0	0
58	G_X	||	waLa	~	univ	hi	univ	G_PRT	0	0
59	G_X	~	||	^ŁøVě^	univ	univ	univ	G_X	0	0
60	G_N	^ŁøVě^	~	~	univ	univ	univ	G_X	0	0
61	G_X	~	^ŁøVě^	||	univ	univ	univ	G_N	0	0
62	G_X	||	~	—	univ	univ	univ	G_X	0	0
63	G_X	—	||	listening	univ	univ	en	G_X	0	0
64	G_V	listening	—	to	en	univ	en	G_X	0	0
65	G_PRT	to	listening	Ishq	en	en	hi	G_V	0	0
66	G_N	Ishq	to	Wala	hi	en	hi	G_PRT	0	0
67	G_PRT	Wala	Ishq	Love	hi	hi	en	G_N	0	0
68	G_N	Love	Wala	(	en	hi	univ	G_PRT	0	0
69	G_X	(	Love	From	univ	en	en	G_N	0	0
70	PSP	From	(	double_quotes	en	univ	univ	G_X	0	0
71	G_X	double_quotes	From	Student	univ	en	en	PSP	0	0
72	G_N	Student	double_quotes	of	en	univ	en	G_X	0	0
73	PSP	of	Student	the	en	en	en	G_N	0	0
74	DT	the	of	Year	en	en	en	PSP	0	0
75	G_N	Year	the	double_quotes	en	en	univ	DT	0	0
76	G_X	double_quotes	Year	)	univ	en	univ	G_N	0	0
77	G_X	)	double_quotes	The	univ	univ	en	G_X	0	0
78	DT	The	)	DJ	en	univ	acro	G_X	0	0
79	G_N	DJ	The	Suketu	acro	en	ne	DT	0	0
80	G_N	Suketu	DJ	Lounge	ne	acro	en	G_N	0	0
81	G_N	Lounge	Suketu	Mix	en	ne	en	G_N	0	0
82	G_N	Mix	Lounge		en	en		G_N	0	0
83	@	@Tina32kaur		it	univ		en		1	0
84	G_PRP	it	@Tina32kaur	is	en	univ	en	@	0	0
85	G_V	is	it	indeed	en	en	en	G_PRP	0	0
86	G_R	indeed	is	,	en	en	univ	G_V	0	0
87	G_X	,	indeed	when	univ	en	en	G_R	0	0
88	G_R	when	,	its	en	univ	en	G_X	0	0
89	DT	its	when	possible	en	en	en	G_R	0	0
90	G_J	possible	its	play	en	en	en	DT	0	0
91	G_V	play	possible	a	en	en	en	G_J	0	0
92	DT	a	play	lovely	en	en	en	G_V	0	0
93	G_J	lovely	a	bacha	en	en	hi	DT	0	0
94	G_N	bacha	lovely	wala	hi	en	hi	G_J	0	0
95	G_PRT	wala	bacha	track	hi	hi	en	G_N	0	0
96	G_N	track	wala	for	en	hi	en	G_PRT	0	0
97	PSP	for	track	me	en	en	en	G_N	0	0
98	G_PRP	me	for	:)	en	en	univ	PSP	0	0
99	E	:)	me	Am	univ	en	en	G_PRP	0	0
100	G_N	Am	:)	having	en	univ	en	E	0	0
101	G_V	having	Am	serious	en	en	en	G_N	0	0
102	G_J	serious	having	mix	en	en	en	G_V	0	0
103	G_N	mix	serious	emotions	en	en	en	G_J	0	0
104	G_N	emotions	mix	these	en	en	en	G_N	0	0
105	G_PRP	these	emotions	days	en	en	en	G_N	0	0
106	G_N	days	these	.	en	en	univ	G_PRP	0	0
107	G_X	.	days		univ	en		G_N	0	0
108	@	@SRKswarrior1		Bhai	univ		hi		1	0
109	G_N	Bhai	@SRKswarrior1	Koi	hi	univ	hi	@	0	0
110	G_PRP	Koi	Bhai	pehchan	hi	hi	hi	G_N	0	0
111	G_N	pehchan	Koi	wala	hi	hi	hi	G_PRP	0	0
112	G_PRT	wala	pehchan	Jo	hi	hi	hi	G_N	0	0
113	G_PRP	Jo	wala	...	hi	hi	univ	G_PRT	0	0
114	G_X	...	Jo	songs	univ	hi	en	G_PRP	0	0
115	G_N	songs	...	compile	en	univ	en	G_X	0	0
116	G_V	compile	songs	kr	en	en	hi	G_N	0	0
117	G_V	kr	compile	le	hi	en	hi	G_V	0	0
118	G_V	le	kr	kl	hi	hi	hi	G_V	0	0
119	G_N	kl	le	sis	hi	hi	en	G_V	0	0
120	G_N	sis	kl	ka	en	hi	hi	G_N	0	0
121	PSP	ka	sis	dance	hi	en	en	G_N	0	0
122	G_N	dance	ka	competition	en	hi	en	PSP	0	0
123	G_N	competition	dance	he	en	en	hi	G_N	0	0
124	G_V	he	competition	....	hi	en	univ	G_N	0	0
125	G_X	....	he	teeno	univ	hi	hi	G_V	0	0
126	G_SYM	teeno	....	mix	hi	univ	en	G_X	0	0
127	G_N	mix	teeno	krne	en	hi	hi	G_SYM	0	0
128	G_V	krne	mix	hein	hi	en	hi	G_N	0	0
129	G_V	hein	krne	without	hi	hi	en	G_V	0	0
130	PSP	without	hein	pause	en	hi	en	G_V	0	0
131	G_V	pause	without		en	en		PSP	0	0
132	G_PRP	Ye		Veet	hi		ne		0	0
133	G_N	Veet	Ye	ke	ne	hi	hi	G_PRP	0	0
134	PSP	ke	Veet	.	hi	ne	univ	G_N	0	0
135	G_X	.	ke	ad	univ	hi	en	PSP	0	0
136	G_N	ad	.	.	en	univ	univ	G_X	0	0
137	G_X	.	ad	main	univ	en	hi	G_N	0	0
138	PSP	main	.	wo	hi	univ	hi	G_X	0	0
139	G_PRP	wo	main	ladki	hi	hi	hi	PSP	0	0
140	G_N	ladki	wo	kitni	hi	hi	hi	G_PRP	0	0
141	G_R	kitni	ladki	gandhi	hi	hi	hi	G_N	0	0
142	G_N	gandhi	kitni	aur	hi	hi	hi	G_R	0	0
143	CC	aur	gandhi	over	hi	hi	en	G_N	0	0
144	PSP	over	aur	acting	en	hi	en	CC	0	0
145	G_V	acting	over	karti	en	en	hi	PSP	0	0
146	G_V	karti	acting	hai	hi	en	hi	G_V	0	0
147	G_V	hai	karti	.	hi	hi	univ	G_V	0	0
148	G_X	.	hai	Ye	univ	hi	hi	G_V	0	0
149	G_PRP	Ye	.	girl	hi	univ	en	G_X	0	0
150	G_N	girl	Ye	models	en	hi	en	G_PRP	0	0
151	G_N	models	girl	ko	en	en	hi	G_N	0	0
152	PSP	ko	models	itni	hi	en	hi	G_N	0	0
153	G_R	itni	ko	Galatfahmi	hi	hi	hi	PSP	0	0
154	G_J	Galatfahmi	itni	kyon	hi	hi	hi	G_R	0	0
155	G_PRP	kyon	Galatfahmi	hoti	hi	hi	hi	G_J	0	0
156	G_V	hoti	kyon	hai	hi	hi	hi	G_PRP	0	0
157	G_V	hai	hoti	ki	hi	hi	hi	G_V	0	0
158	PSP	ki	hai	wo	hi	hi	hi	G_V	0	0
159	G_PRP	wo	ki	badi	hi	hi	hi	PSP	0	0
160	G_J	badi	wo	actress	hi	hi	en	G_PRP	0	0
161	G_N	actress	badi	hain	en	hi	hi	G_J	0	0
162	G_V	hain	actress		hi	en		G_N	0	0
163	G_N	Life		Ok	en		en		0	0
164	G_N	Ok	Life	Dream	en	en	en	G_N	0	0
165	G_J	Dream	Ok	Girl	en	en	en	G_N	0	0
166	G_N	Girl	Dream	Ek	en	en	hi	G_J	0	0
167	G_SYM	Ek	Girl	Ladki	hi	en	hi	G_N	0	0
168	G_N	Ladki	Ek	Deewani	hi	hi	hi	G_SYM	0	0
169	G_J	Deewani	Ladki	Si	hi	hi	hi	G_N	0	0
170	PSP	Si	Deewani	Upcoming	hi	hi	en	G_J	0	0
171	G_J	Upcoming	Si	Tv	en	hi	acro	PSP	0	0
172	G_N	Tv	Upcoming	show	acro	en	en	G_J	0	0
173	G_N	show	Tv	Story	en	acro	en	G_N	0	0
174	G_N	Story	show	|	en	en	univ	G_N	0	0
175	G_X	|	Story	Star	univ	en	en	G_N	0	0
176	G_N	Star	|	Cast	en	univ	en	G_X	0	0
177	G_N	Cast	Star	|	en	en	univ	G_N	0	0
178	G_X	|	Cast	Timing	univ	en	en	G_N	0	0
179	G_N	Timing	|	|	en	univ	univ	G_X	0	0
180	G_X	|	Timing	Promo	univ	en	en	G_N	0	0
181	G_N	Promo	|	Wiki	en	univ	ne	G_X	0	0
182	G_N	Wiki	Promo	|	ne	en	univ	G_N	0	0
183	G_X	|	Wiki	Ne	univ	ne	hi	G_N	0	0
184	G_N	Ne	|	http://t.co/X9AhZRRPiD	hi	univ	univ	G_X	0	0
185	U	http://t.co/X9AhZRRPiD	Ne		univ	hi		G_N	0	0
186	$	1		Ladke	univ		hi		0	1
187	G_N	Ladke	1	Ne	hi	univ	hi	$	0	0
188	PSP	Ne	Ladke	ek	hi	hi	hi	G_N	0	0
189	G_SYM	ek	Ne	Ladki	hi	hi	hi	PSP	0	0
190	G_N	Ladki	ek	Ko	hi	hi	hi	G_SYM	0	0
191	PSP	Ko	Ladki	Call	hi	hi	en	G_N	0	0
192	G_V	Call	Ko	Ki	en	hi	hi	PSP	0	0
193	PSP	Ki	Call	Boy	hi	en	en	G_V	0	0
194	G_N	Boy	Ki	:	en	hi	univ	PSP	0	0
195	G_X	:	Boy	I	univ	en	en	G_N	0	0
196	G_PRP	I	:	LOVE	en	univ	en	G_X	0	0
197	G_V	LOVE	I	U	en	en	en	G_PRP	0	0
198	G_PRP	U	LOVE	Jaan	en	en	hi	G_V	0	0
199	G_N	Jaan	U	Girl-Sacchi	hi	en	mixed	G_PRP	0	0
200	G_N	Girl-Sacchi	Jaan	Boy-Mucchi	mixed	hi	mixed	G_N	0	0
201	G_N	Boy-Mucchi	Girl-Sacchi	Girl	mixed	mixed	en	G_N	0	0
202	G_N	Girl	Boy-Mucchi	:	en	mixed	univ	G_N	0	0
203	G_X	:	Girl	ek	univ	en	hi	G_N	0	0
204	G_SYM	ek	:	100ka	hi	univ	univ	G_X	0	0
205	G_SYM	100ka	ek	Recharge	univ	hi	en	G_SYM	0	0
206	G_V	Recharge	100ka	Krwa	en	univ	hi	G_SYM	0	0
207	G_V	Krwa	Recharge	Do	hi	en	hi	G_V	0	0
208	G_V	Do	Krwa	Plz	hi	hi	en	G_V	0	0
209	G_R	Plz	Do	Boy-Sorry	en	hi	en	G_V	0	0
210	G_N	Boy-Sorry	Plz	Didi	en	en	hi	G_R	0	0
211	G_N	Didi	Boy-Sorry	Rong	hi	en	en	G_N	0	0
212	G_J	Rong	Didi	Number	en	hi	en	G_N	0	0
213	G_N	Number	Rong	.	en	en	univ	G_J	0	0
214	G_X	.	Number		univ	en		G_N	0	0
215	G_N	Boy		:	en		univ		0	0
216	G_X	:	Boy	Tum	univ	en	hi	G_N	0	0
217	G_PRP	Tum	:	Ladki	hi	univ	hi	G_X	0	0
218	G_N	Ladki	Tum	Ho	hi	hi	hi	G_PRP	0	0
219	G_V	Ho	Ladki	Ke	hi	hi	hi	G_N	0	0
220	PSP	Ke	Ho	Sharab	hi	hi	hi	G_V	0	0
221	G_N	Sharab	Ke	Peeti	hi	hi	hi	PSP	0	0
222	G_V	Peeti	Sharab	Ho	hi	hi	hi	G_N	0	0
223	G_V	Ho	Peeti	??	hi	hi	univ	G_V	0	0
224	G_X	??	Ho	Awesome	univ	hi	en	G_V	0	0
225	G_J	Awesome	??	reply	en	univ	en	G_X	0	0
226	G_V	reply	Awesome	by	en	en	en	G_J	0	0
227	PSP	by	reply	Girl	en	en	en	G_V	0	0
228	G_N	Girl	by	:	en	en	univ	PSP	0	0
229	G_X	:	Girl	To	univ	en	hi	G_N	0	0
230	G_PRT	To	:	Kya	hi	univ	hi	G_X	0	0
231	G_PRP	Kya	To	2-4	hi	hi	univ	G_PRT	0	0
232	$	2-4	Kya	Peg	univ	hi	hi	G_PRP	0	1
233	G_N	Peg	2-4	Ke	hi	univ	hi	$	0	0
234	PSP	Ke	Peg	Liye	hi	hi	hi	G_N	0	0
235	PSP	Liye	Ke	Gender	hi	hi	en	PSP	0	0
236	G_N	Gender	Liye	Change	en	hi	en	PSP	0	0
237	G_V	Change	Gender	Karwaun	en	en	hi	G_N	0	0
238	G_V	Karwaun	Change	???	hi	en	univ	G_V	0	0
239	G_X	???	Karwaun		univ	hi		G_V	0	0
240	$	1		Ladke	univ		hi		0	1
241	G_N	Ladke	1	Ne	hi	univ	hi	$	0	0
242	PSP	Ne	Ladke	ek	hi	hi	hi	G_N	0	0
243	G_SYM	ek	Ne	Ladki	hi	hi	hi	PSP	0	0
244	G_N	Ladki	ek	Ko	hi	hi	hi	G_SYM	0	0
245	PSP	Ko	Ladki	Call	hi	hi	en	G_N	0	0
246	G_V	Call	Ko	Ki	en	hi	hi	PSP	0	0
247	G_V	Ki	Call	.	hi	en	univ	G_V	0	0
248	G_X	.	Ki	Boy	univ	hi	en	G_V	0	0
249	G_N	Boy	.	:	en	univ	univ	G_X	0	0
250	G_X	:	Boy	I	univ	en	en	G_N	0	0
251	G_PRP	I	:	LOVE	en	univ	en	G_X	0	0
252	G_V	LOVE	I	U	en	en	en	G_PRP	0	0
253	G_PRP	U	LOVE	Jaan	en	en	hi	G_V	0	0
254	G_N	Jaan	U	.	hi	en	univ	G_PRP	0	0
255	G_X	.	Jaan	Girl	univ	hi	en	G_N	0	0
256	G_N	Girl	.	:	en	univ	univ	G_X	0	0
257	G_X	:	Girl	Sacchi	univ	en	hi	G_N	0	0
258	G_N	Sacchi	:	.	hi	univ	univ	G_X	0	0
259	G_X	.	Sacchi	Boy	univ	hi	en	G_N	0	0
260	G_N	Boy	.	:	en	univ	univ	G_X	0	0
261	G_X	:	Boy	Mucchi	univ	en	hi	G_N	0	0
262	G_N	Mucchi	:	.	hi	univ	univ	G_X	0	0
263	G_X	.	Mucchi	Girl	univ	hi	en	G_N	0	0
264	G_N	Girl	.	:	en	univ	univ	G_X	0	0
265	G_X	:	Girl	ek	univ	en	hi	G_N	0	0
266	G_SYM	ek	:	100ka	hi	univ	univ	G_X	0	0
267	G_SYM	100ka	ek	Recharge	univ	hi	en	G_SYM	0	0
268	G_V	Recharge	100ka	Krwa	en	univ	hi	G_SYM	0	0
269	G_V	Krwa	Recharge	...	hi	en	univ	G_V	0	0
270	G_X	...	Krwa	http://t.co/fBVr0axApf	univ	hi	univ	G_V	0	0
271	U	http://t.co/fBVr0axApf	...		univ	univ		G_X	0	0
272	G_J	Brilliant		Answer	en		en		0	0
273	G_N	Answer	Brilliant	By	en	en	en	G_J	0	0
274	PSP	By	Answer	Boy	en	en	en	G_N	0	0
275	G_N	Boy	By	Friend	en	en	en	PSP	0	0
276	G_N	Friend	Boy	on	en	en	en	G_N	0	0
277	PSP	on	Friend	Break	en	en	en	G_N	0	0
278	G_N	Break	on	Up	en	en	en	PSP	0	0
279	PSP	Up	Break	…	en	en	univ	G_N	0	0
280	G_X	…	Up	.	univ	en	univ	PSP	0	0
281	G_X	.	…	Girl	univ	univ	en	G_X	0	0
282	G_N	Girl	.	;	en	univ	univ	G_X	0	0
283	G_X	;	Girl	Tumhe	univ	en	hi	G_N	0	0
284	G_PRP	Tumhe	;	Mere	hi	univ	hi	G_X	0	0
285	G_PRP	Mere	Tumhe	Jaisi	hi	hi	hi	G_PRP	0	0
286	G_R	Jaisi	Mere	Ladki	hi	hi	hi	G_PRP	0	0
287	G_N	Ladki	Jaisi	Nahi	hi	hi	hi	G_R	0	0
288	G_PRT	Nahi	Ladki	Milegi	hi	hi	hi	G_N	0	0
289	G_V	Milegi	Nahi	.	hi	hi	univ	G_PRT	0	0
290	G_X	.	Milegi	.	univ	hi	univ	G_V	0	0
291	G_X	.	.	.	univ	univ	univ	G_X	0	0
292	G_X	.	.	.	univ	univ	univ	G_X	0	0
293	G_X	.	.	.	univ	univ	univ	G_X	0	0
294	G_X	.	.	Boy	univ	univ	en	G_X	0	0
295	G_N	Boy	.	;	en	univ	univ	G_X	0	0
296	G_X	;	Boy	Chill	univ	en	en	G_N	0	0
297	G_V	Chill	;	...	en	univ	univ	G_X	0	0
298	G_X	...	Chill	http://t.co/G6mF9fWFLQ	univ	en	univ	G_V	0	0
299	U	http://t.co/G6mF9fWFLQ	...		univ	univ		G_X	0	0
300	G_N	Boy		:	en		univ		0	0
301	G_X	:	Boy	Tum	univ	en	hi	G_N	0	0
302	G_PRP	Tum	:	Ladki	hi	univ	hi	G_X	0	0
303	G_N	Ladki	Tum	Ho	hi	hi	hi	G_PRP	0	0
304	G_PRT	Ho	Ladki	Ke	hi	hi	hi	G_N	0	0
305	PSP	Ke	Ho	Sharab	hi	hi	hi	G_PRT	0	0
306	G_N	Sharab	Ke	Peeti	hi	hi	hi	PSP	0	0
307	G_V	Peeti	Sharab	Ho	hi	hi	hi	G_N	0	0
308	G_V	Ho	Peeti	??	hi	hi	univ	G_V	0	0
309	G_X	??	Ho	Awesome	univ	hi	en	G_V	0	0
310	G_J	Awesome	??	reply	en	univ	en	G_X	0	0
311	G_V	reply	Awesome	by	en	en	en	G_J	0	0
312	PSP	by	reply	Girl	en	en	en	G_V	0	0
313	G_N	Girl	by	:	en	en	univ	PSP	0	0
314	G_X	:	Girl	To	univ	en	hi	G_N	0	0
315	G_PRT	To	:	Kya	hi	univ	hi	G_X	0	0
316	G_PRP	Kya	To	2-4	hi	hi	univ	G_PRT	0	0
317	$	2-4	Kya	Peg	univ	hi	hi	G_PRP	0	1
318	G_N	Peg	2-4	Ke	hi	univ	hi	$	0	0
319	PSP	Ke	Peg	Liye	hi	hi	hi	G_N	0	0
320	PSP	Liye	Ke	Gender	hi	hi	en	PSP	0	0
321	G_N	Gender	Liye	Change	en	hi	en	PSP	0	0
322	G_V	Change	Gender	Karwaun	en	en	hi	G_N	0	0
323	G_V	Karwaun	Change	???	hi	en	univ	G_V	0	0
324	G_X	???	Karwaun	#IndvsSA	univ	hi	univ	G_V	0	0
325	#	#IndvsSA	???	#MaukaMauka	univ	univ	univ	G_X	1	0
326	#	#MaukaMauka	#IndvsSA		univ	univ		#	1	0
327	G_N	Boy		-	en		univ		0	0
328	G_X	-	Boy	badlapur	univ	en	hi	G_N	0	0
329	G_N	badlapur	-	dekhne	hi	univ	hi	G_X	0	0
330	G_V	dekhne	badlapur	chale	hi	hi	hi	G_N	0	0
331	G_V	chale	dekhne	Girl	hi	hi	en	G_V	0	0
332	G_N	Girl	chale	-	en	hi	univ	G_V	0	0
333	G_X	-	Girl	M	univ	en	en	G_N	0	0
334	G_PRP	M	-	watching	en	univ	en	G_X	0	0
335	G_V	watching	M	india	en	en	en	G_PRP	0	0
336	G_N	india	watching	vs	en	en	en	G_V	0	0
337	PSP	vs	india	sa	en	en	acro	G_N	0	0
338	G_N	sa	vs	Boy	acro	en	en	PSP	0	0
339	G_N	Boy	sa	(	en	acro	univ	G_N	0	0
340	G_X	(	Boy	calls	univ	en	en	G_N	0	0
341	G_V	calls	(	his	en	univ	en	G_X	0	0
342	G_PRP	his	calls	mom	en	en	en	G_V	0	0
343	G_N	mom	his	)	en	en	univ	G_PRP	0	0
344	G_X	)	mom	-	univ	en	univ	G_N	0	0
345	G_X	-	)	Maa	univ	univ	hi	G_X	0	0
346	G_N	Maa	-	,	hi	univ	univ	G_X	0	0
347	G_X	,	Maa	maine	univ	hi	hi	G_N	0	0
348	G_PRP	maine	,	ladki	hi	univ	hi	G_X	0	0
349	G_N	ladki	maine	dhoond	hi	hi	hi	G_PRP	0	0
350	G_V	dhoond	ladki	lee	hi	hi	hi	G_N	0	0
351	PSP	lee	dhoond	...	hi	hi	univ	G_V	0	0
352	G_X	...	lee		univ	hi		PSP	0	0
353	G_J	Brilliant		Answer	en		en		0	0
354	G_N	Answer	Brilliant	By	en	en	en	G_J	0	0
355	PSP	By	Answer	Boy	en	en	en	G_N	0	0
356	G_N	Boy	By	Friend	en	en	en	PSP	0	0
357	G_N	Friend	Boy	on	en	en	en	G_N	0	0
358	PSP	on	Friend	Break	en	en	en	G_N	0	0
359	G_N	Break	on	Up	en	en	en	PSP	0	0
360	PSP	Up	Break	…	en	en	univ	G_N	0	0
361	G_X	…	Up	.	univ	en	univ	PSP	0	0
362	G_X	.	…	Girl	univ	univ	en	G_X	0	0
363	G_N	Girl	.	;	en	univ	univ	G_X	0	0
364	G_X	;	Girl	Tumhe	univ	en	hi	G_N	0	0
365	G_PRP	Tumhe	;	Mere	hi	univ	hi	G_X	0	0
366	G_PRP	Mere	Tumhe	Jaisi	hi	hi	hi	G_PRP	0	0
367	G_R	Jaisi	Mere	Ladki	hi	hi	hi	G_PRP	0	0
368	G_N	Ladki	Jaisi	Nahi	hi	hi	hi	G_R	0	0
369	G_PRT	Nahi	Ladki	Milegi	hi	hi	hi	G_N	0	0
370	G_V	Milegi	Nahi	.	hi	hi	univ	G_PRT	0	0
371	G_X	.	Milegi	.	univ	hi	univ	G_V	0	0
372	G_X	.	.	.	univ	univ	univ	G_X	0	0
373	G_X	.	.	.	univ	univ	univ	G_X	0	0
374	G_X	.	.	.	univ	univ	univ	G_X	0	0
375	G_X	.	.	Boy	univ	univ	en	G_X	0	0
376	G_N	Boy	.	;	en	univ	univ	G_X	0	0
377	G_X	;	Boy	Chill	univ	en	en	G_N	0	0
378	G_V	Chill	;	...	en	univ	univ	G_X	0	0
379	G_X	...	Chill	http://t.co/tfdsDe3g50	univ	en	univ	G_V	0	0
380	U	http://t.co/tfdsDe3g50	...		univ	univ		G_X	0	0
381	$	1		Ladke	univ		hi		0	1
382	G_N	Ladke	1	Ne	hi	univ	hi	$	0	0
383	PSP	Ne	Ladke	ek	hi	hi	hi	G_N	0	0
384	G_SYM	ek	Ne	Ladki	hi	hi	hi	PSP	0	0
385	G_N	Ladki	ek	Ko	hi	hi	hi	G_SYM	0	0
386	PSP	Ko	Ladki	Call	hi	hi	en	G_N	0	0
387	G_V	Call	Ko	Ki	en	hi	hi	PSP	0	0
388	G_V	Ki	Call	Boy	hi	en	en	G_V	0	0
389	G_N	Boy	Ki	:	en	hi	univ	G_V	0	0
390	G_X	:	Boy	I	univ	en	en	G_N	0	0
391	G_PRP	I	:	LOVE	en	univ	en	G_X	0	0
392	G_V	LOVE	I	U	en	en	en	G_PRP	0	0
393	G_PRP	U	LOVE	Jaan	en	en	en	G_V	0	0
394	G_N	Jaan	U	Girl	en	en	en	G_PRP	0	0
395	G_N	Girl	Jaan	:	en	en	univ	G_N	0	0
396	G_X	:	Girl	Sacchi	univ	en	hi	G_N	0	0
397	G_N	Sacchi	:	Boy	hi	univ	en	G_X	0	0
398	G_N	Boy	Sacchi	:	en	hi	univ	G_N	0	0
399	G_X	:	Boy	Mucchi	univ	en	hi	G_N	0	0
400	G_N	Mucchi	:	Girl	hi	univ	en	G_X	0	0
401	G_N	Girl	Mucchi	:	en	hi	univ	G_N	0	0
402	G_X	:	Girl	ek	univ	en	hi	G_N	0	0
403	G_SYM	ek	:	100ka	hi	univ	univ	G_X	0	0
404	G_SYM	100ka	ek	Recharge	univ	hi	en	G_SYM	0	0
405	G_V	Recharge	100ka	Krwa	en	univ	hi	G_SYM	0	0
406	G_V	Krwa	Recharge	Do	hi	en	hi	G_V	0	0
407	G_V	Do	Krwa	Plz	hi	hi	en	G_V	0	0
408	G_R	Plz	Do	...	en	hi	univ	G_V	0	0
409	G_X	...	Plz	http://t.co/lGuAKigGOX	univ	en	univ	G_R	0	0
410	U	http://t.co/lGuAKigGOX	...		univ	univ		G_X	0	0
411	@	@kkundra		lol	univ		univ		1	0
412	G_PRT	lol	@kkundra	ladki	univ	univ	hi	@	0	0
413	G_N	ladki	lol	mil	hi	univ	hi	G_PRT	0	0
414	G_V	mil	ladki	gyi	hi	hi	hi	G_N	0	0
415	G_V	gyi	mil	..	hi	hi	univ	G_V	0	0
416	G_X	..	gyi	Martina	univ	hi	ne	G_V	0	0
417	G_N	Martina	..	here	ne	univ	en	G_X	0	0
418	G_R	here	Martina	you	en	ne	en	G_N	0	0
419	G_PRP	you	here	go	en	en	en	G_R	0	0
420	G_V	go	you	girl	en	en	en	G_PRP	0	0
421	G_N	girl	go	..	en	en	univ	G_V	0	0
422	G_X	..	girl	hahha	univ	en	univ	G_N	0	0
423	G_PRT	hahha	..	shit	univ	univ	en	G_X	0	0
424	G_PRT	shit	hahha	#Roadies	en	univ	univ	G_PRT	0	0
425	#	#Roadies	shit		univ	en		G_PRT	1	0
426	G_N	Boy		:	en		univ		0	0
427	G_X	:	Boy	-	univ	en	univ	G_N	0	0
428	G_X	-	:	I	univ	univ	en	G_X	0	0
429	G_PRP	I	-	Love	en	univ	en	G_X	0	0
