id	tag	word	prev_word	label
72	G_N	Student	double_quotes	en
73	PSP	of	Student	en
74	DT	the	of	en
75	G_N	Year	the	en
76	G_X	double_quotes	Year	univ
77	G_X	)	double_quotes	univ
78	DT	The	)	en
79	G_N	DJ	The	acro
80	G_N	Suketu	DJ	ne
81	G_N	Lounge	Suketu	en
82	G_N	Mix	Lounge	en
83	@	@Tina32kaur		univ
84	G_PRP	it	@Tina32kaur	en
85	G_V	is	it	en
86	G_R	indeed	is	en
87	G_X	,	indeed	univ
88	G_R	when	,	en
89	DT	its	when	en
90	G_J	possible	its	en
91	G_V	play	possible	en
92	DT	a	play	en
93	G_J	lovely	a	en
94	G_N	bacha	lovely	hi
95	G_PRT	wala	bacha	hi
96	G_N	track	wala	en
97	PSP	for	track	en
98	G_PRP	me	for	en
99	E	:)	me	univ
100	G_N	Am	:)	en
101	G_V	having	Am	en
102	G_J	serious	having	en
103	G_N	mix	serious	en
104	G_N	emotions	mix	en
105	G_PRP	these	emotions	en
106	G_N	days	these	en
107	G_X	.	days	univ
108	@	@SRKswarrior1		univ
109	G_N	Bhai	@SRKswarrior1	hi
110	G_PRP	Koi	Bhai	hi
111	G_N	pehchan	Koi	hi
112	G_PRT	wala	pehchan	hi
113	G_PRP	Jo	wala	hi
114	G_X	...	Jo	univ
115	G_N	songs	...	en
116	G_V	compile	songs	en
117	G_V	kr	compile	hi
118	G_V	le	kr	hi
119	G_N	kl	le	hi
120	G_N	sis	kl	en
121	PSP	ka	sis	hi
122	G_N	dance	ka	en
123	G_N	competition	dance	en
124	G_V	he	competition	hi
125	G_X	....	he	univ
126	G_SYM	teeno	....	hi
127	G_N	mix	teeno	en
128	G_V	krne	mix	hi
129	G_V	hein	krne	hi
130	PSP	without	hein	en
131	G_V	pause	without	en
132	G_PRP	Ye		hi
133	G_N	Veet	Ye	ne
134	PSP	ke	Veet	hi
135	G_X	.	ke	univ
136	G_N	ad	.	en
137	G_X	.	ad	univ
138	PSP	main	.	hi
139	G_PRP	wo	main	hi
140	G_N	ladki	wo	hi
141	G_R	kitni	ladki	hi
142	G_N	gandhi	kitni	hi
143	CC	aur	gandhi	hi
144	PSP	over	aur	en
145	G_V	acting	over	en
146	G_V	karti	acting	hi
147	G_V	hai	karti	hi
148	G_X	.	hai	univ
149	G_PRP	Ye	.	hi
150	G_N	girl	Ye	en
151	G_N	models	girl	en
152	PSP	ko	models	hi
153	G_R	itni	ko	hi
154	G_J	Galatfahmi	itni	hi
155	G_PRP	kyon	Galatfahmi	hi
156	G_V	hoti	kyon	hi
157	G_V	hai	hoti	hi
158	PSP	ki	hai	hi
159	G_PRP	wo	ki	hi
160	G_J	badi	wo	hi
161	G_N	actress	badi	en
162	G_V	hain	actress	hi
163	G_N	Life		en
164	G_N	Ok	Life	en
165	G_J	Dream	Ok	en
166	G_N	Girl	Dream	en
167	G_SYM	Ek	Girl	hi
168	G_N	Ladki	Ek	hi
169	G_J	Deewani	Ladki	hi
170	PSP	Si	Deewani	hi
171	G_J	Upcoming	Si	en
172	G_N	Tv	Upcoming	acro
173	G_N	show	Tv	en
174	G_N	Story	show	en
175	G_X	|	Story	univ
176	G_N	Star	|	en
177	G_N	Cast	Star	en
178	G_X	|	Cast	univ
179	G_N	Timing	|	en
180	G_X	|	Timing	univ
181	G_N	Promo	|	en
182	G_N	Wiki	Promo	ne
183	G_X	|	Wiki	univ
184	G_N	Ne	|	hi
185	U	http://t.co/X9AhZRRPiD	Ne	univ
186	$	1		univ
187	G_N	Ladke	1	hi
188	PSP	Ne	Ladke	hi
189	G_SYM	ek	Ne	hi
190	G_N	Ladki	ek	hi
191	PSP	Ko	Ladki	hi
192	G_V	Call	Ko	en
193	PSP	Ki	Call	hi
194	G_N	Boy	Ki	en
195	G_X	:	Boy	univ
196	G_PRP	I	:	en
197	G_V	LOVE	I	en
198	G_PRP	U	LOVE	en
199	G_N	Jaan	U	hi
200	G_N	Girl-Sacchi	Jaan	mixed
201	G_N	Boy-Mucchi	Girl-Sacchi	mixed
202	G_N	Girl	Boy-Mucchi	en
203	G_X	:	Girl	univ
204	G_SYM	ek	:	hi
205	G_SYM	100ka	ek	univ
206	G_V	Recharge	100ka	en
207	G_V	Krwa	Recharge	hi
208	G_V	Do	Krwa	hi
209	G_R	Plz	Do	en
210	G_N	Boy-Sorry	Plz	en
211	G_N	Didi	Boy-Sorry	hi
212	G_J	Rong	Didi	en
213	G_N	Number	Rong	en
214	G_X	.	Number	univ
215	G_N	Boy		en
216	G_X	:	Boy	univ
217	G_PRP	Tum	:	hi
218	G_N	Ladki	Tum	hi
219	G_V	Ho	Ladki	hi
220	PSP	Ke	Ho	hi
221	G_N	Sharab	Ke	hi
222	G_V	Peeti	Sharab	hi
223	G_V	Ho	Peeti	hi
224	G_X	??	Ho	univ
225	G_J	Awesome	??	en
226	G_V	reply	Awesome	en
227	PSP	by	reply	en
228	G_N	Girl	by	en
229	G_X	:	Girl	univ
230	G_PRT	To	:	hi
231	G_PRP	Kya	To	hi
232	$	2-4	Kya	univ
233	G_N	Peg	2-4	hi
234	PSP	Ke	Peg	hi
235	PSP	Liye	Ke	hi
236	G_N	Gender	Liye	en
237	G_V	Change	Gender	en
238	G_V	Karwaun	Change	hi
239	G_X	???	Karwaun	univ
240	$	1		univ
241	G_N	Ladke	1	hi
242	PSP	Ne	Ladke	hi
243	G_SYM	ek	Ne	hi
244	G_N	Ladki	ek	hi
245	PSP	Ko	Ladki	hi
246	G_V	Call	Ko	en
247	G_V	Ki	Call	hi
248	G_X	.	Ki	univ
249	G_N	Boy	.	en
250	G_X	:	Boy	univ
251	G_PRP	I	:	en
252	G_V	LOVE	I	en
253	G_PRP	U	LOVE	en
254	G_N	Jaan	U	hi
255	G_X	.	Jaan	univ
256	G_N	Girl	.	en
257	G_X	:	Girl	univ
258	G_N	Sacchi	:	hi
259	G_X	.	Sacchi	univ
260	G_N	Boy	.	en
261	G_X	:	Boy	univ
262	G_N	Mucchi	:	hi
263	G_X	.	Mucchi	univ
264	G_N	Girl	.	en
265	G_X	:	Girl	univ
266	G_SYM	ek	:	hi
267	G_SYM	100ka	ek	univ
268	G_V	Recharge	100ka	en
269	G_V	Krwa	Recharge	hi
270	G_X	...	Krwa	univ
271	U	http://t.co/fBVr0axApf	...	univ
272	G_J	Brilliant		en
273	G_N	Answer	Brilliant	en
274	PSP	By	Answer	en
275	G_N	Boy	By	en
276	G_N	Friend	Boy	en
277	PSP	on	Friend	en
278	G_N	Break	on	en
279	PSP	Up	Break	en
280	G_X	…	Up	univ
281	G_X	.	…	univ
282	G_N	Girl	.	en
283	G_X	;	Girl	univ
284	G_PRP	Tumhe	;	hi
285	G_PRP	Mere	Tumhe	hi
286	G_R	Jaisi	Mere	hi
287	G_N	Ladki	Jaisi	hi
288	G_PRT	Nahi	Ladki	hi
289	G_V	Milegi	Nahi	hi
290	G_X	.	Milegi	univ
291	G_X	.	.	univ
292	G_X	.	.	univ
293	G_X	.	.	univ
294	G_X	.	.	univ
295	G_N	Boy	.	en
296	G_X	;	Boy	univ
297	G_V	Chill	;	en
298	G_X	...	Chill	univ
299	U	http://t.co/G6mF9fWFLQ	...	univ
300	G_N	Boy		en
301	G_X	:	Boy	univ
302	G_PRP	Tum	:	hi
303	G_N	Ladki	Tum	hi
304	G_PRT	Ho	Ladki	hi
305	PSP	Ke	Ho	hi
306	G_N	Sharab	Ke	hi
307	G_V	Peeti	Sharab	hi
308	G_V	Ho	Peeti	hi
309	G_X	??	Ho	univ
310	G_J	Awesome	??	en
311	G_V	reply	Awesome	en
312	PSP	by	reply	en
313	G_N	Girl	by	en
314	G_X	:	Girl	univ
315	G_PRT	To	:	hi
316	G_PRP	Kya	To	hi
317	$	2-4	Kya	univ
318	G_N	Peg	2-4	hi
319	PSP	Ke	Peg	hi
320	PSP	Liye	Ke	hi
321	G_N	Gender	Liye	en
322	G_V	Change	Gender	en
323	G_V	Karwaun	Change	hi
324	G_X	???	Karwaun	univ
325	#	#IndvsSA	???	univ
326	#	#MaukaMauka	#IndvsSA	univ
327	G_N	Boy		en
328	G_X	-	Boy	univ
329	G_N	badlapur	-	hi
330	G_V	dekhne	badlapur	hi
331	G_V	chale	dekhne	hi
332	G_N	Girl	chale	en
333	G_X	-	Girl	univ
334	G_PRP	M	-	en
335	G_V	watching	M	en
336	G_N	india	watching	en
337	PSP	vs	india	en
338	G_N	sa	vs	acro
339	G_N	Boy	sa	en
340	G_X	(	Boy	univ
341	G_V	calls	(	en
342	G_PRP	his	calls	en
343	G_N	mom	his	en
344	G_X	)	mom	univ
345	G_X	-	)	univ
346	G_N	Maa	-	hi
347	G_X	,	Maa	univ
348	G_PRP	maine	,	hi
349	G_N	ladki	maine	hi
350	G_V	dhoond	ladki	hi
351	PSP	lee	dhoond	hi
352	G_X	...	lee	univ
353	G_J	Brilliant		en
354	G_N	Answer	Brilliant	en
355	PSP	By	Answer	en
356	G_N	Boy	By	en
357	G_N	Friend	Boy	en
358	PSP	on	Friend	en
359	G_N	Break	on	en
360	PSP	Up	Break	en
361	G_X	…	Up	univ
362	G_X	.	…	univ
363	G_N	Girl	.	en
364	G_X	;	Girl	univ
365	G_PRP	Tumhe	;	hi
366	G_PRP	Mere	Tumhe	hi
367	G_R	Jaisi	Mere	hi
368	G_N	Ladki	Jaisi	hi
369	G_PRT	Nahi	Ladki	hi
370	G_V	Milegi	Nahi	hi
371	G_X	.	Milegi	univ
372	G_X	.	.	univ
373	G_X	.	.	univ
374	G_X	.	.	univ
375	G_X	.	.	univ
376	G_N	Boy	.	en
377	G_X	;	Boy	univ
378	G_V	Chill	;	en
379	G_X	...	Chill	univ
380	U	http://t.co/tfdsDe3g50	...	univ
381	$	1		univ
382	G_N	Ladke	1	hi
383	PSP	Ne	Ladke	hi
384	G_SYM	ek	Ne	hi
385	G_N	Ladki	ek	hi
386	PSP	Ko	Ladki	hi
387	G_V	Call	Ko	en
388	G_V	Ki	Call	hi
389	G_N	Boy	Ki	en
390	G_X	:	Boy	univ
391	G_PRP	I	:	en
392	G_V	LOVE	I	en
393	G_PRP	U	LOVE	en
394	G_N	Jaan	U	en
395	G_N	Girl	Jaan	en
396	G_X	:	Girl	univ
397	G_N	Sacchi	:	hi
398	G_N	Boy	Sacchi	en
399	G_X	:	Boy	univ
400	G_N	Mucchi	:	hi
401	G_N	Girl	Mucchi	en
402	G_X	:	Girl	univ
403	G_SYM	ek	:	hi
404	G_SYM	100ka	ek	univ
405	G_V	Recharge	100ka	en
406	G_V	Krwa	Recharge	hi
407	G_V	Do	Krwa	hi
408	G_R	Plz	Do	en
409	G_X	...	Plz	univ
410	U	http://t.co/lGuAKigGOX	...	univ
411	@	@kkundra		univ
412	G_PRT	lol	@kkundra	univ
413	G_N	ladki	lol	hi
414	G_V	mil	ladki	hi
415	G_V	gyi	mil	hi
416	G_X	..	gyi	univ
417	G_N	Martina	..	ne
418	G_R	here	Martina	en
419	G_PRP	you	here	en
420	G_V	go	you	en
421	G_N	girl	go	en
422	G_X	..	girl	univ
423	G_PRT	hahha	..	univ
424	G_PRT	shit	hahha	en
425	#	#Roadies	shit	univ
426	G_N	Boy		en
427	G_X	:	Boy	univ
428	G_X	-	:	univ
429	G_PRP	I	-	en
430	G_V	Love	I	en
431	G_PRP	You	Love	en
432	G_X	,	You	univ
433	G_PRP	Tum	,	hi
434	G_PRP	Is	Tum	hi
435	G_N	Duniya	Is	hi
436	G_V	Ki	Duniya	hi
437	G_PRT	Sabse	Ki	hi
438	G_J	Khubsurat	Sabse	hi
439	G_N	Ladki	Khubsurat	hi
440	PSP	Ho	Ladki	hi
441	G_N	Girl	Ho	en
442	G_X	:	Girl	univ
443	G_X	-	:	univ
444	PSP	Par	-	hi
445	G_PRP	Tumhare	Par	hi
446	G_R	Peeche	Tumhare	hi
447	CC	Toh	Peeche	hi
448	G_PRP	Mujhse	Toh	hi
449	G_PRP	Bhi	Mujhse	hi
450	G_SYM	Zyaada	Bhi	hi
451	G_X	...	Zyaada	univ
452	U	http://t.co/mNVsAUACmR	...	univ
453	G_X	double_quotes		univ
454	G_PRP	jab	double_quotes	hi
455	G_PRP	koi	jab	hi
456	G_N	ladki	koi	hi
457	G_PRT	na	ladki	hi
458	G_V	kehti	na	hi
459	G_V	hai	kehti	hi
460	G_X	,	hai	univ
461	CC	toh	,	hi
462	G_PRP	uska	toh	hi
463	G_N	matlab	uska	hi
464	G_PRT	na	matlab	hi
465	G_PRT	hi	na	hi
466	G_V	hota	hi	hi
467	G_V	hai	hota	hi
468	G_X	(	hai	univ
469	G_R	when	(	en
470	DT	a	when	en
471	G_N	girl	a	en
472	G_V	says	girl	en
473	G_PRT	no	says	en
474	G_X	,	no	univ
475	G_PRP	it	,	en
476	G_R	only	it	en
477	G_V	means	only	en
478	G_PRT	no	means	en
479	G_X	)	no	univ
480	G_X	double_quotes	)	univ
481	#	#soimportant	double_quotes	univ
482	U	http://t.co/CkAMzmhH1g	#soimportant	univ
483	G_SYM	Ek		hi
484	G_J	Buri	Ek	hi
485	G_N	Ladki	Buri	hi
486	G_X	(	Ladki	univ
487	DT	A	(	en
488	G_J	Bad	A	en
489	G_N	Girl	Bad	en
490	G_X	)	Girl	univ
491	U	http://t.co/koPv0s5kha	)	univ
492	PSP	via	http://t.co/koPv0s5kha	en
493	@	@imgur	via	univ
494	G_PRT	BAHAHA	@imgur	univ
495	G_X	.	BAHAHA	univ
496	G_PRP	I	.	en
497	G_V	guess	I	en
498	G_N	I'm	guess	en
499	DT	a	I'm	en
500	#	#badgirl	a	univ
501	E	:P	#badgirl	univ
502	#	#whatajoke	:P	univ
503	#	#loadofcrap	#whatajoke	univ
504	G_J	Brlnt		en
505	G_N	Ans	Brlnt	en
506	PSP	By	Ans	en
507	G_N	bf	By	en
508	PSP	on	bf	en
509	G_N	Brk	on	en
510	PSP	Up	Brk	en
511	G_X	.	Up	univ
512	G_N	Girl	.	en
513	G_X	;	Girl	univ
514	G_PRP	Tmhe	;	hi
515	G_PRP	Mere	Tmhe	hi
516	G_R	Jaisi	Mere	hi
517	G_N	Ladki	Jaisi	hi
518	G_PRT	Nahi	Ladki	hi
519	G_V	Milegi	Nahi	hi
520	G_X	.	Milegi	univ
521	G_N	Boy	.	en
522	G_V	Chil	Boy	en
523	G_N	swthrt	Chil	en
524	G_PRP	Mjhe	swthrt	hi
525	G_PRP	Tu	Mjhe	hi
526	PSP	Hi	Tu	hi
527	G_PRT	Ni	Hi	hi
528	G_N	Psnd	Ni	hi
529	CC	To	Psnd	hi
530	G_PRP	Teri	To	hi
531	PSP	Jaise	Teri	hi
532	G_PRP	Kyu	Jaise	hi
533	G_V	dhudunga	Kyu	hi
534	G_N	Yaar		hi
535	G_SYM	ek	Yaar	hi
536	G_N	ladki	ek	hi
537	G_V	hai	ladki	hi
538	G_X	!	hai	univ
539	G_N	Haan	!	hi
540	G_X	!	Haan	univ
541	G_N	Sachi	!	hi
542	G_X	!	Sachi	univ
543	G_SYM	Ek	!	hi
544	G_J	naya	Ek	hi
545	G_N	crush	naya	en
546	G_X	!	crush	univ
547	G_X	💞	!	univ
548	G_PRT	Aree	💞	hi
549	G_N	yaar	Aree	hi
550	G_N	sachi	yaar	hi
551	G_X	!	sachi	univ
552	G_R	Okay	!	en
553	G_V	check	Okay	en
554	G_PRT	out	check	en
555	@	@ZaalimGF	out	univ
556	G_N	trailer	@ZaalimGF	en
557	G_PRP	This	trailer	en
558	G_N	girl-	This	en
559	@	@meprachimishra	girl-	univ
560	#	#gorgeous	@meprachimishra	univ
561	G_X	👰	#gorgeous	univ
562	@	@tehseenp		univ
563	@	@bwoyblunder	@tehseenp	univ
564	@	@PMOIndia	@bwoyblunder	univ
565	@	@narendramodi	@PMOIndia	univ
566	G_N	bhai	@narendramodi	hi
567	G_PRP	mere	bhai	hi
568	G_N	office	mere	en
569	PSP	me	office	hi
570	G_N	receptionist	me	en
571	PSP	ki	receptionist	hi
572	G_N	position	ki	en
573	G_V	khaali	position	hi
574	G_V	hai	khaali	hi
575	G_X	.	hai	univ
576	G_SYM	kuch	.	hi
577	G_N	kaam	kuch	hi
578	G_PRT	nahi	kaam	hi
579	G_PRT	to	nahi	hi
580	G_V	lagwa	to	hi
581	G_V	dun	lagwa	hi
582	G_N	naukri	dun	hi
583	G_X	?	naukri	univ
584	@	@praktabh		univ
585	G_N	abe	@praktabh	hi
586	G_N	office	abe	en
587	PSP	me	office	hi
588	G_V	kaam	me	hi
589	G_V	kr	kaam	hi
590	G_X	..	kr	univ
591	G_PRT	nahi	..	hi
592	G_PRT	to	nahi	hi
593	G_N	boss	to	en
594	G_PRT	gand	boss	hi
595	PSP	pe	gand	hi
596	G_V	laat	pe	hi
597	G_V	maar	laat	hi
598	PSP	k	maar	hi
599	G_V	bhaga	k	hi
600	G_V	dega	bhaga	hi
601	@	@Ujala4u		univ
602	G_PRT	haaha	@Ujala4u	hi
603	G_X	..	haaha	univ
604	G_PRP	hum	..	hi
605	G_PRP	aisy	hum	hi
606	G_PRT	he	aisy	hi
607	G_V	hai	he	hi
608	G_N	biwi	hai	hi
609	G_N	office	biwi	en
610	PSP	mein	office	hi
611	G_N	kaam	mein	hi
612	G_PRP	kion	kaam	hi
613	G_V	kry	kion	hi
614	G_X	..	kry	univ
615	G_PRT	hahah	..	univ
616	@	@Dawoodnusrat		univ
617	G_N	bus	@Dawoodnusrat	en
618	G_N	office	bus	en
619	G_PRT	he	office	hi
620	G_V	hn	he	hi
621	G_X	,	hn	univ
622	G_N	Sat	,	en
623	G_SYM	thora	Sat	hi
624	G_J	thanda	thora	hi
625	G_N	hota	thanda	hi
626	G_V	hay	hota	hi
627	G_N	kaam	hay	hi
628	PSP	k	kaam	hi
629	G_N	point	k	en
630	PSP	of	point	en
631	G_N	view	of	en
632	PSP	say	view	hi
633	G_PRP	you	say	en
634	G_V	know	you	en
635	E	:)	know	univ
636	@	@siyal_khan		univ
637	G_N	office	@siyal_khan	en
638	G_PRP	abb	office	hi
639	G_PRP	hum	abb	hi
640	G_SYM	sub	hum	hi
641	G_V	kaam	sub	hi
642	G_V	karty	kaam	hi
643	G_PRP	koi	karty	hi
644	G_N	uni	koi	hi
645	G_N	clg	uni	en
646	G_PRT	nae	clg	hi
647	G_V	jata	nae	hi
648	G_PRP	mere	jata	hi
649	G_N	ghar	mere	hi
650	G_X	“		univ
651	@	@RamgarhKaJai	“	univ
652	G_X	:	@RamgarhKaJai	univ
653	G_N	Office	:	en
654	G_N	bhi	Office	hi
655	G_PRP	koi	bhi	hi
656	G_N	kaam	koi	hi
657	G_V	karne	kaam	hi
658	PSP	ki	karne	hi
659	G_N	jagah	ki	hi
660	G_V	hai	jagah	hi
661	G_N	bhala	hai	hi
662	G_X	?	bhala	univ
663	G_X	”	?	univ
664	G_PRT	Nahi	”	hi
665	G_X	.	Nahi	univ
666	G_N	Tabela	.	hi
667	G_V	is	Tabela	hi
668	G_J	better	is	en
669	G_X	.	better	univ
670	G_V	Chalo	.	hi
671	G_PRP	waha	Chalo	hi
672	G_V	chale	waha	hi
673	G_X	.	chale	univ
674	@	@eqrab		univ
675	@	@HajraAbbottaba	@eqrab	univ
676	@	@AnjumIqbalPTI	@HajraAbbottaba	univ
677	G_PRT	Array	@AnjumIqbalPTI	hi
678	G_N	yar	Array	hi
679	G_N	hans	yar	hi
680	G_V	kar	hans	hi
681	G_N	dil	kar	hi
682	G_PRT	na	dil	hi
683	G_N	jalao	na	hi
684	G_R	abhi	jalao	hi
685	G_SYM	sara	abhi	hi
686	G_N	din	sara	hi
687	G_N	office	din	en
688	PSP	main	office	hi
689	G_PRP	bhi	main	hi
690	G_N	kaam	bhi	hi
691	G_N	karna	kaam	hi
692	G_V	hay	karna	hi
693	G_PRT	Yar		hi
694	G_N	Saturday	Yar	en
695	PSP	ko	Saturday	hi
696	G_PRP	kon	ko	hi
697	G_N	kaam	kon	hi
698	G_V	krta	kaam	hi
699	G_V	hai	krta	hi
700	G_X	..	hai	univ
701	G_PRT	ullu	..	hi
702	PSP	k	ullu	hi
703	G_PRT	phatay	k	hi
704	E	😠	phatay	univ
705	G_PRP	I	😠	en
706	G_V	can	I	en
707	G_V	watch	can	en
708	G_N	Pakistan	watch	ne
709	G_V	loosing	Pakistan	en
710	PSP	at	loosing	en
711	G_N	home	at	en
712	G_PRT	not	home	en
713	PSP	in	not	en
714	G_J	fucking	in	en
715	G_N	office	fucking	en
716	E	😩	office	univ
717	@	@Liaqat842		univ
718	G_PRP	tum	@Liaqat842	hi
719	G_J	sahi	tum	hi
720	G_V	keh	sahi	hi
721	G_V	rhy	keh	hi
722	G_V	thy	rhy	hi
723	G_PRP	yeh	thy	hi
724	G_SYM	zayda	yeh	hi
725	G_J	buri	zayda	hi
726	G_N	timings	buri	en
727	G_V	hain	timings	hi
728	$	3	hain	univ
729	PSP	wali	3	hi
730	G_N	match	wali	en
731	PSP	ki😳	match	hi
732	G_N	subah	ki😳	hi
733	G_J	purany	subah	hi
734	G_N	office	purany	en
735	PSP	bhi	office	hi
736	G_V	jna	bhi	hi
737	G_V	hai	jna	hi
738	G_N	kaam	hai	hi
739	G_V	hai	kaam	hi
740	E	😏	hai	univ
741	@	@ChocolateCharsi		univ
742	DT	no	@ChocolateCharsi	en
743	G_N	office	no	en
744	G_N	hours	office	en
745	G_X	!	hours	univ
746	G_SYM	Saara	!	hi
747	G_N	kaam	Saara	hi
748	G_N	ghar	kaam	hi
749	PSP	per	ghar	hi
750	@	@hardik		univ
751	@	@ImpatientWoman	@hardik	univ
752	G_PRT	Arey	@ImpatientWoman	hi
753	G_N	jagah	Arey	hi
754	G_R	kahan	jagah	hi
755	G_V	hai	kahan	hi
756	G_N	office	hai	en
757	PSP	main	office	hi
758	G_X	?	main	univ
759	G_SYM	Sab	?	hi
760	G_N	kaam	Sab	hi
761	G_J	chalu	kaam	hi
762	G_V	hai	chalu	hi
763	@	@FaslaRakhein		univ
764	G_N	dad	@FaslaRakhein	en
765	G_N	office	dad	en
766	PSP	k	office	hi
767	G_N	kaam	k	hi
768	PSP	me	kaam	hi
769	G_J	phasay	me	hi
770	G_V	hue	phasay	hi
771	G_V	hen	hue	hi
772	G_X	..	hen	univ
773	$	9	..	univ
774	G_X	,	9	univ
775	$	9.3	,	univ
776	PSP	tak	9.3	hi
777	G_V	aa	tak	hi
778	G_V	jae	aa	hi
779	G_V	ge	jae	hi
780	G_X	...	ge	univ
781	E	😒😒	...	univ
782	G_PRP	Yaha	😒😒	hi
783	G_V	wait	Yaha	en
784	PSP	hi	wait	hi
785	G_PRT	nai	hi	hi
786	G_V	ho	nai	hi
787	G_V	raha	ho	hi
788	G_X	..	raha	univ
789	E	😒😒😕	..	univ
790	@	@BeingSkChetan		univ
791	G_PRT	hmmm	@BeingSkChetan	univ
792	E	😳	hmmm	univ
793	G_N	Office	😳	en
794	PSP	me	Office	hi
795	G_V	tweet	me	en
796	G_V	karre	tweet	hi
797	G_V	lai	karre	hi
798	G_X	?	lai	univ
799	G_R	Phir	?	hi
800	G_PRT	toh	Phir	hi
801	G_N	kaam	toh	hi
802	G_N	der	kaam	hi
803	PSP	se	der	hi
804	G_J	khatam	se	hi
805	G_V	hone	khatam	hi
806	PSP	ko	hone	hi
807	G_V	hai	ko	hi
808	G_X	!	hai	univ
809	E	😂😂😂	!	univ
810	@	@FanSidharth		univ
811	G_PRP	Muje	@FanSidharth	hi
812	G_V	dekhne	Muje	hi
813	PSP	ke	dekhne	hi
814	PSP	liye	ke	hi
815	G_N	time	liye	en
816	G_R	nhi	time	hi
817	G_V	milta	nhi	hi
818	G_V	hai	milta	hi
819	G_V	re	hai	hi
820	G_X	.	re	univ
821	G_PRP	Kya	.	hi
822	G_V	karu	Kya	hi
823	G_V	bata	karu	hi
824	G_PRT	biddu	bata	hi
825	G_PRP	tu	biddu	hi
826	G_V	bata	tu	hi
827	G_X	?	bata	univ
828	G_N	Office	?	en
829	PSP	me	Office	hi
830	G_N	kaam	me	hi
831	G_PRT	bhi	kaam	hi
832	G_V	hai	bhi	hi
833	G_V	bole	hai	hi
834	G_PRT	to	bole	hi
835	@	@SniperSpot		univ
836	@	@SansadBhawan	@SniperSpot	univ
837	@	@AkshayA80203737	@SansadBhawan	univ
838	@	@Ek_AAPtard	@AkshayA80203737	univ
839	@	@sanat397	@Ek_AAPtard	univ
840	G_N	Jhaadu	@sanat397	hi
841	PSP	se	Jhaadu	hi
842	G_N	kaam	se	hi
843	G_PRT	nahi	kaam	hi
844	G_V	chala	nahi	hi
845	G_PRT	tou	chala	hi
846	G_R	ab	tou	hi
847	G_PRP	tujhe	ab	hi
848	G_N	muli	tujhe	hi
849	G_V	chahiye	muli	hi
850	G_X	?	chahiye	univ
851	G_PRT	Gaand	?	hi
852	G_V	hai	Gaand	hi
853	CC	ya	hai	hi
854	G_N	office	ya	en
855	G_X	?	office	univ
856	G_V	Keep		en
857	G_J	calm	Keep	en
858	CC	and	calm	en
859	G_V	keep	and	en
860	G_N	kaam	keep	hi
861	PSP	se	kaam	hi
862	G_N	kaam	se	hi
863	G_X	!!!	kaam	univ
864	#	#office	!!!	univ
865	#	#tgif	#office	univ
866	#	#nametag	#tgif	univ
867	#	#buddha	#nametag	univ
868	#	#SouvenirFromManali	#buddha	univ
869	#	#keepcalm	#SouvenirFromManali	univ
870	U	http://t.co/qg7KrE3RMN	#keepcalm	univ
871	G_PRP	Tere		hi
872	G_N	office	Tere	en
873	PSP	me	office	en
