id	tag	word	label	prev_label	next_label
127	G_N	mix	en	hi	hi
128	G_V	krne	hi	en	hi
129	G_V	hein	hi	hi	en
130	PSP	without	en	hi	en
131	G_V	pause	en	en	
132	G_PRP	Ye	hi		ne
133	G_N	Veet	ne	hi	hi
134	PSP	ke	hi	ne	univ
135	G_X	.	univ	hi	en
136	G_N	ad	en	univ	univ
137	G_X	.	univ	en	hi
138	PSP	main	hi	univ	hi
139	G_PRP	wo	hi	hi	hi
140	G_N	ladki	hi	hi	hi
141	G_R	kitni	hi	hi	hi
142	G_N	gandhi	hi	hi	hi
143	CC	aur	hi	hi	en
144	PSP	over	en	hi	en
145	G_V	acting	en	en	hi
146	G_V	karti	hi	en	hi
147	G_V	hai	hi	hi	univ
148	G_X	.	univ	hi	hi
149	G_PRP	Ye	hi	univ	en
150	G_N	girl	en	hi	en
151	G_N	models	en	en	hi
152	PSP	ko	hi	en	hi
153	G_R	itni	hi	hi	hi
154	G_J	Galatfahmi	hi	hi	hi
155	G_PRP	kyon	hi	hi	hi
156	G_V	hoti	hi	hi	hi
157	G_V	hai	hi	hi	hi
158	PSP	ki	hi	hi	hi
159	G_PRP	wo	hi	hi	hi
160	G_J	badi	hi	hi	en
161	G_N	actress	en	hi	hi
162	G_V	hain	hi	en	
163	G_N	Life	en		en
164	G_N	Ok	en	en	en
165	G_J	Dream	en	en	en
166	G_N	Girl	en	en	hi
167	G_SYM	Ek	hi	en	hi
168	G_N	Ladki	hi	hi	hi
169	G_J	Deewani	hi	hi	hi
170	PSP	Si	hi	hi	en
171	G_J	Upcoming	en	hi	acro
172	G_N	Tv	acro	en	en
173	G_N	show	en	acro	en
174	G_N	Story	en	en	univ
175	G_X	|	univ	en	en
176	G_N	Star	en	univ	en
177	G_N	Cast	en	en	univ
178	G_X	|	univ	en	en
179	G_N	Timing	en	univ	univ
180	G_X	|	univ	en	en
181	G_N	Promo	en	univ	ne
182	G_N	Wiki	ne	en	univ
183	G_X	|	univ	ne	hi
184	G_N	Ne	hi	univ	univ
185	U	http://t.co/X9AhZRRPiD	univ	hi	
186	$	1	univ		hi
187	G_N	Ladke	hi	univ	hi
188	PSP	Ne	hi	hi	hi
189	G_SYM	ek	hi	hi	hi
190	G_N	Ladki	hi	hi	hi
191	PSP	Ko	hi	hi	en
192	G_V	Call	en	hi	hi
193	PSP	Ki	hi	en	en
194	G_N	Boy	en	hi	univ
195	G_X	:	univ	en	en
196	G_PRP	I	en	univ	en
197	G_V	LOVE	en	en	en
198	G_PRP	U	en	en	hi
199	G_N	Jaan	hi	en	mixed
200	G_N	Girl-Sacchi	mixed	hi	mixed
201	G_N	Boy-Mucchi	mixed	mixed	en
202	G_N	Girl	en	mixed	univ
203	G_X	:	univ	en	hi
204	G_SYM	ek	hi	univ	univ
205	G_SYM	100ka	univ	hi	en
206	G_V	Recharge	en	univ	hi
207	G_V	Krwa	hi	en	hi
208	G_V	Do	hi	hi	en
209	G_R	Plz	en	hi	en
210	G_N	Boy-Sorry	en	en	hi
211	G_N	Didi	hi	en	en
212	G_J	Rong	en	hi	en
213	G_N	Number	en	en	univ
214	G_X	.	univ	en	
215	G_N	Boy	en		univ
216	G_X	:	univ	en	hi
217	G_PRP	Tum	hi	univ	hi
218	G_N	Ladki	hi	hi	hi
219	G_V	Ho	hi	hi	hi
220	PSP	Ke	hi	hi	hi
221	G_N	Sharab	hi	hi	hi
222	G_V	Peeti	hi	hi	hi
223	G_V	Ho	hi	hi	univ
224	G_X	??	univ	hi	en
225	G_J	Awesome	en	univ	en
226	G_V	reply	en	en	en
227	PSP	by	en	en	en
228	G_N	Girl	en	en	univ
229	G_X	:	univ	en	hi
230	G_PRT	To	hi	univ	hi
231	G_PRP	Kya	hi	hi	univ
232	$	2-4	univ	hi	hi
233	G_N	Peg	hi	univ	hi
234	PSP	Ke	hi	hi	hi
235	PSP	Liye	hi	hi	en
236	G_N	Gender	en	hi	en
237	G_V	Change	en	en	hi
238	G_V	Karwaun	hi	en	univ
239	G_X	???	univ	hi	
240	$	1	univ		hi
241	G_N	Ladke	hi	univ	hi
242	PSP	Ne	hi	hi	hi
243	G_SYM	ek	hi	hi	hi
244	G_N	Ladki	hi	hi	hi
245	PSP	Ko	hi	hi	en
246	G_V	Call	en	hi	hi
247	G_V	Ki	hi	en	univ
248	G_X	.	univ	hi	en
249	G_N	Boy	en	univ	univ
250	G_X	:	univ	en	en
251	G_PRP	I	en	univ	en
252	G_V	LOVE	en	en	en
253	G_PRP	U	en	en	hi
254	G_N	Jaan	hi	en	univ
255	G_X	.	univ	hi	en
256	G_N	Girl	en	univ	univ
257	G_X	:	univ	en	hi
258	G_N	Sacchi	hi	univ	univ
259	G_X	.	univ	hi	en
260	G_N	Boy	en	univ	univ
261	G_X	:	univ	en	hi
262	G_N	Mucchi	hi	univ	univ
263	G_X	.	univ	hi	en
264	G_N	Girl	en	univ	univ
265	G_X	:	univ	en	hi
266	G_SYM	ek	hi	univ	univ
267	G_SYM	100ka	univ	hi	en
268	G_V	Recharge	en	univ	hi
269	G_V	Krwa	hi	en	univ
270	G_X	...	univ	hi	univ
271	U	http://t.co/fBVr0axApf	univ	univ	
272	G_J	Brilliant	en		en
273	G_N	Answer	en	en	en
274	PSP	By	en	en	en
275	G_N	Boy	en	en	en
276	G_N	Friend	en	en	en
277	PSP	on	en	en	en
278	G_N	Break	en	en	en
279	PSP	Up	en	en	univ
280	G_X	…	univ	en	univ
281	G_X	.	univ	univ	en
282	G_N	Girl	en	univ	univ
283	G_X	;	univ	en	hi
284	G_PRP	Tumhe	hi	univ	hi
285	G_PRP	Mere	hi	hi	hi
286	G_R	Jaisi	hi	hi	hi
287	G_N	Ladki	hi	hi	hi
288	G_PRT	Nahi	hi	hi	hi
289	G_V	Milegi	hi	hi	univ
290	G_X	.	univ	hi	univ
291	G_X	.	univ	univ	univ
292	G_X	.	univ	univ	univ
293	G_X	.	univ	univ	univ
294	G_X	.	univ	univ	en
295	G_N	Boy	en	univ	univ
296	G_X	;	univ	en	en
297	G_V	Chill	en	univ	univ
298	G_X	...	univ	en	univ
299	U	http://t.co/G6mF9fWFLQ	univ	univ	
300	G_N	Boy	en		univ
301	G_X	:	univ	en	hi
302	G_PRP	Tum	hi	univ	hi
303	G_N	Ladki	hi	hi	hi
304	G_PRT	Ho	hi	hi	hi
305	PSP	Ke	hi	hi	hi
306	G_N	Sharab	hi	hi	hi
307	G_V	Peeti	hi	hi	hi
308	G_V	Ho	hi	hi	univ
309	G_X	??	univ	hi	en
310	G_J	Awesome	en	univ	en
311	G_V	reply	en	en	en
312	PSP	by	en	en	en
313	G_N	Girl	en	en	univ
314	G_X	:	univ	en	hi
315	G_PRT	To	hi	univ	hi
316	G_PRP	Kya	hi	hi	univ
317	$	2-4	univ	hi	hi
318	G_N	Peg	hi	univ	hi
319	PSP	Ke	hi	hi	hi
320	PSP	Liye	hi	hi	en
321	G_N	Gender	en	hi	en
322	G_V	Change	en	en	hi
323	G_V	Karwaun	hi	en	univ
324	G_X	???	univ	hi	univ
325	#	#IndvsSA	univ	univ	univ
326	#	#MaukaMauka	univ	univ	
327	G_N	Boy	en		univ
328	G_X	-	univ	en	hi
329	G_N	badlapur	hi	univ	hi
330	G_V	dekhne	hi	hi	hi
331	G_V	chale	hi	hi	en
332	G_N	Girl	en	hi	univ
333	G_X	-	univ	en	en
334	G_PRP	M	en	univ	en
335	G_V	watching	en	en	en
336	G_N	india	en	en	en
337	PSP	vs	en	en	acro
338	G_N	sa	acro	en	en
339	G_N	Boy	en	acro	univ
340	G_X	(	univ	en	en
341	G_V	calls	en	univ	en
342	G_PRP	his	en	en	en
343	G_N	mom	en	en	univ
344	G_X	)	univ	en	univ
345	G_X	-	univ	univ	hi
346	G_N	Maa	hi	univ	univ
347	G_X	,	univ	hi	hi
348	G_PRP	maine	hi	univ	hi
349	G_N	ladki	hi	hi	hi
350	G_V	dhoond	hi	hi	hi
351	PSP	lee	hi	hi	univ
352	G_X	...	univ	hi	
353	G_J	Brilliant	en		en
354	G_N	Answer	en	en	en
355	PSP	By	en	en	en
356	G_N	Boy	en	en	en
357	G_N	Friend	en	en	en
358	PSP	on	en	en	en
359	G_N	Break	en	en	en
360	PSP	Up	en	en	univ
361	G_X	…	univ	en	univ
362	G_X	.	univ	univ	en
363	G_N	Girl	en	univ	univ
364	G_X	;	univ	en	hi
365	G_PRP	Tumhe	hi	univ	hi
366	G_PRP	Mere	hi	hi	hi
367	G_R	Jaisi	hi	hi	hi
368	G_N	Ladki	hi	hi	hi
369	G_PRT	Nahi	hi	hi	hi
370	G_V	Milegi	hi	hi	univ
371	G_X	.	univ	hi	univ
372	G_X	.	univ	univ	univ
373	G_X	.	univ	univ	univ
374	G_X	.	univ	univ	univ
375	G_X	.	univ	univ	en
376	G_N	Boy	en	univ	univ
377	G_X	;	univ	en	en
378	G_V	Chill	en	univ	univ
379	G_X	...	univ	en	univ
380	U	http://t.co/tfdsDe3g50	univ	univ	
381	$	1	univ		hi
382	G_N	Ladke	hi	univ	hi
383	PSP	Ne	hi	hi	hi
384	G_SYM	ek	hi	hi	hi
385	G_N	Ladki	hi	hi	hi
386	PSP	Ko	hi	hi	en
387	G_V	Call	en	hi	hi
388	G_V	Ki	hi	en	en
389	G_N	Boy	en	hi	univ
390	G_X	:	univ	en	en
391	G_PRP	I	en	univ	en
392	G_V	LOVE	en	en	en
393	G_PRP	U	en	en	en
394	G_N	Jaan	en	en	en
395	G_N	Girl	en	en	univ
396	G_X	:	univ	en	hi
397	G_N	Sacchi	hi	univ	en
398	G_N	Boy	en	hi	univ
399	G_X	:	univ	en	hi
400	G_N	Mucchi	hi	univ	en
401	G_N	Girl	en	hi	univ
402	G_X	:	univ	en	hi
403	G_SYM	ek	hi	univ	univ
404	G_SYM	100ka	univ	hi	en
405	G_V	Recharge	en	univ	hi
406	G_V	Krwa	hi	en	hi
407	G_V	Do	hi	hi	en
408	G_R	Plz	en	hi	univ
409	G_X	...	univ	en	univ
410	U	http://t.co/lGuAKigGOX	univ	univ	
411	@	@kkundra	univ		univ
412	G_PRT	lol	univ	univ	hi
413	G_N	ladki	hi	univ	hi
414	G_V	mil	hi	hi	hi
415	G_V	gyi	hi	hi	univ
416	G_X	..	univ	hi	ne
417	G_N	Martina	ne	univ	en
418	G_R	here	en	ne	en
419	G_PRP	you	en	en	en
420	G_V	go	en	en	en
421	G_N	girl	en	en	univ
422	G_X	..	univ	en	univ
423	G_PRT	hahha	univ	univ	en
424	G_PRT	shit	en	univ	univ
425	#	#Roadies	univ	en	
426	G_N	Boy	en		univ
427	G_X	:	univ	en	univ
428	G_X	-	univ	univ	en
429	G_PRP	I	en	univ	en
430	G_V	Love	en	en	en
431	G_PRP	You	en	en	univ
432	G_X	,	univ	en	hi
433	G_PRP	Tum	hi	univ	hi
434	G_PRP	Is	hi	hi	hi
435	G_N	Duniya	hi	hi	hi
436	G_V	Ki	hi	hi	hi
437	G_PRT	Sabse	hi	hi	hi
438	G_J	Khubsurat	hi	hi	hi
439	G_N	Ladki	hi	hi	hi
440	PSP	Ho	hi	hi	en
441	G_N	Girl	en	hi	univ
442	G_X	:	univ	en	univ
443	G_X	-	univ	univ	hi
444	PSP	Par	hi	univ	hi
445	G_PRP	Tumhare	hi	hi	hi
446	G_R	Peeche	hi	hi	hi
447	CC	Toh	hi	hi	hi
448	G_PRP	Mujhse	hi	hi	hi
449	G_PRP	Bhi	hi	hi	hi
450	G_SYM	Zyaada	hi	hi	univ
451	G_X	...	univ	hi	univ
452	U	http://t.co/mNVsAUACmR	univ	univ	
453	G_X	double_quotes	univ		hi
454	G_PRP	jab	hi	univ	hi
455	G_PRP	koi	hi	hi	hi
456	G_N	ladki	hi	hi	hi
457	G_PRT	na	hi	hi	hi
458	G_V	kehti	hi	hi	hi
459	G_V	hai	hi	hi	univ
460	G_X	,	univ	hi	hi
461	CC	toh	hi	univ	hi
462	G_PRP	uska	hi	hi	hi
463	G_N	matlab	hi	hi	hi
464	G_PRT	na	hi	hi	hi
465	G_PRT	hi	hi	hi	hi
466	G_V	hota	hi	hi	hi
467	G_V	hai	hi	hi	univ
468	G_X	(	univ	hi	en
469	G_R	when	en	univ	en
470	DT	a	en	en	en
471	G_N	girl	en	en	en
472	G_V	says	en	en	en
473	G_PRT	no	en	en	univ
474	G_X	,	univ	en	en
475	G_PRP	it	en	univ	en
476	G_R	only	en	en	en
477	G_V	means	en	en	en
478	G_PRT	no	en	en	univ
479	G_X	)	univ	en	univ
480	G_X	double_quotes	univ	univ	univ
481	#	#soimportant	univ	univ	univ
482	U	http://t.co/CkAMzmhH1g	univ	univ	
483	G_SYM	Ek	hi		hi
484	G_J	Buri	hi	hi	hi
485	G_N	Ladki	hi	hi	univ
486	G_X	(	univ	hi	en
487	DT	A	en	univ	en
488	G_J	Bad	en	en	en
489	G_N	Girl	en	en	univ
490	G_X	)	univ	en	univ
491	U	http://t.co/koPv0s5kha	univ	univ	en
492	PSP	via	en	univ	univ
493	@	@imgur	univ	en	univ
494	G_PRT	BAHAHA	univ	univ	univ
495	G_X	.	univ	univ	en
496	G_PRP	I	en	univ	en
497	G_V	guess	en	en	en
498	G_N	I'm	en	en	en
499	DT	a	en	en	univ
500	#	#badgirl	univ	en	univ
501	E	:P	univ	univ	univ
502	#	#whatajoke	univ	univ	univ
503	#	#loadofcrap	univ	univ	
504	G_J	Brlnt	en		en
505	G_N	Ans	en	en	en
506	PSP	By	en	en	en
507	G_N	bf	en	en	en
508	PSP	on	en	en	en
509	G_N	Brk	en	en	en
510	PSP	Up	en	en	univ
511	G_X	.	univ	en	en
512	G_N	Girl	en	univ	univ
513	G_X	;	univ	en	hi
514	G_PRP	Tmhe	hi	univ	hi
515	G_PRP	Mere	hi	hi	hi
516	G_R	Jaisi	hi	hi	hi
517	G_N	Ladki	hi	hi	hi
518	G_PRT	Nahi	hi	hi	hi
519	G_V	Milegi	hi	hi	univ
520	G_X	.	univ	hi	en
521	G_N	Boy	en	univ	en
522	G_V	Chil	en	en	en
523	G_N	swthrt	en	en	hi
524	G_PRP	Mjhe	hi	en	hi
525	G_PRP	Tu	hi	hi	hi
526	PSP	Hi	hi	hi	hi
527	G_PRT	Ni	hi	hi	hi
528	G_N	Psnd	hi	hi	hi
529	CC	To	hi	hi	hi
530	G_PRP	Teri	hi	hi	hi
531	PSP	Jaise	hi	hi	hi
532	G_PRP	Kyu	hi	hi	hi
533	G_V	dhudunga	hi	hi	
534	G_N	Yaar	hi		hi
535	G_SYM	ek	hi	hi	hi
536	G_N	ladki	hi	hi	hi
537	G_V	hai	hi	hi	univ
538	G_X	!	univ	hi	hi
539	G_N	Haan	hi	univ	univ
540	G_X	!	univ	hi	hi
541	G_N	Sachi	hi	univ	univ
542	G_X	!	univ	hi	hi
543	G_SYM	Ek	hi	univ	hi
544	G_J	naya	hi	hi	en
545	G_N	crush	en	hi	univ
546	G_X	!	univ	en	univ
547	G_X	💞	univ	univ	hi
548	G_PRT	Aree	hi	univ	hi
549	G_N	yaar	hi	hi	hi
550	G_N	sachi	hi	hi	univ
551	G_X	!	univ	hi	en
552	G_R	Okay	en	univ	en
553	G_V	check	en	en	en
554	G_PRT	out	en	en	univ
555	@	@ZaalimGF	univ	en	en
556	G_N	trailer	en	univ	en
557	G_PRP	This	en	en	en
558	G_N	girl-	en	en	univ
559	@	@meprachimishra	univ	en	univ
560	#	#gorgeous	univ	univ	univ
561	G_X	👰	univ	univ	
562	@	@tehseenp	univ		univ
563	@	@bwoyblunder	univ	univ	univ
564	@	@PMOIndia	univ	univ	univ
565	@	@narendramodi	univ	univ	hi
566	G_N	bhai	hi	univ	hi
567	G_PRP	mere	hi	hi	en
568	G_N	office	en	hi	hi
569	PSP	me	hi	en	en
570	G_N	receptionist	en	hi	hi
571	PSP	ki	hi	en	en
572	G_N	position	en	hi	hi
573	G_V	khaali	hi	en	hi
574	G_V	hai	hi	hi	univ
575	G_X	.	univ	hi	hi
576	G_SYM	kuch	hi	univ	hi
577	G_N	kaam	hi	hi	hi
578	G_PRT	nahi	hi	hi	hi
579	G_PRT	to	hi	hi	hi
580	G_V	lagwa	hi	hi	hi
581	G_V	dun	hi	hi	hi
582	G_N	naukri	hi	hi	univ
583	G_X	?	univ	hi	
584	@	@praktabh	univ		hi
585	G_N	abe	hi	univ	en
586	G_N	office	en	hi	hi
587	PSP	me	hi	en	hi
588	G_V	kaam	hi	hi	hi
589	G_V	kr	hi	hi	univ
590	G_X	..	univ	hi	hi
591	G_PRT	nahi	hi	univ	hi
592	G_PRT	to	hi	hi	en
593	G_N	boss	en	hi	hi
594	G_PRT	gand	hi	en	hi
595	PSP	pe	hi	hi	hi
596	G_V	laat	hi	hi	hi
597	G_V	maar	hi	hi	hi
598	PSP	k	hi	hi	hi
599	G_V	bhaga	hi	hi	hi
600	G_V	dega	hi	hi	
601	@	@Ujala4u	univ		hi
602	G_PRT	haaha	hi	univ	univ
603	G_X	..	univ	hi	hi
604	G_PRP	hum	hi	univ	hi
605	G_PRP	aisy	hi	hi	hi
606	G_PRT	he	hi	hi	hi
607	G_V	hai	hi	hi	hi
608	G_N	biwi	hi	hi	en
609	G_N	office	en	hi	hi
610	PSP	mein	hi	en	hi
611	G_N	kaam	hi	hi	hi
612	G_PRP	kion	hi	hi	hi
613	G_V	kry	hi	hi	univ
614	G_X	..	univ	hi	univ
615	G_PRT	hahah	univ	univ	
616	@	@Dawoodnusrat	univ		en
617	G_N	bus	en	univ	en
618	G_N	office	en	en	hi
619	G_PRT	he	hi	en	hi
620	G_V	hn	hi	hi	univ
621	G_X	,	univ	hi	en
622	G_N	Sat	en	univ	hi
623	G_SYM	thora	hi	en	hi
624	G_J	thanda	hi	hi	hi
625	G_N	hota	hi	hi	hi
626	G_V	hay	hi	hi	hi
627	G_N	kaam	hi	hi	hi
628	PSP	k	hi	hi	en
629	G_N	point	en	hi	en
630	PSP	of	en	en	en
631	G_N	view	en	en	hi
632	PSP	say	hi	en	en
633	G_PRP	you	en	hi	en
634	G_V	know	en	en	univ
635	E	:)	univ	en	
636	@	@siyal_khan	univ		en
637	G_N	office	en	univ	hi
638	G_PRP	abb	hi	en	hi
639	G_PRP	hum	hi	hi	hi
640	G_SYM	sub	hi	hi	hi
641	G_V	kaam	hi	hi	hi
642	G_V	karty	hi	hi	hi
643	G_PRP	koi	hi	hi	hi
644	G_N	uni	hi	hi	en
645	G_N	clg	en	hi	hi
646	G_PRT	nae	hi	en	hi
647	G_V	jata	hi	hi	hi
648	G_PRP	mere	hi	hi	hi
649	G_N	ghar	hi	hi	
650	G_X	“	univ		univ
651	@	@RamgarhKaJai	univ	univ	univ
652	G_X	:	univ	univ	en
653	G_N	Office	en	univ	hi
654	G_N	bhi	hi	en	hi
655	G_PRP	koi	hi	hi	hi
656	G_N	kaam	hi	hi	hi
657	G_V	karne	hi	hi	hi
658	PSP	ki	hi	hi	hi
659	G_N	jagah	hi	hi	hi
660	G_V	hai	hi	hi	hi
661	G_N	bhala	hi	hi	univ
662	G_X	?	univ	hi	univ
663	G_X	”	univ	univ	hi
664	G_PRT	Nahi	hi	univ	univ
665	G_X	.	univ	hi	hi
666	G_N	Tabela	hi	univ	hi
667	G_V	is	hi	hi	en
668	G_J	better	en	hi	univ
669	G_X	.	univ	en	hi
670	G_V	Chalo	hi	univ	hi
671	G_PRP	waha	hi	hi	hi
672	G_V	chale	hi	hi	univ
673	G_X	.	univ	hi	
674	@	@eqrab	univ		univ
675	@	@HajraAbbottaba	univ	univ	univ
676	@	@AnjumIqbalPTI	univ	univ	hi
677	G_PRT	Array	hi	univ	hi
678	G_N	yar	hi	hi	hi
679	G_N	hans	hi	hi	hi
680	G_V	kar	hi	hi	hi
681	G_N	dil	hi	hi	hi
682	G_PRT	na	hi	hi	hi
683	G_N	jalao	hi	hi	hi
684	G_R	abhi	hi	hi	hi
685	G_SYM	sara	hi	hi	hi
686	G_N	din	hi	hi	en
687	G_N	office	en	hi	hi
688	PSP	main	hi	en	hi
689	G_PRP	bhi	hi	hi	hi
690	G_N	kaam	hi	hi	hi
691	G_N	karna	hi	hi	hi
692	G_V	hay	hi	hi	
693	G_PRT	Yar	hi		en
694	G_N	Saturday	en	hi	hi
695	PSP	ko	hi	en	hi
696	G_PRP	kon	hi	hi	hi
697	G_N	kaam	hi	hi	hi
698	G_V	krta	hi	hi	hi
699	G_V	hai	hi	hi	univ
700	G_X	..	univ	hi	hi
701	G_PRT	ullu	hi	univ	hi
702	PSP	k	hi	hi	hi
703	G_PRT	phatay	hi	hi	univ
704	E	😠	univ	hi	en
705	G_PRP	I	en	univ	en
706	G_V	can	en	en	en
707	G_V	watch	en	en	ne
708	G_N	Pakistan	ne	en	en
709	G_V	loosing	en	ne	en
710	PSP	at	en	en	en
711	G_N	home	en	en	en
712	G_PRT	not	en	en	en
713	PSP	in	en	en	en
714	G_J	fucking	en	en	en
715	G_N	office	en	en	univ
716	E	😩	univ	en	
717	@	@Liaqat842	univ		hi
718	G_PRP	tum	hi	univ	hi
719	G_J	sahi	hi	hi	hi
720	G_V	keh	hi	hi	hi
721	G_V	rhy	hi	hi	hi
722	G_V	thy	hi	hi	hi
723	G_PRP	yeh	hi	hi	hi
724	G_SYM	zayda	hi	hi	hi
725	G_J	buri	hi	hi	en
726	G_N	timings	en	hi	hi
727	G_V	hain	hi	en	univ
728	$	3	univ	hi	hi
729	PSP	wali	hi	univ	en
730	G_N	match	en	hi	hi
731	PSP	ki😳	hi	en	hi
732	G_N	subah	hi	hi	hi
733	G_J	purany	hi	hi	en
734	G_N	office	en	hi	hi
735	PSP	bhi	hi	en	hi
736	G_V	jna	hi	hi	hi
737	G_V	hai	hi	hi	hi
738	G_N	kaam	hi	hi	hi
739	G_V	hai	hi	hi	univ
740	E	😏	univ	hi	
741	@	@ChocolateCharsi	univ		en
742	DT	no	en	univ	en
743	G_N	office	en	en	en
744	G_N	hours	en	en	univ
745	G_X	!	univ	en	hi
746	G_SYM	Saara	hi	univ	hi
747	G_N	kaam	hi	hi	hi
748	G_N	ghar	hi	hi	hi
749	PSP	per	hi	hi	
750	@	@hardik	univ		univ
751	@	@ImpatientWoman	univ	univ	hi
752	G_PRT	Arey	hi	univ	hi
753	G_N	jagah	hi	hi	hi
754	G_R	kahan	hi	hi	hi
755	G_V	hai	hi	hi	en
756	G_N	office	en	hi	hi
757	PSP	main	hi	en	univ
758	G_X	?	univ	hi	hi
759	G_SYM	Sab	hi	univ	hi
760	G_N	kaam	hi	hi	hi
761	G_J	chalu	hi	hi	hi
762	G_V	hai	hi	hi	
763	@	@FaslaRakhein	univ		en
764	G_N	dad	en	univ	en
765	G_N	office	en	en	hi
766	PSP	k	hi	en	hi
767	G_N	kaam	hi	hi	hi
768	PSP	me	hi	hi	hi
769	G_J	phasay	hi	hi	hi
770	G_V	hue	hi	hi	hi
771	G_V	hen	hi	hi	univ
772	G_X	..	univ	hi	univ
773	$	9	univ	univ	univ
774	G_X	,	univ	univ	univ
775	$	9.3	univ	univ	hi
776	PSP	tak	hi	univ	hi
777	G_V	aa	hi	hi	hi
778	G_V	jae	hi	hi	hi
779	G_V	ge	hi	hi	univ
780	G_X	...	univ	hi	univ
781	E	😒😒	univ	univ	hi
782	G_PRP	Yaha	hi	univ	en
783	G_V	wait	en	hi	hi
784	PSP	hi	hi	en	hi
785	G_PRT	nai	hi	hi	hi
786	G_V	ho	hi	hi	hi
