id	tag	word	label	prev_tag
91	G_V	play	en	G_J
92	DT	a	en	G_V
93	G_J	lovely	en	DT
94	G_N	bacha	hi	G_J
95	G_PRT	wala	hi	G_N
96	G_N	track	en	G_PRT
97	PSP	for	en	G_N
98	G_PRP	me	en	PSP
99	E	:)	univ	G_PRP
100	G_N	Am	en	E
101	G_V	having	en	G_N
102	G_J	serious	en	G_V
103	G_N	mix	en	G_J
104	G_N	emotions	en	G_N
105	G_PRP	these	en	G_N
106	G_N	days	en	G_PRP
107	G_X	.	univ	G_N
108	@	@SRKswarrior1	univ	
109	G_N	Bhai	hi	@
110	G_PRP	Koi	hi	G_N
111	G_N	pehchan	hi	G_PRP
112	G_PRT	wala	hi	G_N
113	G_PRP	Jo	hi	G_PRT
114	G_X	...	univ	G_PRP
115	G_N	songs	en	G_X
116	G_V	compile	en	G_N
117	G_V	kr	hi	G_V
118	G_V	le	hi	G_V
119	G_N	kl	hi	G_V
120	G_N	sis	en	G_N
121	PSP	ka	hi	G_N
122	G_N	dance	en	PSP
123	G_N	competition	en	G_N
124	G_V	he	hi	G_N
125	G_X	....	univ	G_V
126	G_SYM	teeno	hi	G_X
127	G_N	mix	en	G_SYM
128	G_V	krne	hi	G_N
129	G_V	hein	hi	G_V
130	PSP	without	en	G_V
131	G_V	pause	en	PSP
132	G_PRP	Ye	hi	
133	G_N	Veet	ne	G_PRP
134	PSP	ke	hi	G_N
135	G_X	.	univ	PSP
136	G_N	ad	en	G_X
137	G_X	.	univ	G_N
138	PSP	main	hi	G_X
139	G_PRP	wo	hi	PSP
140	G_N	ladki	hi	G_PRP
141	G_R	kitni	hi	G_N
142	G_N	gandhi	hi	G_R
143	CC	aur	hi	G_N
144	PSP	over	en	CC
145	G_V	acting	en	PSP
146	G_V	karti	hi	G_V
147	G_V	hai	hi	G_V
148	G_X	.	univ	G_V
149	G_PRP	Ye	hi	G_X
150	G_N	girl	en	G_PRP
151	G_N	models	en	G_N
152	PSP	ko	hi	G_N
153	G_R	itni	hi	PSP
154	G_J	Galatfahmi	hi	G_R
155	G_PRP	kyon	hi	G_J
156	G_V	hoti	hi	G_PRP
157	G_V	hai	hi	G_V
158	PSP	ki	hi	G_V
159	G_PRP	wo	hi	PSP
160	G_J	badi	hi	G_PRP
161	G_N	actress	en	G_J
162	G_V	hain	hi	G_N
163	G_N	Life	en	
164	G_N	Ok	en	G_N
165	G_J	Dream	en	G_N
166	G_N	Girl	en	G_J
167	G_SYM	Ek	hi	G_N
168	G_N	Ladki	hi	G_SYM
169	G_J	Deewani	hi	G_N
170	PSP	Si	hi	G_J
171	G_J	Upcoming	en	PSP
172	G_N	Tv	acro	G_J
173	G_N	show	en	G_N
174	G_N	Story	en	G_N
175	G_X	|	univ	G_N
176	G_N	Star	en	G_X
177	G_N	Cast	en	G_N
178	G_X	|	univ	G_N
179	G_N	Timing	en	G_X
180	G_X	|	univ	G_N
181	G_N	Promo	en	G_X
182	G_N	Wiki	ne	G_N
183	G_X	|	univ	G_N
184	G_N	Ne	hi	G_X
185	U	http://t.co/X9AhZRRPiD	univ	G_N
186	$	1	univ	
187	G_N	Ladke	hi	$
188	PSP	Ne	hi	G_N
189	G_SYM	ek	hi	PSP
190	G_N	Ladki	hi	G_SYM
191	PSP	Ko	hi	G_N
192	G_V	Call	en	PSP
193	PSP	Ki	hi	G_V
194	G_N	Boy	en	PSP
195	G_X	:	univ	G_N
196	G_PRP	I	en	G_X
197	G_V	LOVE	en	G_PRP
198	G_PRP	U	en	G_V
199	G_N	Jaan	hi	G_PRP
200	G_N	Girl-Sacchi	mixed	G_N
201	G_N	Boy-Mucchi	mixed	G_N
202	G_N	Girl	en	G_N
203	G_X	:	univ	G_N
204	G_SYM	ek	hi	G_X
205	G_SYM	100ka	univ	G_SYM
206	G_V	Recharge	en	G_SYM
207	G_V	Krwa	hi	G_V
208	G_V	Do	hi	G_V
209	G_R	Plz	en	G_V
210	G_N	Boy-Sorry	en	G_R
211	G_N	Didi	hi	G_N
212	G_J	Rong	en	G_N
213	G_N	Number	en	G_J
214	G_X	.	univ	G_N
215	G_N	Boy	en	
216	G_X	:	univ	G_N
217	G_PRP	Tum	hi	G_X
218	G_N	Ladki	hi	G_PRP
219	G_V	Ho	hi	G_N
220	PSP	Ke	hi	G_V
221	G_N	Sharab	hi	PSP
222	G_V	Peeti	hi	G_N
223	G_V	Ho	hi	G_V
224	G_X	??	univ	G_V
225	G_J	Awesome	en	G_X
226	G_V	reply	en	G_J
227	PSP	by	en	G_V
228	G_N	Girl	en	PSP
229	G_X	:	univ	G_N
230	G_PRT	To	hi	G_X
231	G_PRP	Kya	hi	G_PRT
232	$	2-4	univ	G_PRP
233	G_N	Peg	hi	$
234	PSP	Ke	hi	G_N
235	PSP	Liye	hi	PSP
236	G_N	Gender	en	PSP
237	G_V	Change	en	G_N
238	G_V	Karwaun	hi	G_V
239	G_X	???	univ	G_V
240	$	1	univ	
241	G_N	Ladke	hi	$
242	PSP	Ne	hi	G_N
243	G_SYM	ek	hi	PSP
244	G_N	Ladki	hi	G_SYM
245	PSP	Ko	hi	G_N
246	G_V	Call	en	PSP
247	G_V	Ki	hi	G_V
248	G_X	.	univ	G_V
249	G_N	Boy	en	G_X
250	G_X	:	univ	G_N
251	G_PRP	I	en	G_X
252	G_V	LOVE	en	G_PRP
253	G_PRP	U	en	G_V
254	G_N	Jaan	hi	G_PRP
255	G_X	.	univ	G_N
256	G_N	Girl	en	G_X
257	G_X	:	univ	G_N
258	G_N	Sacchi	hi	G_X
259	G_X	.	univ	G_N
260	G_N	Boy	en	G_X
261	G_X	:	univ	G_N
262	G_N	Mucchi	hi	G_X
263	G_X	.	univ	G_N
264	G_N	Girl	en	G_X
265	G_X	:	univ	G_N
266	G_SYM	ek	hi	G_X
267	G_SYM	100ka	univ	G_SYM
268	G_V	Recharge	en	G_SYM
269	G_V	Krwa	hi	G_V
270	G_X	...	univ	G_V
271	U	http://t.co/fBVr0axApf	univ	G_X
272	G_J	Brilliant	en	
273	G_N	Answer	en	G_J
274	PSP	By	en	G_N
275	G_N	Boy	en	PSP
276	G_N	Friend	en	G_N
277	PSP	on	en	G_N
278	G_N	Break	en	PSP
279	PSP	Up	en	G_N
280	G_X	…	univ	PSP
281	G_X	.	univ	G_X
282	G_N	Girl	en	G_X
283	G_X	;	univ	G_N
284	G_PRP	Tumhe	hi	G_X
285	G_PRP	Mere	hi	G_PRP
286	G_R	Jaisi	hi	G_PRP
287	G_N	Ladki	hi	G_R
288	G_PRT	Nahi	hi	G_N
289	G_V	Milegi	hi	G_PRT
290	G_X	.	univ	G_V
291	G_X	.	univ	G_X
292	G_X	.	univ	G_X
293	G_X	.	univ	G_X
294	G_X	.	univ	G_X
295	G_N	Boy	en	G_X
296	G_X	;	univ	G_N
297	G_V	Chill	en	G_X
298	G_X	...	univ	G_V
299	U	http://t.co/G6mF9fWFLQ	univ	G_X
300	G_N	Boy	en	
301	G_X	:	univ	G_N
302	G_PRP	Tum	hi	G_X
303	G_N	Ladki	hi	G_PRP
304	G_PRT	Ho	hi	G_N
305	PSP	Ke	hi	G_PRT
306	G_N	Sharab	hi	PSP
307	G_V	Peeti	hi	G_N
308	G_V	Ho	hi	G_V
309	G_X	??	univ	G_V
310	G_J	Awesome	en	G_X
311	G_V	reply	en	G_J
312	PSP	by	en	G_V
313	G_N	Girl	en	PSP
314	G_X	:	univ	G_N
315	G_PRT	To	hi	G_X
316	G_PRP	Kya	hi	G_PRT
317	$	2-4	univ	G_PRP
318	G_N	Peg	hi	$
319	PSP	Ke	hi	G_N
320	PSP	Liye	hi	PSP
321	G_N	Gender	en	PSP
322	G_V	Change	en	G_N
323	G_V	Karwaun	hi	G_V
324	G_X	???	univ	G_V
325	#	#IndvsSA	univ	G_X
326	#	#MaukaMauka	univ	#
327	G_N	Boy	en	
328	G_X	-	univ	G_N
329	G_N	badlapur	hi	G_X
330	G_V	dekhne	hi	G_N
331	G_V	chale	hi	G_V
332	G_N	Girl	en	G_V
333	G_X	-	univ	G_N
334	G_PRP	M	en	G_X
335	G_V	watching	en	G_PRP
336	G_N	india	en	G_V
337	PSP	vs	en	G_N
338	G_N	sa	acro	PSP
339	G_N	Boy	en	G_N
340	G_X	(	univ	G_N
341	G_V	calls	en	G_X
342	G_PRP	his	en	G_V
343	G_N	mom	en	G_PRP
344	G_X	)	univ	G_N
345	G_X	-	univ	G_X
346	G_N	Maa	hi	G_X
347	G_X	,	univ	G_N
348	G_PRP	maine	hi	G_X
349	G_N	ladki	hi	G_PRP
350	G_V	dhoond	hi	G_N
351	PSP	lee	hi	G_V
352	G_X	...	univ	PSP
353	G_J	Brilliant	en	
354	G_N	Answer	en	G_J
355	PSP	By	en	G_N
356	G_N	Boy	en	PSP
357	G_N	Friend	en	G_N
358	PSP	on	en	G_N
359	G_N	Break	en	PSP
360	PSP	Up	en	G_N
361	G_X	…	univ	PSP
362	G_X	.	univ	G_X
363	G_N	Girl	en	G_X
364	G_X	;	univ	G_N
365	G_PRP	Tumhe	hi	G_X
366	G_PRP	Mere	hi	G_PRP
367	G_R	Jaisi	hi	G_PRP
368	G_N	Ladki	hi	G_R
369	G_PRT	Nahi	hi	G_N
370	G_V	Milegi	hi	G_PRT
371	G_X	.	univ	G_V
372	G_X	.	univ	G_X
373	G_X	.	univ	G_X
374	G_X	.	univ	G_X
375	G_X	.	univ	G_X
376	G_N	Boy	en	G_X
377	G_X	;	univ	G_N
378	G_V	Chill	en	G_X
379	G_X	...	univ	G_V
380	U	http://t.co/tfdsDe3g50	univ	G_X
381	$	1	univ	
382	G_N	Ladke	hi	$
383	PSP	Ne	hi	G_N
384	G_SYM	ek	hi	PSP
385	G_N	Ladki	hi	G_SYM
386	PSP	Ko	hi	G_N
387	G_V	Call	en	PSP
388	G_V	Ki	hi	G_V
389	G_N	Boy	en	G_V
390	G_X	:	univ	G_N
391	G_PRP	I	en	G_X
392	G_V	LOVE	en	G_PRP
393	G_PRP	U	en	G_V
394	G_N	Jaan	en	G_PRP
395	G_N	Girl	en	G_N
396	G_X	:	univ	G_N
397	G_N	Sacchi	hi	G_X
398	G_N	Boy	en	G_N
399	G_X	:	univ	G_N
400	G_N	Mucchi	hi	G_X
401	G_N	Girl	en	G_N
402	G_X	:	univ	G_N
403	G_SYM	ek	hi	G_X
404	G_SYM	100ka	univ	G_SYM
405	G_V	Recharge	en	G_SYM
406	G_V	Krwa	hi	G_V
407	G_V	Do	hi	G_V
408	G_R	Plz	en	G_V
409	G_X	...	univ	G_R
410	U	http://t.co/lGuAKigGOX	univ	G_X
411	@	@kkundra	univ	
412	G_PRT	lol	univ	@
413	G_N	ladki	hi	G_PRT
414	G_V	mil	hi	G_N
415	G_V	gyi	hi	G_V
416	G_X	..	univ	G_V
417	G_N	Martina	ne	G_X
418	G_R	here	en	G_N
419	G_PRP	you	en	G_R
420	G_V	go	en	G_PRP
421	G_N	girl	en	G_V
422	G_X	..	univ	G_N
423	G_PRT	hahha	univ	G_X
424	G_PRT	shit	en	G_PRT
425	#	#Roadies	univ	G_PRT
426	G_N	Boy	en	
427	G_X	:	univ	G_N
428	G_X	-	univ	G_X
429	G_PRP	I	en	G_X
430	G_V	Love	en	G_PRP
431	G_PRP	You	en	G_V
432	G_X	,	univ	G_PRP
433	G_PRP	Tum	hi	G_X
434	G_PRP	Is	hi	G_PRP
435	G_N	Duniya	hi	G_PRP
436	G_V	Ki	hi	G_N
437	G_PRT	Sabse	hi	G_V
438	G_J	Khubsurat	hi	G_PRT
439	G_N	Ladki	hi	G_J
440	PSP	Ho	hi	G_N
441	G_N	Girl	en	PSP
442	G_X	:	univ	G_N
443	G_X	-	univ	G_X
444	PSP	Par	hi	G_X
445	G_PRP	Tumhare	hi	PSP
446	G_R	Peeche	hi	G_PRP
447	CC	Toh	hi	G_R
448	G_PRP	Mujhse	hi	CC
449	G_PRP	Bhi	hi	G_PRP
450	G_SYM	Zyaada	hi	G_PRP
451	G_X	...	univ	G_SYM
452	U	http://t.co/mNVsAUACmR	univ	G_X
453	G_X	double_quotes	univ	
454	G_PRP	jab	hi	G_X
455	G_PRP	koi	hi	G_PRP
456	G_N	ladki	hi	G_PRP
457	G_PRT	na	hi	G_N
458	G_V	kehti	hi	G_PRT
459	G_V	hai	hi	G_V
460	G_X	,	univ	G_V
461	CC	toh	hi	G_X
462	G_PRP	uska	hi	CC
463	G_N	matlab	hi	G_PRP
464	G_PRT	na	hi	G_N
465	G_PRT	hi	hi	G_PRT
466	G_V	hota	hi	G_PRT
467	G_V	hai	hi	G_V
468	G_X	(	univ	G_V
469	G_R	when	en	G_X
470	DT	a	en	G_R
471	G_N	girl	en	DT
472	G_V	says	en	G_N
473	G_PRT	no	en	G_V
474	G_X	,	univ	G_PRT
475	G_PRP	it	en	G_X
476	G_R	only	en	G_PRP
477	G_V	means	en	G_R
478	G_PRT	no	en	G_V
479	G_X	)	univ	G_PRT
480	G_X	double_quotes	univ	G_X
481	#	#soimportant	univ	G_X
482	U	http://t.co/CkAMzmhH1g	univ	#
483	G_SYM	Ek	hi	
484	G_J	Buri	hi	G_SYM
485	G_N	Ladki	hi	G_J
486	G_X	(	univ	G_N
487	DT	A	en	G_X
488	G_J	Bad	en	DT
489	G_N	Girl	en	G_J
490	G_X	)	univ	G_N
491	U	http://t.co/koPv0s5kha	univ	G_X
492	PSP	via	en	U
493	@	@imgur	univ	PSP
494	G_PRT	BAHAHA	univ	@
495	G_X	.	univ	G_PRT
496	G_PRP	I	en	G_X
497	G_V	guess	en	G_PRP
498	G_N	I'm	en	G_V
499	DT	a	en	G_N
500	#	#badgirl	univ	DT
501	E	:P	univ	#
502	#	#whatajoke	univ	E
503	#	#loadofcrap	univ	#
504	G_J	Brlnt	en	
505	G_N	Ans	en	G_J
506	PSP	By	en	G_N
507	G_N	bf	en	PSP
508	PSP	on	en	G_N
509	G_N	Brk	en	PSP
510	PSP	Up	en	G_N
511	G_X	.	univ	PSP
512	G_N	Girl	en	G_X
513	G_X	;	univ	G_N
514	G_PRP	Tmhe	hi	G_X
515	G_PRP	Mere	hi	G_PRP
516	G_R	Jaisi	hi	G_PRP
517	G_N	Ladki	hi	G_R
518	G_PRT	Nahi	hi	G_N
519	G_V	Milegi	hi	G_PRT
520	G_X	.	univ	G_V
521	G_N	Boy	en	G_X
522	G_V	Chil	en	G_N
523	G_N	swthrt	en	G_V
524	G_PRP	Mjhe	hi	G_N
525	G_PRP	Tu	hi	G_PRP
526	PSP	Hi	hi	G_PRP
527	G_PRT	Ni	hi	PSP
528	G_N	Psnd	hi	G_PRT
529	CC	To	hi	G_N
530	G_PRP	Teri	hi	CC
531	PSP	Jaise	hi	G_PRP
532	G_PRP	Kyu	hi	PSP
533	G_V	dhudunga	hi	G_PRP
534	G_N	Yaar	hi	
535	G_SYM	ek	hi	G_N
536	G_N	ladki	hi	G_SYM
537	G_V	hai	hi	G_N
538	G_X	!	univ	G_V
539	G_N	Haan	hi	G_X
540	G_X	!	univ	G_N
541	G_N	Sachi	hi	G_X
542	G_X	!	univ	G_N
543	G_SYM	Ek	hi	G_X
544	G_J	naya	hi	G_SYM
545	G_N	crush	en	G_J
546	G_X	!	univ	G_N
547	G_X	💞	univ	G_X
548	G_PRT	Aree	hi	G_X
549	G_N	yaar	hi	G_PRT
550	G_N	sachi	hi	G_N
551	G_X	!	univ	G_N
552	G_R	Okay	en	G_X
553	G_V	check	en	G_R
554	G_PRT	out	en	G_V
555	@	@ZaalimGF	univ	G_PRT
556	G_N	trailer	en	@
557	G_PRP	This	en	G_N
558	G_N	girl-	en	G_PRP
559	@	@meprachimishra	univ	G_N
560	#	#gorgeous	univ	@
561	G_X	👰	univ	#
562	@	@tehseenp	univ	
563	@	@bwoyblunder	univ	@
564	@	@PMOIndia	univ	@
565	@	@narendramodi	univ	@
566	G_N	bhai	hi	@
567	G_PRP	mere	hi	G_N
568	G_N	office	en	G_PRP
569	PSP	me	hi	G_N
570	G_N	receptionist	en	PSP
571	PSP	ki	hi	G_N
572	G_N	position	en	PSP
573	G_V	khaali	hi	G_N
574	G_V	hai	hi	G_V
575	G_X	.	univ	G_V
576	G_SYM	kuch	hi	G_X
577	G_N	kaam	hi	G_SYM
578	G_PRT	nahi	hi	G_N
579	G_PRT	to	hi	G_PRT
580	G_V	lagwa	hi	G_PRT
581	G_V	dun	hi	G_V
582	G_N	naukri	hi	G_V
583	G_X	?	univ	G_N
584	@	@praktabh	univ	
585	G_N	abe	hi	@
586	G_N	office	en	G_N
587	PSP	me	hi	G_N
588	G_V	kaam	hi	PSP
589	G_V	kr	hi	G_V
590	G_X	..	univ	G_V
591	G_PRT	nahi	hi	G_X
592	G_PRT	to	hi	G_PRT
593	G_N	boss	en	G_PRT
594	G_PRT	gand	hi	G_N
595	PSP	pe	hi	G_PRT
596	G_V	laat	hi	PSP
597	G_V	maar	hi	G_V
598	PSP	k	hi	G_V
599	G_V	bhaga	hi	PSP
600	G_V	dega	hi	G_V
601	@	@Ujala4u	univ	
602	G_PRT	haaha	hi	@
603	G_X	..	univ	G_PRT
604	G_PRP	hum	hi	G_X
605	G_PRP	aisy	hi	G_PRP
606	G_PRT	he	hi	G_PRP
607	G_V	hai	hi	G_PRT
608	G_N	biwi	hi	G_V
609	G_N	office	en	G_N
610	PSP	mein	hi	G_N
611	G_N	kaam	hi	PSP
612	G_PRP	kion	hi	G_N
613	G_V	kry	hi	G_PRP
614	G_X	..	univ	G_V
615	G_PRT	hahah	univ	G_X
616	@	@Dawoodnusrat	univ	
617	G_N	bus	en	@
618	G_N	office	en	G_N
619	G_PRT	he	hi	G_N
620	G_V	hn	hi	G_PRT
621	G_X	,	univ	G_V
622	G_N	Sat	en	G_X
623	G_SYM	thora	hi	G_N
624	G_J	thanda	hi	G_SYM
625	G_N	hota	hi	G_J
626	G_V	hay	hi	G_N
627	G_N	kaam	hi	G_V
628	PSP	k	hi	G_N
629	G_N	point	en	PSP
630	PSP	of	en	G_N
631	G_N	view	en	PSP
632	PSP	say	hi	G_N
633	G_PRP	you	en	PSP
634	G_V	know	en	G_PRP
635	E	:)	univ	G_V
636	@	@siyal_khan	univ	
637	G_N	office	en	@
638	G_PRP	abb	hi	G_N
639	G_PRP	hum	hi	G_PRP
640	G_SYM	sub	hi	G_PRP
641	G_V	kaam	hi	G_SYM
642	G_V	karty	hi	G_V
643	G_PRP	koi	hi	G_V
644	G_N	uni	hi	G_PRP
645	G_N	clg	en	G_N
646	G_PRT	nae	hi	G_N
647	G_V	jata	hi	G_PRT
648	G_PRP	mere	hi	G_V
649	G_N	ghar	hi	G_PRP
650	G_X	“	univ	
651	@	@RamgarhKaJai	univ	G_X
652	G_X	:	univ	@
653	G_N	Office	en	G_X
654	G_N	bhi	hi	G_N
655	G_PRP	koi	hi	G_N
656	G_N	kaam	hi	G_PRP
657	G_V	karne	hi	G_N
658	PSP	ki	hi	G_V
659	G_N	jagah	hi	PSP
660	G_V	hai	hi	G_N
661	G_N	bhala	hi	G_V
662	G_X	?	univ	G_N
663	G_X	”	univ	G_X
664	G_PRT	Nahi	hi	G_X
665	G_X	.	univ	G_PRT
666	G_N	Tabela	hi	G_X
667	G_V	is	hi	G_N
668	G_J	better	en	G_V
669	G_X	.	univ	G_J
670	G_V	Chalo	hi	G_X
671	G_PRP	waha	hi	G_V
672	G_V	chale	hi	G_PRP
673	G_X	.	univ	G_V
674	@	@eqrab	univ	
675	@	@HajraAbbottaba	univ	@
676	@	@AnjumIqbalPTI	univ	@
677	G_PRT	Array	hi	@
678	G_N	yar	hi	G_PRT
679	G_N	hans	hi	G_N
680	G_V	kar	hi	G_N
681	G_N	dil	hi	G_V
682	G_PRT	na	hi	G_N
683	G_N	jalao	hi	G_PRT
684	G_R	abhi	hi	G_N
685	G_SYM	sara	hi	G_R
686	G_N	din	hi	G_SYM
687	G_N	office	en	G_N
688	PSP	main	hi	G_N
689	G_PRP	bhi	hi	PSP
690	G_N	kaam	hi	G_PRP
691	G_N	karna	hi	G_N
692	G_V	hay	hi	G_N
693	G_PRT	Yar	hi	
694	G_N	Saturday	en	G_PRT
695	PSP	ko	hi	G_N
696	G_PRP	kon	hi	PSP
697	G_N	kaam	hi	G_PRP
698	G_V	krta	hi	G_N
699	G_V	hai	hi	G_V
700	G_X	..	univ	G_V
701	G_PRT	ullu	hi	G_X
702	PSP	k	hi	G_PRT
703	G_PRT	phatay	hi	PSP
704	E	😠	univ	G_PRT
705	G_PRP	I	en	E
706	G_V	can	en	G_PRP
707	G_V	watch	en	G_V
708	G_N	Pakistan	ne	G_V
709	G_V	loosing	en	G_N
710	PSP	at	en	G_V
711	G_N	home	en	PSP
712	G_PRT	not	en	G_N
713	PSP	in	en	G_PRT
714	G_J	fucking	en	PSP
715	G_N	office	en	G_J
716	E	😩	univ	G_N
717	@	@Liaqat842	univ	
718	G_PRP	tum	hi	@
719	G_J	sahi	hi	G_PRP
720	G_V	keh	hi	G_J
721	G_V	rhy	hi	G_V
722	G_V	thy	hi	G_V
723	G_PRP	yeh	hi	G_V
724	G_SYM	zayda	hi	G_PRP
725	G_J	buri	hi	G_SYM
726	G_N	timings	en	G_J
727	G_V	hain	hi	G_N
728	$	3	univ	G_V
729	PSP	wali	hi	$
730	G_N	match	en	PSP
731	PSP	ki😳	hi	G_N
732	G_N	subah	hi	PSP
733	G_J	purany	hi	G_N
734	G_N	office	en	G_J
735	PSP	bhi	hi	G_N
736	G_V	jna	hi	PSP
737	G_V	hai	hi	G_V
738	G_N	kaam	hi	G_V
739	G_V	hai	hi	G_N
740	E	😏	univ	G_V
741	@	@ChocolateCharsi	univ	
742	DT	no	en	@
743	G_N	office	en	DT
744	G_N	hours	en	G_N
745	G_X	!	univ	G_N
746	G_SYM	Saara	hi	G_X
747	G_N	kaam	hi	G_SYM
748	G_N	ghar	hi	G_N
749	PSP	per	hi	G_N
750	@	@hardik	univ	
751	@	@ImpatientWoman	univ	@
752	G_PRT	Arey	hi	@
753	G_N	jagah	hi	G_PRT
754	G_R	kahan	hi	G_N
755	G_V	hai	hi	G_R
756	G_N	office	en	G_V
757	PSP	main	hi	G_N
758	G_X	?	univ	PSP
759	G_SYM	Sab	hi	G_X
760	G_N	kaam	hi	G_SYM
761	G_J	chalu	hi	G_N
762	G_V	hai	hi	G_J
763	@	@FaslaRakhein	univ	
764	G_N	dad	en	@
765	G_N	office	en	G_N
766	PSP	k	hi	G_N
767	G_N	kaam	hi	PSP
768	PSP	me	hi	G_N
769	G_J	phasay	hi	PSP
770	G_V	hue	hi	G_J
771	G_V	hen	hi	G_V
772	G_X	..	univ	G_V
773	$	9	univ	G_X
774	G_X	,	univ	$
775	$	9.3	univ	G_X
776	PSP	tak	hi	$
777	G_V	aa	hi	PSP
778	G_V	jae	hi	G_V
779	G_V	ge	hi	G_V
780	G_X	...	univ	G_V
781	E	😒😒	univ	G_X
782	G_PRP	Yaha	hi	E
783	G_V	wait	en	G_PRP
784	PSP	hi	hi	G_V
785	G_PRT	nai	hi	PSP
786	G_V	ho	hi	G_PRT
787	G_V	raha	hi	G_V
788	G_X	..	univ	G_V
789	E	😒😒😕	univ	G_X
790	@	@BeingSkChetan	univ	
791	G_PRT	hmmm	univ	@
792	E	😳	univ	G_PRT
793	G_N	Office	en	E
794	PSP	me	hi	G_N
795	G_V	tweet	en	PSP
796	G_V	karre	hi	G_V
797	G_V	lai	hi	G_V
798	G_X	?	univ	G_V
799	G_R	Phir	hi	G_X
800	G_PRT	toh	hi	G_R
801	G_N	kaam	hi	G_PRT
802	G_N	der	hi	G_N
803	PSP	se	hi	G_N
804	G_J	khatam	hi	PSP
805	G_V	hone	hi	G_J
806	PSP	ko	hi	G_V
807	G_V	hai	hi	PSP
808	G_X	!	univ	G_V
809	E	😂😂😂	univ	G_X
810	@	@FanSidharth	univ	
811	G_PRP	Muje	hi	@
812	G_V	dekhne	hi	G_PRP
813	PSP	ke	hi	G_V
814	PSP	liye	hi	PSP
815	G_N	time	en	PSP
816	G_R	nhi	hi	G_N
817	G_V	milta	hi	G_R
818	G_V	hai	hi	G_V
819	G_V	re	hi	G_V
820	G_X	.	univ	G_V
821	G_PRP	Kya	hi	G_X
822	G_V	karu	hi	G_PRP
823	G_V	bata	hi	G_V
824	G_PRT	biddu	hi	G_V
825	G_PRP	tu	hi	G_PRT
826	G_V	bata	hi	G_PRP
827	G_X	?	univ	G_V
828	G_N	Office	en	G_X
829	PSP	me	hi	G_N
830	G_N	kaam	hi	PSP
831	G_PRT	bhi	hi	G_N
832	G_V	hai	hi	G_PRT
833	G_V	bole	hi	G_V
834	G_PRT	to	hi	G_V
835	@	@SniperSpot	univ	
836	@	@SansadBhawan	univ	@
837	@	@AkshayA80203737	univ	@
838	@	@Ek_AAPtard	univ	@
839	@	@sanat397	univ	@
