word	prev_word	next_word	label	prev_label	next_label	prev_tag	tag
Jaan	U	0	hi	en	univ	G_PRP	G_N
0	Jaan	Girl	univ	hi	en	G_N	G_X
Girl	0	:	en	univ	univ	G_X	G_N
:	Girl	Sacchi	univ	en	hi	G_N	G_X
Sacchi	:	0	hi	univ	univ	G_X	G_N
0	Sacchi	Boy	univ	hi	en	G_N	G_X
Boy	0	:	en	univ	univ	G_X	G_N
:	Boy	Mucchi	univ	en	hi	G_N	G_X
Mucchi	:	0	hi	univ	univ	G_X	G_N
0	Mucchi	Girl	univ	hi	en	G_N	G_X
Girl	0	:	en	univ	univ	G_X	G_N
:	Girl	ek	univ	en	hi	G_N	G_X
ek	:	100ka	hi	univ	univ	G_X	G_SYM
100ka	ek	Recharge	univ	hi	en	G_SYM	G_SYM
Recharge	100ka	Krwa	en	univ	hi	G_SYM	G_V
Krwa	Recharge	...	hi	en	univ	G_V	G_V
...	Krwa	http://t.co/fBVr0axApf	univ	hi	univ	G_V	G_X
http://t.co/fBVr0axApf	...	####	univ	univ	####	G_X	U
####	http://t.co/fBVr0axApf	Brilliant	####	univ	en	U	####
Brilliant	####	Answer	en	####	en	####	G_J
Answer	Brilliant	By	en	en	en	G_J	G_N
By	Answer	Boy	en	en	en	G_N	PSP
Boy	By	Friend	en	en	en	PSP	G_N
Friend	Boy	on	en	en	en	G_N	G_N
on	Friend	Break	en	en	en	G_N	PSP
Break	on	Up	en	en	en	PSP	G_N
Up	Break	…	en	en	univ	G_N	PSP
…	Up	0	univ	en	univ	PSP	G_X
0	…	Girl	univ	univ	en	G_X	G_X
Girl	0	;	en	univ	univ	G_X	G_N
;	Girl	Tumhe	univ	en	hi	G_N	G_X
Tumhe	;	Mere	hi	univ	hi	G_X	G_PRP
Mere	Tumhe	Jaisi	hi	hi	hi	G_PRP	G_PRP
Jaisi	Mere	Ladki	hi	hi	hi	G_PRP	G_R
Ladki	Jaisi	Nahi	hi	hi	hi	G_R	G_N
Nahi	Ladki	Milegi	hi	hi	hi	G_N	G_PRT
Milegi	Nahi	0	hi	hi	univ	G_PRT	G_V
0	Milegi	0	univ	hi	univ	G_V	G_X
0	0	0	univ	univ	univ	G_X	G_X
0	0	0	univ	univ	univ	G_X	G_X
0	0	0	univ	univ	univ	G_X	G_X
0	0	Boy	univ	univ	en	G_X	G_X
Boy	0	;	en	univ	univ	G_X	G_N
;	Boy	Chill	univ	en	en	G_N	G_X
Chill	;	...	en	univ	univ	G_X	G_V
...	Chill	http://t.co/G6mF9fWFLQ	univ	en	univ	G_V	G_X
http://t.co/G6mF9fWFLQ	...	####	univ	univ	####	G_X	U
####	http://t.co/G6mF9fWFLQ	Boy	####	univ	en	U	####
Boy	####	:	en	####	univ	####	G_N
:	Boy	Tum	univ	en	hi	G_N	G_X
Tum	:	Ladki	hi	univ	hi	G_X	G_PRP
Ladki	Tum	Ho	hi	hi	hi	G_PRP	G_N
Ho	Ladki	Ke	hi	hi	hi	G_N	G_PRT
Ke	Ho	Sharab	hi	hi	hi	G_PRT	PSP
Sharab	Ke	Peeti	hi	hi	hi	PSP	G_N
Peeti	Sharab	Ho	hi	hi	hi	G_N	G_V
Ho	Peeti	??	hi	hi	univ	G_V	G_V
??	Ho	Awesome	univ	hi	en	G_V	G_X
Awesome	??	reply	en	univ	en	G_X	G_J
reply	Awesome	by	en	en	en	G_J	G_V
by	reply	Girl	en	en	en	G_V	PSP
Girl	by	:	en	en	univ	PSP	G_N
:	Girl	To	univ	en	hi	G_N	G_X
To	:	Kya	hi	univ	hi	G_X	G_PRT
Kya	To	2-4	hi	hi	univ	G_PRT	G_PRP
2-4	Kya	Peg	univ	hi	hi	G_PRP	$
Peg	2-4	Ke	hi	univ	hi	$	G_N
Ke	Peg	Liye	hi	hi	hi	G_N	PSP
Liye	Ke	Gender	hi	hi	en	PSP	PSP
Gender	Liye	Change	en	hi	en	PSP	G_N
Change	Gender	Karwaun	en	en	hi	G_N	G_V
Karwaun	Change	???	hi	en	univ	G_V	G_V
???	Karwaun	#IndvsSA	univ	hi	univ	G_V	G_X
#IndvsSA	???	#MaukaMauka	univ	univ	univ	G_X	#
#MaukaMauka	#IndvsSA	####	univ	univ	####	#	#
####	#MaukaMauka	Boy	####	univ	en	#	####
Boy	####	-	en	####	univ	####	G_N
-	Boy	badlapur	univ	en	hi	G_N	G_X
badlapur	-	dekhne	hi	univ	hi	G_X	G_N
dekhne	badlapur	chale	hi	hi	hi	G_N	G_V
chale	dekhne	Girl	hi	hi	en	G_V	G_V
Girl	chale	-	en	hi	univ	G_V	G_N
-	Girl	M	univ	en	en	G_N	G_X
M	-	watching	en	univ	en	G_X	G_PRP
watching	M	india	en	en	en	G_PRP	G_V
india	watching	vs	en	en	en	G_V	G_N
vs	india	sa	en	en	acro	G_N	PSP
sa	vs	Boy	acro	en	en	PSP	G_N
Boy	sa	(	en	acro	univ	G_N	G_N
(	Boy	calls	univ	en	en	G_N	G_X
calls	(	his	en	univ	en	G_X	G_V
his	calls	mom	en	en	en	G_V	G_PRP
mom	his	)	en	en	univ	G_PRP	G_N
)	mom	-	univ	en	univ	G_N	G_X
-	)	Maa	univ	univ	hi	G_X	G_X
Maa	-	,	hi	univ	univ	G_X	G_N
,	Maa	maine	univ	hi	hi	G_N	G_X
maine	,	ladki	hi	univ	hi	G_X	G_PRP
ladki	maine	dhoond	hi	hi	hi	G_PRP	G_N
dhoond	ladki	lee	hi	hi	hi	G_N	G_V
lee	dhoond	...	hi	hi	univ	G_V	PSP
...	lee	####	univ	hi	####	PSP	G_X
####	...	Brilliant	####	univ	en	G_X	####
Brilliant	####	Answer	en	####	en	####	G_J
Answer	Brilliant	By	en	en	en	G_J	G_N
By	Answer	Boy	en	en	en	G_N	PSP
Boy	By	Friend	en	en	en	PSP	G_N
Friend	Boy	on	en	en	en	G_N	G_N
on	Friend	Break	en	en	en	G_N	PSP
Break	on	Up	en	en	en	PSP	G_N
Up	Break	…	en	en	univ	G_N	PSP
…	Up	0	univ	en	univ	PSP	G_X
0	…	Girl	univ	univ	en	G_X	G_X
Girl	0	;	en	univ	univ	G_X	G_N
;	Girl	Tumhe	univ	en	hi	G_N	G_X
Tumhe	;	Mere	hi	univ	hi	G_X	G_PRP
Mere	Tumhe	Jaisi	hi	hi	hi	G_PRP	G_PRP
Jaisi	Mere	Ladki	hi	hi	hi	G_PRP	G_R
Ladki	Jaisi	Nahi	hi	hi	hi	G_R	G_N
Nahi	Ladki	Milegi	hi	hi	hi	G_N	G_PRT
Milegi	Nahi	0	hi	hi	univ	G_PRT	G_V
0	Milegi	0	univ	hi	univ	G_V	G_X
0	0	0	univ	univ	univ	G_X	G_X
0	0	0	univ	univ	univ	G_X	G_X
0	0	0	univ	univ	univ	G_X	G_X
0	0	Boy	univ	univ	en	G_X	G_X
Boy	0	;	en	univ	univ	G_X	G_N
;	Boy	Chill	univ	en	en	G_N	G_X
Chill	;	...	en	univ	univ	G_X	G_V
...	Chill	http://t.co/tfdsDe3g50	univ	en	univ	G_V	G_X
http://t.co/tfdsDe3g50	...	####	univ	univ	####	G_X	U
####	http://t.co/tfdsDe3g50	1	####	univ	univ	U	####
1	####	Ladke	univ	####	hi	####	$
Ladke	1	Ne	hi	univ	hi	$	G_N
Ne	Ladke	ek	hi	hi	hi	G_N	PSP
ek	Ne	Ladki	hi	hi	hi	PSP	G_SYM
Ladki	ek	Ko	hi	hi	hi	G_SYM	G_N
Ko	Ladki	Call	hi	hi	en	G_N	PSP
Call	Ko	Ki	en	hi	hi	PSP	G_V
Ki	Call	Boy	hi	en	en	G_V	G_V
Boy	Ki	:	en	hi	univ	G_V	G_N
:	Boy	I	univ	en	en	G_N	G_X
I	:	LOVE	en	univ	en	G_X	G_PRP
LOVE	I	U	en	en	en	G_PRP	G_V
U	LOVE	Jaan	en	en	en	G_V	G_PRP
Jaan	U	Girl	en	en	en	G_PRP	G_N
Girl	Jaan	:	en	en	univ	G_N	G_N
:	Girl	Sacchi	univ	en	hi	G_N	G_X
Sacchi	:	Boy	hi	univ	en	G_X	G_N
Boy	Sacchi	:	en	hi	univ	G_N	G_N
:	Boy	Mucchi	univ	en	hi	G_N	G_X
Mucchi	:	Girl	hi	univ	en	G_X	G_N
Girl	Mucchi	:	en	hi	univ	G_N	G_N
:	Girl	ek	univ	en	hi	G_N	G_X
ek	:	100ka	hi	univ	univ	G_X	G_SYM
100ka	ek	Recharge	univ	hi	en	G_SYM	G_SYM
Recharge	100ka	Krwa	en	univ	hi	G_SYM	G_V
Krwa	Recharge	Do	hi	en	hi	G_V	G_V
Do	Krwa	Plz	hi	hi	en	G_V	G_V
Plz	Do	...	en	hi	univ	G_V	G_R
...	Plz	http://t.co/lGuAKigGOX	univ	en	univ	G_R	G_X
http://t.co/lGuAKigGOX	...	####	univ	univ	####	G_X	U
####	http://t.co/lGuAKigGOX	@kkundra	####	univ	univ	U	####
@kkundra	####	lol	univ	####	univ	####	@
lol	@kkundra	ladki	univ	univ	hi	@	G_PRT
ladki	lol	mil	hi	univ	hi	G_PRT	G_N
mil	ladki	gyi	hi	hi	hi	G_N	G_V
gyi	mil	..	hi	hi	univ	G_V	G_V
..	gyi	Martina	univ	hi	ne	G_V	G_X
Martina	..	here	ne	univ	en	G_X	G_N
here	Martina	you	en	ne	en	G_N	G_R
you	here	go	en	en	en	G_R	G_PRP
go	you	girl	en	en	en	G_PRP	G_V
girl	go	..	en	en	univ	G_V	G_N
..	girl	hahha	univ	en	univ	G_N	G_X
hahha	..	shit	univ	univ	en	G_X	G_PRT
shit	hahha	#Roadies	en	univ	univ	G_PRT	G_PRT
#Roadies	shit	####	univ	en	####	G_PRT	#
####	#Roadies	Boy	####	univ	en	#	####
Boy	####	:	en	####	univ	####	G_N
:	Boy	-	univ	en	univ	G_N	G_X
-	:	I	univ	univ	en	G_X	G_X
I	-	Love	en	univ	en	G_X	G_PRP
Love	I	You	en	en	en	G_PRP	G_V
You	Love	,	en	en	univ	G_V	G_PRP
,	You	Tum	univ	en	hi	G_PRP	G_X
Tum	,	Is	hi	univ	hi	G_X	G_PRP
Is	Tum	Duniya	hi	hi	hi	G_PRP	G_PRP
Duniya	Is	Ki	hi	hi	hi	G_PRP	G_N
Ki	Duniya	Sabse	hi	hi	hi	G_N	G_V
Sabse	Ki	Khubsurat	hi	hi	hi	G_V	G_PRT
Khubsurat	Sabse	Ladki	hi	hi	hi	G_PRT	G_J
Ladki	Khubsurat	Ho	hi	hi	hi	G_J	G_N
Ho	Ladki	Girl	hi	hi	en	G_N	PSP
Girl	Ho	:	en	hi	univ	PSP	G_N
:	Girl	-	univ	en	univ	G_N	G_X
-	:	Par	univ	univ	hi	G_X	G_X
Par	-	Tumhare	hi	univ	hi	G_X	PSP
Tumhare	Par	Peeche	hi	hi	hi	PSP	G_PRP
Peeche	Tumhare	Toh	hi	hi	hi	G_PRP	G_R
Toh	Peeche	Mujhse	hi	hi	hi	G_R	CC
Mujhse	Toh	Bhi	hi	hi	hi	CC	G_PRP
Bhi	Mujhse	Zyaada	hi	hi	hi	G_PRP	G_PRP
Zyaada	Bhi	...	hi	hi	univ	G_PRP	G_SYM
...	Zyaada	http://t.co/mNVsAUACmR	univ	hi	univ	G_SYM	G_X
http://t.co/mNVsAUACmR	...	####	univ	univ	####	G_X	U
####	http://t.co/mNVsAUACmR	double_quotes	####	univ	univ	U	####
double_quotes	####	jab	univ	####	hi	####	G_X
jab	double_quotes	koi	hi	univ	hi	G_X	G_PRP
koi	jab	ladki	hi	hi	hi	G_PRP	G_PRP
ladki	koi	na	hi	hi	hi	G_PRP	G_N
na	ladki	kehti	hi	hi	hi	G_N	G_PRT
kehti	na	hai	hi	hi	hi	G_PRT	G_V
hai	kehti	,	hi	hi	univ	G_V	G_V
,	hai	toh	univ	hi	hi	G_V	G_X
toh	,	uska	hi	univ	hi	G_X	CC
uska	toh	matlab	hi	hi	hi	CC	G_PRP
matlab	uska	na	hi	hi	hi	G_PRP	G_N
na	matlab	hi	hi	hi	hi	G_N	G_PRT
hi	na	hota	hi	hi	hi	G_PRT	G_PRT
hota	hi	hai	hi	hi	hi	G_PRT	G_V
hai	hota	(	hi	hi	univ	G_V	G_V
(	hai	when	univ	hi	en	G_V	G_X
when	(	a	en	univ	en	G_X	G_R
a	when	girl	en	en	en	G_R	DT
girl	a	says	en	en	en	DT	G_N
says	girl	no	en	en	en	G_N	G_V
no	says	,	en	en	univ	G_V	G_PRT
,	no	it	univ	en	en	G_PRT	G_X
it	,	only	en	univ	en	G_X	G_PRP
only	it	means	en	en	en	G_PRP	G_R
means	only	no	en	en	en	G_R	G_V
no	means	)	en	en	univ	G_V	G_PRT
)	no	double_quotes	univ	en	univ	G_PRT	G_X
double_quotes	)	#soimportant	univ	univ	univ	G_X	G_X
#soimportant	double_quotes	http://t.co/CkAMzmhH1g	univ	univ	univ	G_X	#
http://t.co/CkAMzmhH1g	#soimportant	####	univ	univ	####	#	U
####	http://t.co/CkAMzmhH1g	Ek	####	univ	hi	U	####
Ek	####	Buri	hi	####	hi	####	G_SYM
Buri	Ek	Ladki	hi	hi	hi	G_SYM	G_J
Ladki	Buri	(	hi	hi	univ	G_J	G_N
(	Ladki	A	univ	hi	en	G_N	G_X
A	(	Bad	en	univ	en	G_X	DT
Bad	A	Girl	en	en	en	DT	G_J
Girl	Bad	)	en	en	univ	G_J	G_N
)	Girl	http://t.co/koPv0s5kha	univ	en	univ	G_N	G_X
http://t.co/koPv0s5kha	)	via	univ	univ	en	G_X	U
via	http://t.co/koPv0s5kha	@imgur	en	univ	univ	U	PSP
@imgur	via	BAHAHA	univ	en	univ	PSP	@
BAHAHA	@imgur	0	univ	univ	univ	@	G_PRT
0	BAHAHA	I	univ	univ	en	G_PRT	G_X
I	0	guess	en	univ	en	G_X	G_PRP
guess	I	I'm	en	en	en	G_PRP	G_V
