index	tag	word	label
122	G_N	dance	en
123	G_N	competition	en
124	G_V	he	hi
125	G_X	....	univ
126	G_SYM	teeno	hi
127	G_N	mix	en
128	G_V	krne	hi
129	G_V	hein	hi
130	PSP	without	en
131	G_V	pause	en
132	G_PRP	Ye	hi
133	G_N	Veet	ne
134	PSP	ke	hi
135	G_X	.	univ
136	G_N	ad	en
137	G_X	.	univ
138	PSP	main	hi
139	G_PRP	wo	hi
140	G_N	ladki	hi
141	G_R	kitni	hi
142	G_N	gandhi	hi
143	CC	aur	hi
144	PSP	over	en
145	G_V	acting	en
146	G_V	karti	hi
147	G_V	hai	hi
148	G_X	.	univ
149	G_PRP	Ye	hi
150	G_N	girl	en
151	G_N	models	en
152	PSP	ko	hi
153	G_R	itni	hi
154	G_J	Galatfahmi	hi
155	G_PRP	kyon	hi
156	G_V	hoti	hi
157	G_V	hai	hi
158	PSP	ki	hi
159	G_PRP	wo	hi
160	G_J	badi	hi
161	G_N	actress	en
162	G_V	hain	hi
163	G_N	Life	en
164	G_N	Ok	en
165	G_J	Dream	en
166	G_N	Girl	en
167	G_SYM	Ek	hi
168	G_N	Ladki	hi
169	G_J	Deewani	hi
170	PSP	Si	hi
171	G_J	Upcoming	en
172	G_N	Tv	acro
173	G_N	show	en
174	G_N	Story	en
175	G_X	|	univ
176	G_N	Star	en
177	G_N	Cast	en
178	G_X	|	univ
179	G_N	Timing	en
180	G_X	|	univ
181	G_N	Promo	en
182	G_N	Wiki	ne
183	G_X	|	univ
184	G_N	Ne	hi
185	U	http://t.co/X9AhZRRPiD	univ
186	$	1	univ
187	G_N	Ladke	hi
188	PSP	Ne	hi
189	G_SYM	ek	hi
190	G_N	Ladki	hi
191	PSP	Ko	hi
192	G_V	Call	en
193	PSP	Ki	hi
194	G_N	Boy	en
195	G_X	:	univ
196	G_PRP	I	en
197	G_V	LOVE	en
198	G_PRP	U	en
199	G_N	Jaan	hi
200	G_N	Girl-Sacchi	mixed
201	G_N	Boy-Mucchi	mixed
202	G_N	Girl	en
203	G_X	:	univ
204	G_SYM	ek	hi
205	G_SYM	100ka	univ
206	G_V	Recharge	en
207	G_V	Krwa	hi
208	G_V	Do	hi
209	G_R	Plz	en
210	G_N	Boy-Sorry	en
211	G_N	Didi	hi
212	G_J	Rong	en
213	G_N	Number	en
214	G_X	.	univ
215	G_N	Boy	en
216	G_X	:	univ
217	G_PRP	Tum	hi
218	G_N	Ladki	hi
219	G_V	Ho	hi
220	PSP	Ke	hi
221	G_N	Sharab	hi
222	G_V	Peeti	hi
223	G_V	Ho	hi
224	G_X	??	univ
225	G_J	Awesome	en
226	G_V	reply	en
227	PSP	by	en
228	G_N	Girl	en
229	G_X	:	univ
230	G_PRT	To	hi
231	G_PRP	Kya	hi
232	$	2-4	univ
233	G_N	Peg	hi
234	PSP	Ke	hi
235	PSP	Liye	hi
236	G_N	Gender	en
237	G_V	Change	en
238	G_V	Karwaun	hi
239	G_X	???	univ
240	$	1	univ
241	G_N	Ladke	hi
242	PSP	Ne	hi
243	G_SYM	ek	hi
244	G_N	Ladki	hi
245	PSP	Ko	hi
246	G_V	Call	en
247	G_V	Ki	hi
248	G_X	.	univ
249	G_N	Boy	en
250	G_X	:	univ
251	G_PRP	I	en
252	G_V	LOVE	en
253	G_PRP	U	en
254	G_N	Jaan	hi
255	G_X	.	univ
256	G_N	Girl	en
257	G_X	:	univ
258	G_N	Sacchi	hi
259	G_X	.	univ
260	G_N	Boy	en
261	G_X	:	univ
262	G_N	Mucchi	hi
263	G_X	.	univ
264	G_N	Girl	en
265	G_X	:	univ
266	G_SYM	ek	hi
267	G_SYM	100ka	univ
268	G_V	Recharge	en
269	G_V	Krwa	hi
270	G_X	...	univ
271	U	http://t.co/fBVr0axApf	univ
272	G_J	Brilliant	en
273	G_N	Answer	en
274	PSP	By	en
275	G_N	Boy	en
276	G_N	Friend	en
277	PSP	on	en
278	G_N	Break	en
279	PSP	Up	en
280	G_X	…	univ
281	G_X	.	univ
282	G_N	Girl	en
283	G_X	;	univ
284	G_PRP	Tumhe	hi
285	G_PRP	Mere	hi
286	G_R	Jaisi	hi
287	G_N	Ladki	hi
288	G_PRT	Nahi	hi
289	G_V	Milegi	hi
290	G_X	.	univ
291	G_X	.	univ
292	G_X	.	univ
293	G_X	.	univ
294	G_X	.	univ
295	G_N	Boy	en
296	G_X	;	univ
297	G_V	Chill	en
298	G_X	...	univ
299	U	http://t.co/G6mF9fWFLQ	univ
300	G_N	Boy	en
301	G_X	:	univ
302	G_PRP	Tum	hi
303	G_N	Ladki	hi
304	G_PRT	Ho	hi
305	PSP	Ke	hi
306	G_N	Sharab	hi
307	G_V	Peeti	hi
308	G_V	Ho	hi
309	G_X	??	univ
310	G_J	Awesome	en
311	G_V	reply	en
312	PSP	by	en
313	G_N	Girl	en
314	G_X	:	univ
315	G_PRT	To	hi
316	G_PRP	Kya	hi
317	$	2-4	univ
318	G_N	Peg	hi
319	PSP	Ke	hi
320	PSP	Liye	hi
321	G_N	Gender	en
322	G_V	Change	en
323	G_V	Karwaun	hi
324	G_X	???	univ
325	#	#IndvsSA	univ
326	#	#MaukaMauka	univ
327	G_N	Boy	en
328	G_X	-	univ
329	G_N	badlapur	hi
330	G_V	dekhne	hi
331	G_V	chale	hi
332	G_N	Girl	en
333	G_X	-	univ
334	G_PRP	M	en
335	G_V	watching	en
336	G_N	india	en
337	PSP	vs	en
338	G_N	sa	acro
339	G_N	Boy	en
340	G_X	(	univ
341	G_V	calls	en
342	G_PRP	his	en
343	G_N	mom	en
344	G_X	)	univ
345	G_X	-	univ
346	G_N	Maa	hi
347	G_X	,	univ
348	G_PRP	maine	hi
349	G_N	ladki	hi
350	G_V	dhoond	hi
351	PSP	lee	hi
352	G_X	...	univ
353	G_J	Brilliant	en
354	G_N	Answer	en
355	PSP	By	en
356	G_N	Boy	en
357	G_N	Friend	en
358	PSP	on	en
359	G_N	Break	en
360	PSP	Up	en
361	G_X	…	univ
362	G_X	.	univ
363	G_N	Girl	en
364	G_X	;	univ
365	G_PRP	Tumhe	hi
366	G_PRP	Mere	hi
367	G_R	Jaisi	hi
368	G_N	Ladki	hi
369	G_PRT	Nahi	hi
370	G_V	Milegi	hi
371	G_X	.	univ
372	G_X	.	univ
373	G_X	.	univ
374	G_X	.	univ
375	G_X	.	univ
376	G_N	Boy	en
377	G_X	;	univ
378	G_V	Chill	en
379	G_X	...	univ
380	U	http://t.co/tfdsDe3g50	univ
381	$	1	univ
382	G_N	Ladke	hi
383	PSP	Ne	hi
384	G_SYM	ek	hi
385	G_N	Ladki	hi
386	PSP	Ko	hi
387	G_V	Call	en
388	G_V	Ki	hi
389	G_N	Boy	en
390	G_X	:	univ
391	G_PRP	I	en
392	G_V	LOVE	en
393	G_PRP	U	en
394	G_N	Jaan	en
395	G_N	Girl	en
396	G_X	:	univ
397	G_N	Sacchi	hi
398	G_N	Boy	en
399	G_X	:	univ
400	G_N	Mucchi	hi
401	G_N	Girl	en
402	G_X	:	univ
403	G_SYM	ek	hi
404	G_SYM	100ka	univ
405	G_V	Recharge	en
406	G_V	Krwa	hi
407	G_V	Do	hi
408	G_R	Plz	en
409	G_X	...	univ
410	U	http://t.co/lGuAKigGOX	univ
411	@	@kkundra	univ
412	G_PRT	lol	univ
413	G_N	ladki	hi
414	G_V	mil	hi
415	G_V	gyi	hi
416	G_X	..	univ
417	G_N	Martina	ne
418	G_R	here	en
419	G_PRP	you	en
420	G_V	go	en
421	G_N	girl	en
422	G_X	..	univ
423	G_PRT	hahha	univ
424	G_PRT	shit	en
425	#	#Roadies	univ
426	G_N	Boy	en
427	G_X	:	univ
428	G_X	-	univ
429	G_PRP	I	en
430	G_V	Love	en
431	G_PRP	You	en
432	G_X	,	univ
433	G_PRP	Tum	hi
434	G_PRP	Is	hi
435	G_N	Duniya	hi
436	G_V	Ki	hi
437	G_PRT	Sabse	hi
438	G_J	Khubsurat	hi
439	G_N	Ladki	hi
440	PSP	Ho	hi
441	G_N	Girl	en
442	G_X	:	univ
443	G_X	-	univ
444	PSP	Par	hi
445	G_PRP	Tumhare	hi
446	G_R	Peeche	hi
447	CC	Toh	hi
448	G_PRP	Mujhse	hi
449	G_PRP	Bhi	hi
450	G_SYM	Zyaada	hi
451	G_X	...	univ
452	U	http://t.co/mNVsAUACmR	univ
453	G_X	double_quotes	univ
454	G_PRP	jab	hi
455	G_PRP	koi	hi
456	G_N	ladki	hi
457	G_PRT	na	hi
458	G_V	kehti	hi
459	G_V	hai	hi
460	G_X	,	univ
461	CC	toh	hi
462	G_PRP	uska	hi
463	G_N	matlab	hi
464	G_PRT	na	hi
465	G_PRT	hi	hi
466	G_V	hota	hi
467	G_V	hai	hi
468	G_X	(	univ
469	G_R	when	en
470	DT	a	en
471	G_N	girl	en
472	G_V	says	en
473	G_PRT	no	en
474	G_X	,	univ
475	G_PRP	it	en
476	G_R	only	en
477	G_V	means	en
478	G_PRT	no	en
479	G_X	)	univ
480	G_X	double_quotes	univ
481	#	#soimportant	univ
482	U	http://t.co/CkAMzmhH1g	univ
483	G_SYM	Ek	hi
484	G_J	Buri	hi
485	G_N	Ladki	hi
486	G_X	(	univ
487	DT	A	en
488	G_J	Bad	en
489	G_N	Girl	en
490	G_X	)	univ
491	U	http://t.co/koPv0s5kha	univ
492	PSP	via	en
493	@	@imgur	univ
494	G_PRT	BAHAHA	univ
495	G_X	.	univ
496	G_PRP	I	en
497	G_V	guess	en
498	G_N	I'm	en
499	DT	a	en
500	#	#badgirl	univ
501	E	:P	univ
502	#	#whatajoke	univ
503	#	#loadofcrap	univ
504	G_J	Brlnt	en
505	G_N	Ans	en
506	PSP	By	en
507	G_N	bf	en
508	PSP	on	en
509	G_N	Brk	en
510	PSP	Up	en
511	G_X	.	univ
512	G_N	Girl	en
513	G_X	;	univ
514	G_PRP	Tmhe	hi
515	G_PRP	Mere	hi
516	G_R	Jaisi	hi
517	G_N	Ladki	hi
518	G_PRT	Nahi	hi
519	G_V	Milegi	hi
520	G_X	.	univ
521	G_N	Boy	en
522	G_V	Chil	en
523	G_N	swthrt	en
524	G_PRP	Mjhe	hi
525	G_PRP	Tu	hi
526	PSP	Hi	hi
527	G_PRT	Ni	hi
528	G_N	Psnd	hi
529	CC	To	hi
530	G_PRP	Teri	hi
531	PSP	Jaise	hi
532	G_PRP	Kyu	hi
533	G_V	dhudunga	hi
534	G_N	Yaar	hi
535	G_SYM	ek	hi
536	G_N	ladki	hi
537	G_V	hai	hi
538	G_X	!	univ
539	G_N	Haan	hi
540	G_X	!	univ
541	G_N	Sachi	hi
542	G_X	!	univ
543	G_SYM	Ek	hi
544	G_J	naya	hi
545	G_N	crush	en
546	G_X	!	univ
547	G_X	💞	univ
548	G_PRT	Aree	hi
549	G_N	yaar	hi
550	G_N	sachi	hi
551	G_X	!	univ
552	G_R	Okay	en
553	G_V	check	en
554	G_PRT	out	en
555	@	@ZaalimGF	univ
556	G_N	trailer	en
557	G_PRP	This	en
558	G_N	girl-	en
559	@	@meprachimishra	univ
560	#	#gorgeous	univ
561	G_X	👰	univ
562	@	@tehseenp	univ
563	@	@bwoyblunder	univ
564	@	@PMOIndia	univ
565	@	@narendramodi	univ
566	G_N	bhai	hi
567	G_PRP	mere	hi
568	G_N	office	en
569	PSP	me	hi
570	G_N	receptionist	en
571	PSP	ki	hi
572	G_N	position	en
573	G_V	khaali	hi
574	G_V	hai	hi
575	G_X	.	univ
576	G_SYM	kuch	hi
577	G_N	kaam	hi
578	G_PRT	nahi	hi
579	G_PRT	to	hi
580	G_V	lagwa	hi
581	G_V	dun	hi
582	G_N	naukri	hi
583	G_X	?	univ
584	@	@praktabh	univ
585	G_N	abe	hi
586	G_N	office	en
587	PSP	me	hi
588	G_V	kaam	hi
589	G_V	kr	hi
590	G_X	..	univ
591	G_PRT	nahi	hi
592	G_PRT	to	hi
593	G_N	boss	en
594	G_PRT	gand	hi
595	PSP	pe	hi
596	G_V	laat	hi
597	G_V	maar	hi
598	PSP	k	hi
599	G_V	bhaga	hi
600	G_V	dega	hi
601	@	@Ujala4u	univ
602	G_PRT	haaha	hi
603	G_X	..	univ
604	G_PRP	hum	hi
605	G_PRP	aisy	hi
606	G_PRT	he	hi
607	G_V	hai	hi
608	G_N	biwi	hi
609	G_N	office	en
610	PSP	mein	hi
611	G_N	kaam	hi
612	G_PRP	kion	hi
613	G_V	kry	hi
614	G_X	..	univ
615	G_PRT	hahah	univ
616	@	@Dawoodnusrat	univ
617	G_N	bus	en
618	G_N	office	en
619	G_PRT	he	hi
620	G_V	hn	hi
621	G_X	,	univ
622	G_N	Sat	en
623	G_SYM	thora	hi
624	G_J	thanda	hi
625	G_N	hota	hi
626	G_V	hay	hi
627	G_N	kaam	hi
628	PSP	k	hi
629	G_N	point	en
630	PSP	of	en
631	G_N	view	en
632	PSP	say	hi
633	G_PRP	you	en
634	G_V	know	en
635	E	:)	univ
636	@	@siyal_khan	univ
637	G_N	office	en
638	G_PRP	abb	hi
639	G_PRP	hum	hi
640	G_SYM	sub	hi
641	G_V	kaam	hi
642	G_V	karty	hi
643	G_PRP	koi	hi
644	G_N	uni	hi
645	G_N	clg	en
646	G_PRT	nae	hi
647	G_V	jata	hi
648	G_PRP	mere	hi
649	G_N	ghar	hi
650	G_X	“	univ
651	@	@RamgarhKaJai	univ
652	G_X	:	univ
653	G_N	Office	en
654	G_N	bhi	hi
655	G_PRP	koi	hi
656	G_N	kaam	hi
657	G_V	karne	hi
658	PSP	ki	hi
659	G_N	jagah	hi
660	G_V	hai	hi
661	G_N	bhala	hi
662	G_X	?	univ
663	G_X	”	univ
664	G_PRT	Nahi	hi
665	G_X	.	univ
666	G_N	Tabela	hi
667	G_V	is	hi
668	G_J	better	en
669	G_X	.	univ
670	G_V	Chalo	hi
671	G_PRP	waha	hi
672	G_V	chale	hi
673	G_X	.	univ
674	@	@eqrab	univ
675	@	@HajraAbbottaba	univ
676	@	@AnjumIqbalPTI	univ
677	G_PRT	Array	hi
678	G_N	yar	hi
679	G_N	hans	hi
680	G_V	kar	hi
681	G_N	dil	hi
682	G_PRT	na	hi
683	G_N	jalao	hi
684	G_R	abhi	hi
685	G_SYM	sara	hi
686	G_N	din	hi
687	G_N	office	en
688	PSP	main	hi
689	G_PRP	bhi	hi
690	G_N	kaam	hi
691	G_N	karna	hi
692	G_V	hay	hi
693	G_PRT	Yar	hi
694	G_N	Saturday	en
695	PSP	ko	hi
696	G_PRP	kon	hi
697	G_N	kaam	hi
698	G_V	krta	hi
699	G_V	hai	hi
700	G_X	..	univ
701	G_PRT	ullu	hi
702	PSP	k	hi
703	G_PRT	phatay	hi
704	E	😠	univ
705	G_PRP	I	en
706	G_V	can	en
707	G_V	watch	en
708	G_N	Pakistan	ne
709	G_V	loosing	en
710	PSP	at	en
711	G_N	home	en
712	G_PRT	not	en
713	PSP	in	en
714	G_J	fucking	en
715	G_N	office	en
716	E	😩	univ
717	@	@Liaqat842	univ
718	G_PRP	tum	hi
719	G_J	sahi	hi
720	G_V	keh	hi
721	G_V	rhy	hi
722	G_V	thy	hi
723	G_PRP	yeh	hi
724	G_SYM	zayda	hi
725	G_J	buri	hi
726	G_N	timings	en
727	G_V	hain	hi
728	$	3	univ
729	PSP	wali	hi
730	G_N	match	en
731	PSP	ki😳	hi
732	G_N	subah	hi
733	G_J	purany	hi
734	G_N	office	en
735	PSP	bhi	hi
736	G_V	jna	hi
737	G_V	hai	hi
738	G_N	kaam	hi
739	G_V	hai	hi
740	E	😏	univ
741	@	@ChocolateCharsi	univ
742	DT	no	en
743	G_N	office	en
744	G_N	hours	en
745	G_X	!	univ
746	G_SYM	Saara	hi
747	G_N	kaam	hi
748	G_N	ghar	hi
749	PSP	per	hi
750	@	@hardik	univ
751	@	@ImpatientWoman	univ
752	G_PRT	Arey	hi
753	G_N	jagah	hi
754	G_R	kahan	hi
755	G_V	hai	hi
756	G_N	office	en
757	PSP	main	hi
758	G_X	?	univ
759	G_SYM	Sab	hi
760	G_N	kaam	hi
761	G_J	chalu	hi
762	G_V	hai	hi
763	@	@FaslaRakhein	univ
764	G_N	dad	en
765	G_N	office	en
766	PSP	k	hi
767	G_N	kaam	hi
768	PSP	me	hi
769	G_J	phasay	hi
770	G_V	hue	hi
771	G_V	hen	hi
772	G_X	..	univ
773	$	9	univ
774	G_X	,	univ
775	$	9.3	univ
776	PSP	tak	hi
777	G_V	aa	hi
778	G_V	jae	hi
779	G_V	ge	hi
780	G_X	...	univ
781	E	😒😒	univ
782	G_PRP	Yaha	hi
783	G_V	wait	en
784	PSP	hi	hi
785	G_PRT	nai	hi
786	G_V	ho	hi
787	G_V	raha	hi
788	G_X	..	univ
789	E	😒😒😕	univ
790	@	@BeingSkChetan	univ
791	G_PRT	hmmm	univ
792	E	😳	univ
793	G_N	Office	en
794	PSP	me	hi
795	G_V	tweet	en
796	G_V	karre	hi
797	G_V	lai	hi
798	G_X	?	univ
799	G_R	Phir	hi
800	G_PRT	toh	hi
801	G_N	kaam	hi
802	G_N	der	hi
803	PSP	se	hi
804	G_J	khatam	hi
805	G_V	hone	hi
806	PSP	ko	hi
807	G_V	hai	hi
808	G_X	!	univ
809	E	😂😂😂	univ
810	@	@FanSidharth	univ
811	G_PRP	Muje	hi
812	G_V	dekhne	hi
813	PSP	ke	hi
814	PSP	liye	hi
815	G_N	time	en
816	G_R	nhi	hi
817	G_V	milta	hi
818	G_V	hai	hi
819	G_V	re	hi
820	G_X	.	univ
821	G_PRP	Kya	hi
822	G_V	karu	hi
823	G_V	bata	hi
824	G_PRT	biddu	hi
825	G_PRP	tu	hi
826	G_V	bata	hi
827	G_X	?	univ
828	G_N	Office	en
829	PSP	me	hi
830	G_N	kaam	hi
831	G_PRT	bhi	hi
832	G_V	hai	hi
833	G_V	bole	hi
834	G_PRT	to	hi
835	@	@SniperSpot	univ
836	@	@SansadBhawan	univ
837	@	@AkshayA80203737	univ
838	@	@Ek_AAPtard	univ
839	@	@sanat397	univ
840	G_N	Jhaadu	hi
841	PSP	se	hi
842	G_N	kaam	hi
843	G_PRT	nahi	hi
844	G_V	chala	hi
845	G_PRT	tou	hi
846	G_R	ab	hi
847	G_PRP	tujhe	hi
848	G_N	muli	hi
849	G_V	chahiye	hi
850	G_X	?	univ
851	G_PRT	Gaand	hi
852	G_V	hai	hi
853	CC	ya	hi
854	G_N	office	en
855	G_X	?	univ
856	G_V	Keep	en
857	G_J	calm	en
858	CC	and	en
859	G_V	keep	en
860	G_N	kaam	hi
861	PSP	se	hi
862	G_N	kaam	hi
863	G_X	!!!	univ
864	#	#office	univ
865	#	#tgif	univ
866	#	#nametag	univ
867	#	#buddha	univ
868	#	#SouvenirFromManali	univ
869	#	#keepcalm	univ
870	U	http://t.co/qg7KrE3RMN	univ
871	G_PRP	Tere	hi
872	G_N	office	en
873	PSP	me	en
874	G_PRP	koi	hi
875	G_N	kaam	hi
876	G_N	dandha	hi
877	G_PRT	nai	hi
878	G_V	hai	hi
879	G_R	lagta	hi
880	E	:P	univ
881	@	@aru36629	univ
882	G_PRT	haha	univ
883	G_V	smjh	hi
884	G_V	gyi	hi
885	G_PRP	mai	hi
886	G_R	accha	hi
887	G_PRP	tum	hi
888	G_N	office	en
889	PSP	se	hi
890	G_N	aane	hi
891	PSP	ke	hi
892	G_N	baad	hi
893	G_PRP	kya	hi
894	G_V	krti	hi
895	G_V	ho	hi
896	G_X	?	univ
897	@	@khusshhagrawal	univ
898	G_V	can't	en
899	G_V	wait	en
900	G_PRT	yaar	hi
901	G_X	.	univ
902	G_N	I'm	en
903	PSP	in	en
904	G_N	office	en
905	G_X	.	univ
906	G_R	Accha	hi
907	G_R	atleast	en
908	G_V	give	en
909	G_PRP	me	en
910	DT	some	en
911	G_N	hint	en
912	G_X	*	univ
913	G_PRP	Maine	hi
914	G_PRT	bhi	hi
915	G_V	diya	hi
916	G_V	tha	hi
917	E	:p	univ
918	G_R	accha	hi
919	G_PRP	i	en
920	G_V	should	en
921	G_V	sleep	en
922	G_X	,	univ
923	G_R	kaal	hi
924	G_N	office	en
925	G_V	hai	hi
926	E	:(	univ
927	@	@theUglyDude007	univ
928	@	@suzali86	univ
929	G_R	ruz	hi
930	G_N	kaam	hi
931	G_V	karta	hi
932	G_PRP	tu	hi
933	G_N	sunday	en
934	G_PRP	ku	hi
935	G_N	office	en
936	G_PRT	nahi	hi
937	G_V	jana	hi
938	G_V	padta	hi
939	G_N	Office	en
940	PSP	mein	hi
941	G_PRP	kisi	hi
942	G_N	bandy	hi
943	PSP	ko	hi
944	G_N	favor	en
945	G_V	de	hi
946	G_V	do	hi
947	PSP	to	hi
948	G_V	jaty	hi
949	G_V	hoye	hi
950	G_PRP	apna	hi
951	G_N	number	en
952	G_V	de	hi
953	G_V	jata	hi
954	G_V	hai	hi
955	CC	kay	hi
956	G_PRP	koi	hi
957	G_N	kaam	hi
958	G_V	ho	hi
959	G_PRT	to	hi
960	G_N	btana	hi
961	CC	aur	hi
962	G_R	baad	hi
963	PSP	mein	hi
964	G_PRT	saaly	hi
965	G_N	phone	en
966	PSP	hi	hi
967	G_PRT	nai	hi
968	G_N	sunty	hi
969	G_X	.	univ
970	G_N	Kasam	hi
971	PSP	se	hi
972	G_X	!	univ
973	G_PRP	aisa	hi
974	G_J	imandari	hi
975	PSP	ka	hi
976	G_N	virus	en
977	G_N	felayenge	hi
978	G_X	,	univ
979	G_SYM	bahut	hi
980	G_N	mann	hi
981	G_V	hai	hi
982	G_J	sarkari	hi
983	G_N	office	en
984	PSP	mein	hi
985	G_N	logon	hi
986	PSP	ko	hi
987	G_N	kaam	hi
988	G_N	karte	hi
989	G_N	dekhne	hi
990	PSP	ka	hi
991	G_X	..	univ
992	U	http://t.co/xDPeKXIhIY	univ
993	@	@_swapneal	univ
994	G_N	office	en
995	PSP	ko	hi
996	G_V	kaam	hi
997	G_X	...	univ
998	G_R	too	en
999	G_J	much	en
1000	G_N	work	en
1001	G_N	load	en
1002	E	😰	univ
1003	G_N	Kaam	hi
1004	G_V	bolta	hi
1005	G_V	hai	hi
1006	G_PRT	itni	hi
1007	PSP	si	hi
1008	G_V	baat	hi
1009	G_V	hai	hi
1010	G_N	OFFICE	en
1011	PSP	mein	hi
1012	G_V	jaati	hi
1013	G_R	har	hi
1014	G_PRP	meri	hi
1015	G_N	raat	hi
1016	G_V	hai	hi
1017	G_N	Hardwork	en
1018	PSP	ka	hi
1019	G_N	example	en
1020	G_N	is'se	hi
1021	G_J	bada	hi
1022	G_PRP	kya	hi
1023	G_V	ho	hi
1024	G_V	sakta	hi
1025	G_X	...	univ
1026	U	http://t.co/delkx3Dt5S	univ
1027	#	#WakeMeUpWhen	univ
1028	G_N	Papa	en
1029	PSP	k	hi
1030	G_N	office	en
1031	PSP	k	hi
1032	G_N	saray	hi
1033	G_N	kaam	hi
1034	G_PRP	khud	hi
1035	G_V	hojaen	hi
1036	G_X	.	univ
1037	@	@iamsrk_vraj	univ
1038	G_PRT	Haan	hi
1039	G_R	ajkal	hi
1040	G_PRP	main	hi
1041	G_N	raat	hi
1042	PSP	ko	hi
1043	PSP	hi	hi
1044	G_N	office	en
1045	G_V	jata	hi
1046	G_V	hoon	hi
1047	G_X	..	univ
1048	G_V	kaam	hi
1049	G_PRT	bhi	hi
1050	G_SYM	zyada	hi
1051	G_PRT	nhi	hi
1052	G_V	hota	hi
1053	PSP	to	hi
1054	G_N	sukun	hi
1055	PSP	ke	hi
1056	G_R	din	hi
1057	G_N	guzar	hi
1058	G_V	rha	hi
1059	G_V	hun	hi
1060	G_X	..	univ
1061	E	:P	univ
1062	G_PRP	Kaun	hi
1063	G_PRT	kambakht	hi
1064	G_N	job	en
1065	G_N	satisfaction	en
1066	PSP	ke	hi
1067	PSP	liye	hi
1068	G_N	kaam	hi
1069	G_V	karta	hi
1070	G_V	hai	hi
1071	G_X	.	univ
1072	G_PRP	Hum	hi
1073	G_PRT	to	hi
1074	G_N	office	en
1075	G_V	jate	hi
1076	G_V	hain	hi
1077	CC	taaki	hi
1078	G_J	fast	en
1079	G_N	internet	en
1080	PSP	ke	hi
1081	G_N	maze	hi
1082	G_V	ley	hi
1083	G_V	sake	hi
1084	G_X	,	univ
1085	G_N	youtube	ne
1086	G_V	dekh	hi
1087	G_V	sake	hi
1088	G_X	...	univ
1089	@	@you_ShutUpp	univ
1090	G_J	thaka	hi
1091	G_V	hota	hi
1092	G_V	he	hi
1093	G_PRT	banda	hi
1094	G_X	,	univ
1095	G_PRP	tum	hi
1096	G_PRP	koi	hi
1097	G_N	kaam	hi
1098	G_V	karo	hi
1099	G_N	office	en
1100	PSP	mein	hi
1101	G_PRT	to	hi
1102	G_N	pata	hi
1103	G_V	ho	hi
1104	G_PRT	na	hi
1105	E	:p	univ
1106	@	@zartasha_maryam	univ
