id	tag	word	prev_word	next_word	label
244	G_N	Ladki	ek	Ko	hi
245	PSP	Ko	Ladki	Call	hi
246	G_V	Call	Ko	Ki	en
247	G_V	Ki	Call	0	hi
248	G_X	0	Ki	Boy	univ
249	G_N	Boy	0	:	en
250	G_X	:	Boy	I	univ
251	G_PRP	I	:	LOVE	en
252	G_V	LOVE	I	U	en
253	G_PRP	U	LOVE	Jaan	en
254	G_N	Jaan	U	0	hi
255	G_X	0	Jaan	Girl	univ
256	G_N	Girl	0	:	en
257	G_X	:	Girl	Sacchi	univ
258	G_N	Sacchi	:	0	hi
259	G_X	0	Sacchi	Boy	univ
260	G_N	Boy	0	:	en
261	G_X	:	Boy	Mucchi	univ
262	G_N	Mucchi	:	0	hi
263	G_X	0	Mucchi	Girl	univ
264	G_N	Girl	0	:	en
265	G_X	:	Girl	ek	univ
266	G_SYM	ek	:	100ka	hi
267	G_SYM	100ka	ek	Recharge	univ
268	G_V	Recharge	100ka	Krwa	en
269	G_V	Krwa	Recharge	...	hi
270	G_X	...	Krwa	http://t.co/fBVr0axApf	univ
271	U	http://t.co/fBVr0axApf	...		univ
272	G_J	Brilliant		Answer	en
273	G_N	Answer	Brilliant	By	en
274	PSP	By	Answer	Boy	en
275	G_N	Boy	By	Friend	en
276	G_N	Friend	Boy	on	en
277	PSP	on	Friend	Break	en
278	G_N	Break	on	Up	en
279	PSP	Up	Break	…	en
280	G_X	…	Up	0	univ
281	G_X	0	…	Girl	univ
282	G_N	Girl	0	;	en
283	G_X	;	Girl	Tumhe	univ
284	G_PRP	Tumhe	;	Mere	hi
285	G_PRP	Mere	Tumhe	Jaisi	hi
286	G_R	Jaisi	Mere	Ladki	hi
287	G_N	Ladki	Jaisi	Nahi	hi
288	G_PRT	Nahi	Ladki	Milegi	hi
289	G_V	Milegi	Nahi	0	hi
290	G_X	0	Milegi	0	univ
291	G_X	0	0	0	univ
292	G_X	0	0	0	univ
293	G_X	0	0	0	univ
294	G_X	0	0	Boy	univ
295	G_N	Boy	0	;	en
296	G_X	;	Boy	Chill	univ
297	G_V	Chill	;	...	en
298	G_X	...	Chill	http://t.co/G6mF9fWFLQ	univ
299	U	http://t.co/G6mF9fWFLQ	...		univ
300	G_N	Boy		:	en
301	G_X	:	Boy	Tum	univ
302	G_PRP	Tum	:	Ladki	hi
303	G_N	Ladki	Tum	Ho	hi
304	G_PRT	Ho	Ladki	Ke	hi
305	PSP	Ke	Ho	Sharab	hi
306	G_N	Sharab	Ke	Peeti	hi
307	G_V	Peeti	Sharab	Ho	hi
308	G_V	Ho	Peeti	??	hi
309	G_X	??	Ho	Awesome	univ
310	G_J	Awesome	??	reply	en
311	G_V	reply	Awesome	by	en
312	PSP	by	reply	Girl	en
313	G_N	Girl	by	:	en
314	G_X	:	Girl	To	univ
315	G_PRT	To	:	Kya	hi
316	G_PRP	Kya	To	2-4	hi
317	$	2-4	Kya	Peg	univ
318	G_N	Peg	2-4	Ke	hi
319	PSP	Ke	Peg	Liye	hi
320	PSP	Liye	Ke	Gender	hi
321	G_N	Gender	Liye	Change	en
322	G_V	Change	Gender	Karwaun	en
323	G_V	Karwaun	Change	???	hi
324	G_X	???	Karwaun	#IndvsSA	univ
325	#	#IndvsSA	???	#MaukaMauka	univ
326	#	#MaukaMauka	#IndvsSA		univ
327	G_N	Boy		-	en
328	G_X	-	Boy	badlapur	univ
329	G_N	badlapur	-	dekhne	hi
330	G_V	dekhne	badlapur	chale	hi
331	G_V	chale	dekhne	Girl	hi
332	G_N	Girl	chale	-	en
333	G_X	-	Girl	M	univ
334	G_PRP	M	-	watching	en
335	G_V	watching	M	india	en
336	G_N	india	watching	vs	en
337	PSP	vs	india	sa	en
338	G_N	sa	vs	Boy	acro
339	G_N	Boy	sa	(	en
340	G_X	(	Boy	calls	univ
341	G_V	calls	(	his	en
342	G_PRP	his	calls	mom	en
343	G_N	mom	his	)	en
344	G_X	)	mom	-	univ
345	G_X	-	)	Maa	univ
346	G_N	Maa	-	,	hi
347	G_X	,	Maa	maine	univ
348	G_PRP	maine	,	ladki	hi
349	G_N	ladki	maine	dhoond	hi
350	G_V	dhoond	ladki	lee	hi
351	PSP	lee	dhoond	...	hi
352	G_X	...	lee		univ
353	G_J	Brilliant		Answer	en
354	G_N	Answer	Brilliant	By	en
355	PSP	By	Answer	Boy	en
356	G_N	Boy	By	Friend	en
357	G_N	Friend	Boy	on	en
358	PSP	on	Friend	Break	en
359	G_N	Break	on	Up	en
360	PSP	Up	Break	…	en
361	G_X	…	Up	0	univ
362	G_X	0	…	Girl	univ
363	G_N	Girl	0	;	en
364	G_X	;	Girl	Tumhe	univ
365	G_PRP	Tumhe	;	Mere	hi
366	G_PRP	Mere	Tumhe	Jaisi	hi
367	G_R	Jaisi	Mere	Ladki	hi
368	G_N	Ladki	Jaisi	Nahi	hi
369	G_PRT	Nahi	Ladki	Milegi	hi
370	G_V	Milegi	Nahi	0	hi
371	G_X	0	Milegi	0	univ
372	G_X	0	0	0	univ
373	G_X	0	0	0	univ
374	G_X	0	0	0	univ
375	G_X	0	0	Boy	univ
376	G_N	Boy	0	;	en
377	G_X	;	Boy	Chill	univ
378	G_V	Chill	;	...	en
379	G_X	...	Chill	http://t.co/tfdsDe3g50	univ
380	U	http://t.co/tfdsDe3g50	...		univ
381	$	1		Ladke	univ
382	G_N	Ladke	1	Ne	hi
383	PSP	Ne	Ladke	ek	hi
384	G_SYM	ek	Ne	Ladki	hi
385	G_N	Ladki	ek	Ko	hi
386	PSP	Ko	Ladki	Call	hi
387	G_V	Call	Ko	Ki	en
388	G_V	Ki	Call	Boy	hi
389	G_N	Boy	Ki	:	en
390	G_X	:	Boy	I	univ
391	G_PRP	I	:	LOVE	en
392	G_V	LOVE	I	U	en
393	G_PRP	U	LOVE	Jaan	en
394	G_N	Jaan	U	Girl	en
395	G_N	Girl	Jaan	:	en
396	G_X	:	Girl	Sacchi	univ
397	G_N	Sacchi	:	Boy	hi
398	G_N	Boy	Sacchi	:	en
399	G_X	:	Boy	Mucchi	univ
400	G_N	Mucchi	:	Girl	hi
401	G_N	Girl	Mucchi	:	en
402	G_X	:	Girl	ek	univ
403	G_SYM	ek	:	100ka	hi
404	G_SYM	100ka	ek	Recharge	univ
405	G_V	Recharge	100ka	Krwa	en
406	G_V	Krwa	Recharge	Do	hi
407	G_V	Do	Krwa	Plz	hi
408	G_R	Plz	Do	...	en
409	G_X	...	Plz	http://t.co/lGuAKigGOX	univ
410	U	http://t.co/lGuAKigGOX	...		univ
411	@	@kkundra		lol	univ
412	G_PRT	lol	@kkundra	ladki	univ
413	G_N	ladki	lol	mil	hi
414	G_V	mil	ladki	gyi	hi
415	G_V	gyi	mil	..	hi
416	G_X	..	gyi	Martina	univ
417	G_N	Martina	..	here	ne
418	G_R	here	Martina	you	en
419	G_PRP	you	here	go	en
420	G_V	go	you	girl	en
421	G_N	girl	go	..	en
422	G_X	..	girl	hahha	univ
423	G_PRT	hahha	..	shit	univ
424	G_PRT	shit	hahha	#Roadies	en
425	#	#Roadies	shit		univ
426	G_N	Boy		:	en
427	G_X	:	Boy	-	univ
428	G_X	-	:	I	univ
429	G_PRP	I	-	Love	en
430	G_V	Love	I	You	en
431	G_PRP	You	Love	,	en
432	G_X	,	You	Tum	univ
433	G_PRP	Tum	,	Is	hi
434	G_PRP	Is	Tum	Duniya	hi
435	G_N	Duniya	Is	Ki	hi
436	G_V	Ki	Duniya	Sabse	hi
437	G_PRT	Sabse	Ki	Khubsurat	hi
438	G_J	Khubsurat	Sabse	Ladki	hi
439	G_N	Ladki	Khubsurat	Ho	hi
440	PSP	Ho	Ladki	Girl	hi
441	G_N	Girl	Ho	:	en
442	G_X	:	Girl	-	univ
443	G_X	-	:	Par	univ
444	PSP	Par	-	Tumhare	hi
445	G_PRP	Tumhare	Par	Peeche	hi
446	G_R	Peeche	Tumhare	Toh	hi
447	CC	Toh	Peeche	Mujhse	hi
448	G_PRP	Mujhse	Toh	Bhi	hi
449	G_PRP	Bhi	Mujhse	Zyaada	hi
450	G_SYM	Zyaada	Bhi	...	hi
451	G_X	...	Zyaada	http://t.co/mNVsAUACmR	univ
452	U	http://t.co/mNVsAUACmR	...		univ
453	G_X	double_quotes		jab	univ
454	G_PRP	jab	double_quotes	koi	hi
455	G_PRP	koi	jab	ladki	hi
456	G_N	ladki	koi	na	hi
457	G_PRT	na	ladki	kehti	hi
458	G_V	kehti	na	hai	hi
459	G_V	hai	kehti	,	hi
460	G_X	,	hai	toh	univ
461	CC	toh	,	uska	hi
462	G_PRP	uska	toh	matlab	hi
463	G_N	matlab	uska	na	hi
464	G_PRT	na	matlab	hi	hi
465	G_PRT	hi	na	hota	hi
466	G_V	hota	hi	hai	hi
467	G_V	hai	hota	(	hi
468	G_X	(	hai	when	univ
469	G_R	when	(	a	en
470	DT	a	when	girl	en
471	G_N	girl	a	says	en
472	G_V	says	girl	no	en
473	G_PRT	no	says	,	en
474	G_X	,	no	it	univ
475	G_PRP	it	,	only	en
476	G_R	only	it	means	en
477	G_V	means	only	no	en
478	G_PRT	no	means	)	en
479	G_X	)	no	double_quotes	univ
480	G_X	double_quotes	)	#soimportant	univ
481	#	#soimportant	double_quotes	http://t.co/CkAMzmhH1g	univ
482	U	http://t.co/CkAMzmhH1g	#soimportant		univ
483	G_SYM	Ek		Buri	hi
484	G_J	Buri	Ek	Ladki	hi
485	G_N	Ladki	Buri	(	hi
486	G_X	(	Ladki	A	univ
487	DT	A	(	Bad	en
488	G_J	Bad	A	Girl	en
489	G_N	Girl	Bad	)	en
490	G_X	)	Girl	http://t.co/koPv0s5kha	univ
491	U	http://t.co/koPv0s5kha	)	via	univ
492	PSP	via	http://t.co/koPv0s5kha	@imgur	en
493	@	@imgur	via	BAHAHA	univ
494	G_PRT	BAHAHA	@imgur	0	univ
495	G_X	0	BAHAHA	I	univ
496	G_PRP	I	0	guess	en
497	G_V	guess	I	I'm	en
498	G_N	I'm	guess	a	en
499	DT	a	I'm	#badgirl	en
500	#	#badgirl	a	:P	univ
501	E	:P	#badgirl	#whatajoke	univ
502	#	#whatajoke	:P	#loadofcrap	univ
503	#	#loadofcrap	#whatajoke		univ
504	G_J	Brlnt		Ans	en
505	G_N	Ans	Brlnt	By	en
506	PSP	By	Ans	bf	en
507	G_N	bf	By	on	en
508	PSP	on	bf	Brk	en
509	G_N	Brk	on	Up	en
510	PSP	Up	Brk	0	en
511	G_X	0	Up	Girl	univ
512	G_N	Girl	0	;	en
513	G_X	;	Girl	Tmhe	univ
514	G_PRP	Tmhe	;	Mere	hi
515	G_PRP	Mere	Tmhe	Jaisi	hi
516	G_R	Jaisi	Mere	Ladki	hi
517	G_N	Ladki	Jaisi	Nahi	hi
518	G_PRT	Nahi	Ladki	Milegi	hi
519	G_V	Milegi	Nahi	0	hi
520	G_X	0	Milegi	Boy	univ
521	G_N	Boy	0	Chil	en
522	G_V	Chil	Boy	swthrt	en
523	G_N	swthrt	Chil	Mjhe	en
524	G_PRP	Mjhe	swthrt	Tu	hi
525	G_PRP	Tu	Mjhe	Hi	hi
526	PSP	Hi	Tu	Ni	hi
527	G_PRT	Ni	Hi	Psnd	hi
528	G_N	Psnd	Ni	To	hi
529	CC	To	Psnd	Teri	hi
530	G_PRP	Teri	To	Jaise	hi
531	PSP	Jaise	Teri	Kyu	hi
532	G_PRP	Kyu	Jaise	dhudunga	hi
533	G_V	dhudunga	Kyu		hi
534	G_N	Yaar		ek	hi
535	G_SYM	ek	Yaar	ladki	hi
536	G_N	ladki	ek	hai	hi
537	G_V	hai	ladki	!	hi
538	G_X	!	hai	Haan	univ
539	G_N	Haan	!	!	hi
540	G_X	!	Haan	Sachi	univ
541	G_N	Sachi	!	!	hi
542	G_X	!	Sachi	Ek	univ
543	G_SYM	Ek	!	naya	hi
544	G_J	naya	Ek	crush	hi
545	G_N	crush	naya	!	en
546	G_X	!	crush	💞	univ
547	G_X	💞	!	Aree	univ
548	G_PRT	Aree	💞	yaar	hi
549	G_N	yaar	Aree	sachi	hi
550	G_N	sachi	yaar	!	hi
551	G_X	!	sachi	Okay	univ
552	G_R	Okay	!	check	en
553	G_V	check	Okay	out	en
554	G_PRT	out	check	@ZaalimGF	en
555	@	@ZaalimGF	out	trailer	univ
556	G_N	trailer	@ZaalimGF	This	en
557	G_PRP	This	trailer	girl-	en
558	G_N	girl-	This	@meprachimishra	en
559	@	@meprachimishra	girl-	#gorgeous	univ
560	#	#gorgeous	@meprachimishra	👰	univ
561	G_X	👰	#gorgeous		univ
562	@	@tehseenp		@bwoyblunder	univ
563	@	@bwoyblunder	@tehseenp	@PMOIndia	univ
564	@	@PMOIndia	@bwoyblunder	@narendramodi	univ
565	@	@narendramodi	@PMOIndia	bhai	univ
566	G_N	bhai	@narendramodi	mere	hi
567	G_PRP	mere	bhai	office	hi
568	G_N	office	mere	me	en
569	PSP	me	office	receptionist	hi
570	G_N	receptionist	me	ki	en
571	PSP	ki	receptionist	position	hi
572	G_N	position	ki	khaali	en
573	G_V	khaali	position	hai	hi
574	G_V	hai	khaali	0	hi
575	G_X	0	hai	kuch	univ
576	G_SYM	kuch	0	kaam	hi
577	G_N	kaam	kuch	nahi	hi
578	G_PRT	nahi	kaam	to	hi
579	G_PRT	to	nahi	lagwa	hi
580	G_V	lagwa	to	dun	hi
581	G_V	dun	lagwa	naukri	hi
582	G_N	naukri	dun	?	hi
583	G_X	?	naukri		univ
584	@	@praktabh		abe	univ
585	G_N	abe	@praktabh	office	hi
586	G_N	office	abe	me	en
587	PSP	me	office	kaam	hi
588	G_V	kaam	me	kr	hi
589	G_V	kr	kaam	..	hi
590	G_X	..	kr	nahi	univ
591	G_PRT	nahi	..	to	hi
592	G_PRT	to	nahi	boss	hi
593	G_N	boss	to	gand	en
594	G_PRT	gand	boss	pe	hi
595	PSP	pe	gand	laat	hi
596	G_V	laat	pe	maar	hi
597	G_V	maar	laat	k	hi
598	PSP	k	maar	bhaga	hi
599	G_V	bhaga	k	dega	hi
600	G_V	dega	bhaga		hi
601	@	@Ujala4u		haaha	univ
602	G_PRT	haaha	@Ujala4u	..	hi
603	G_X	..	haaha	hum	univ
604	G_PRP	hum	..	aisy	hi
605	G_PRP	aisy	hum	he	hi
606	G_PRT	he	aisy	hai	hi
607	G_V	hai	he	biwi	hi
608	G_N	biwi	hai	office	hi
609	G_N	office	biwi	mein	en
610	PSP	mein	office	kaam	hi
611	G_N	kaam	mein	kion	hi
612	G_PRP	kion	kaam	kry	hi
613	G_V	kry	kion	..	hi
614	G_X	..	kry	hahah	univ
615	G_PRT	hahah	..		univ
616	@	@Dawoodnusrat		bus	univ
617	G_N	bus	@Dawoodnusrat	office	en
618	G_N	office	bus	he	en
619	G_PRT	he	office	hn	hi
620	G_V	hn	he	,	hi
621	G_X	,	hn	Sat	univ
622	G_N	Sat	,	thora	en
623	G_SYM	thora	Sat	thanda	hi
624	G_J	thanda	thora	hota	hi
625	G_N	hota	thanda	hay	hi
626	G_V	hay	hota	kaam	hi
627	G_N	kaam	hay	k	hi
628	PSP	k	kaam	point	hi
629	G_N	point	k	of	en
630	PSP	of	point	view	en
631	G_N	view	of	say	en
632	PSP	say	view	you	hi
633	G_PRP	you	say	know	en
634	G_V	know	you	:)	en
635	E	:)	know		univ
636	@	@siyal_khan		office	univ
637	G_N	office	@siyal_khan	abb	en
638	G_PRP	abb	office	hum	hi
639	G_PRP	hum	abb	sub	hi
640	G_SYM	sub	hum	kaam	hi
641	G_V	kaam	sub	karty	hi
642	G_V	karty	kaam	koi	hi
643	G_PRP	koi	karty	uni	hi
644	G_N	uni	koi	clg	hi
645	G_N	clg	uni	nae	en
646	G_PRT	nae	clg	jata	hi
647	G_V	jata	nae	mere	hi
648	G_PRP	mere	jata	ghar	hi
649	G_N	ghar	mere		hi
650	G_X	“		@RamgarhKaJai	univ
651	@	@RamgarhKaJai	“	:	univ
652	G_X	:	@RamgarhKaJai	Office	univ
653	G_N	Office	:	bhi	en
654	G_N	bhi	Office	koi	hi
655	G_PRP	koi	bhi	kaam	hi
656	G_N	kaam	koi	karne	hi
657	G_V	karne	kaam	ki	hi
658	PSP	ki	karne	jagah	hi
659	G_N	jagah	ki	hai	hi
660	G_V	hai	jagah	bhala	hi
661	G_N	bhala	hai	?	hi
662	G_X	?	bhala	”	univ
663	G_X	”	?	Nahi	univ
664	G_PRT	Nahi	”	0	hi
665	G_X	0	Nahi	Tabela	univ
666	G_N	Tabela	0	is	hi
667	G_V	is	Tabela	better	hi
668	G_J	better	is	0	en
669	G_X	0	better	Chalo	univ
670	G_V	Chalo	0	waha	hi
671	G_PRP	waha	Chalo	chale	hi
672	G_V	chale	waha	0	hi
673	G_X	0	chale		univ
674	@	@eqrab		@HajraAbbottaba	univ
675	@	@HajraAbbottaba	@eqrab	@AnjumIqbalPTI	univ
676	@	@AnjumIqbalPTI	@HajraAbbottaba	Array	univ
677	G_PRT	Array	@AnjumIqbalPTI	yar	hi
678	G_N	yar	Array	hans	hi
679	G_N	hans	yar	kar	hi
680	G_V	kar	hans	dil	hi
681	G_N	dil	kar	na	hi
682	G_PRT	na	dil	jalao	hi
683	G_N	jalao	na	abhi	hi
684	G_R	abhi	jalao	sara	hi
685	G_SYM	sara	abhi	din	hi
686	G_N	din	sara	office	hi
687	G_N	office	din	main	en
688	PSP	main	office	bhi	hi
689	G_PRP	bhi	main	kaam	hi
690	G_N	kaam	bhi	karna	hi
691	G_N	karna	kaam	hay	hi
692	G_V	hay	karna		hi
693	G_PRT	Yar		Saturday	hi
694	G_N	Saturday	Yar	ko	en
695	PSP	ko	Saturday	kon	hi
696	G_PRP	kon	ko	kaam	hi
697	G_N	kaam	kon	krta	hi
698	G_V	krta	kaam	hai	hi
699	G_V	hai	krta	..	hi
700	G_X	..	hai	ullu	univ
701	G_PRT	ullu	..	k	hi
702	PSP	k	ullu	phatay	hi
703	G_PRT	phatay	k	😠	hi
704	E	😠	phatay	I	univ
705	G_PRP	I	😠	can	en
706	G_V	can	I	watch	en
707	G_V	watch	can	Pakistan	en
708	G_N	Pakistan	watch	loosing	ne
709	G_V	loosing	Pakistan	at	en
710	PSP	at	loosing	home	en
711	G_N	home	at	not	en
712	G_PRT	not	home	in	en
713	PSP	in	not	fucking	en
714	G_J	fucking	in	office	en
715	G_N	office	fucking	😩	en
716	E	😩	office		univ
717	@	@Liaqat842		tum	univ
718	G_PRP	tum	@Liaqat842	sahi	hi
