id	tag	word	label	prev_label	next_label	prev_tag	start_w_s	start_w_n
46	G_N	Don	en	univ	univ	U	0	0
47	G_X	-	univ	en	hi	G_N	0	0
48	G_V	khaike	hi	univ	hi	G_X	0	0
49	G_N	paan	hi	hi	hi	G_V	0	0
50	G_J	banaras	hi	hi	hi	G_N	0	0
51	G_PRT	wala	hi	hi	en	G_J	0	0
52	G_J	old	en	hi	en	G_PRT	0	0
53	CC	and	en	en	en	G_J	0	0
54	G_J	new	en	en	en	CC	0	0
55	G_N	mix	en	en		G_J	0	0
56	G_N	IshQ	hi		hi		0	0
57	G_PRT	waLa	hi	hi	univ	G_N	0	0
58	G_X	||	univ	hi	univ	G_PRT	0	0
59	G_X	~	univ	univ	univ	G_X	0	0
60	G_N	^ŁøVě^	univ	univ	univ	G_X	0	0
61	G_X	~	univ	univ	univ	G_N	0	0
62	G_X	||	univ	univ	univ	G_X	0	0
63	G_X	—	univ	univ	en	G_X	0	0
64	G_V	listening	en	univ	en	G_X	0	0
65	G_PRT	to	en	en	hi	G_V	0	0
66	G_N	Ishq	hi	en	hi	G_PRT	0	0
67	G_PRT	Wala	hi	hi	en	G_N	0	0
68	G_N	Love	en	hi	univ	G_PRT	0	0
69	G_X	(	univ	en	en	G_N	0	0
70	PSP	From	en	univ	univ	G_X	0	0
71	G_X	double_quotes	univ	en	en	PSP	0	0
72	G_N	Student	en	univ	en	G_X	0	0
73	PSP	of	en	en	en	G_N	0	0
74	DT	the	en	en	en	PSP	0	0
75	G_N	Year	en	en	univ	DT	0	0
76	G_X	double_quotes	univ	en	univ	G_N	0	0
77	G_X	)	univ	univ	en	G_X	0	0
78	DT	The	en	univ	acro	G_X	0	0
79	G_N	DJ	acro	en	ne	DT	0	0
80	G_N	Suketu	ne	acro	en	G_N	0	0
81	G_N	Lounge	en	ne	en	G_N	0	0
82	G_N	Mix	en	en		G_N	0	0
83	@	@Tina32kaur	univ		en		1	0
84	G_PRP	it	en	univ	en	@	0	0
85	G_V	is	en	en	en	G_PRP	0	0
86	G_R	indeed	en	en	univ	G_V	0	0
87	G_X	,	univ	en	en	G_R	0	0
88	G_R	when	en	univ	en	G_X	0	0
89	DT	its	en	en	en	G_R	0	0
90	G_J	possible	en	en	en	DT	0	0
91	G_V	play	en	en	en	G_J	0	0
92	DT	a	en	en	en	G_V	0	0
93	G_J	lovely	en	en	hi	DT	0	0
94	G_N	bacha	hi	en	hi	G_J	0	0
95	G_PRT	wala	hi	hi	en	G_N	0	0
96	G_N	track	en	hi	en	G_PRT	0	0
97	PSP	for	en	en	en	G_N	0	0
98	G_PRP	me	en	en	univ	PSP	0	0
99	E	:)	univ	en	en	G_PRP	0	0
100	G_N	Am	en	univ	en	E	0	0
101	G_V	having	en	en	en	G_N	0	0
102	G_J	serious	en	en	en	G_V	0	0
103	G_N	mix	en	en	en	G_J	0	0
104	G_N	emotions	en	en	en	G_N	0	0
105	G_PRP	these	en	en	en	G_N	0	0
106	G_N	days	en	en	univ	G_PRP	0	0
107	G_X	.	univ	en		G_N	0	0
108	@	@SRKswarrior1	univ		hi		1	0
109	G_N	Bhai	hi	univ	hi	@	0	0
110	G_PRP	Koi	hi	hi	hi	G_N	0	0
111	G_N	pehchan	hi	hi	hi	G_PRP	0	0
112	G_PRT	wala	hi	hi	hi	G_N	0	0
113	G_PRP	Jo	hi	hi	univ	G_PRT	0	0
114	G_X	...	univ	hi	en	G_PRP	0	0
115	G_N	songs	en	univ	en	G_X	0	0
116	G_V	compile	en	en	hi	G_N	0	0
117	G_V	kr	hi	en	hi	G_V	0	0
118	G_V	le	hi	hi	hi	G_V	0	0
119	G_N	kl	hi	hi	en	G_V	0	0
120	G_N	sis	en	hi	hi	G_N	0	0
121	PSP	ka	hi	en	en	G_N	0	0
122	G_N	dance	en	hi	en	PSP	0	0
123	G_N	competition	en	en	hi	G_N	0	0
124	G_V	he	hi	en	univ	G_N	0	0
125	G_X	....	univ	hi	hi	G_V	0	0
126	G_SYM	teeno	hi	univ	en	G_X	0	0
127	G_N	mix	en	hi	hi	G_SYM	0	0
128	G_V	krne	hi	en	hi	G_N	0	0
129	G_V	hein	hi	hi	en	G_V	0	0
130	PSP	without	en	hi	en	G_V	0	0
131	G_V	pause	en	en		PSP	0	0
132	G_PRP	Ye	hi		ne		0	0
133	G_N	Veet	ne	hi	hi	G_PRP	0	0
134	PSP	ke	hi	ne	univ	G_N	0	0
135	G_X	.	univ	hi	en	PSP	0	0
136	G_N	ad	en	univ	univ	G_X	0	0
137	G_X	.	univ	en	hi	G_N	0	0
138	PSP	main	hi	univ	hi	G_X	0	0
139	G_PRP	wo	hi	hi	hi	PSP	0	0
140	G_N	ladki	hi	hi	hi	G_PRP	0	0
141	G_R	kitni	hi	hi	hi	G_N	0	0
142	G_N	gandhi	hi	hi	hi	G_R	0	0
143	CC	aur	hi	hi	en	G_N	0	0
144	PSP	over	en	hi	en	CC	0	0
145	G_V	acting	en	en	hi	PSP	0	0
146	G_V	karti	hi	en	hi	G_V	0	0
147	G_V	hai	hi	hi	univ	G_V	0	0
148	G_X	.	univ	hi	hi	G_V	0	0
149	G_PRP	Ye	hi	univ	en	G_X	0	0
150	G_N	girl	en	hi	en	G_PRP	0	0
151	G_N	models	en	en	hi	G_N	0	0
152	PSP	ko	hi	en	hi	G_N	0	0
153	G_R	itni	hi	hi	hi	PSP	0	0
154	G_J	Galatfahmi	hi	hi	hi	G_R	0	0
155	G_PRP	kyon	hi	hi	hi	G_J	0	0
156	G_V	hoti	hi	hi	hi	G_PRP	0	0
157	G_V	hai	hi	hi	hi	G_V	0	0
158	PSP	ki	hi	hi	hi	G_V	0	0
159	G_PRP	wo	hi	hi	hi	PSP	0	0
160	G_J	badi	hi	hi	en	G_PRP	0	0
161	G_N	actress	en	hi	hi	G_J	0	0
162	G_V	hain	hi	en		G_N	0	0
163	G_N	Life	en		en		0	0
164	G_N	Ok	en	en	en	G_N	0	0
165	G_J	Dream	en	en	en	G_N	0	0
166	G_N	Girl	en	en	hi	G_J	0	0
167	G_SYM	Ek	hi	en	hi	G_N	0	0
168	G_N	Ladki	hi	hi	hi	G_SYM	0	0
169	G_J	Deewani	hi	hi	hi	G_N	0	0
170	PSP	Si	hi	hi	en	G_J	0	0
171	G_J	Upcoming	en	hi	acro	PSP	0	0
172	G_N	Tv	acro	en	en	G_J	0	0
173	G_N	show	en	acro	en	G_N	0	0
174	G_N	Story	en	en	univ	G_N	0	0
175	G_X	|	univ	en	en	G_N	0	0
176	G_N	Star	en	univ	en	G_X	0	0
177	G_N	Cast	en	en	univ	G_N	0	0
178	G_X	|	univ	en	en	G_N	0	0
179	G_N	Timing	en	univ	univ	G_X	0	0
180	G_X	|	univ	en	en	G_N	0	0
181	G_N	Promo	en	univ	ne	G_X	0	0
182	G_N	Wiki	ne	en	univ	G_N	0	0
183	G_X	|	univ	ne	hi	G_N	0	0
184	G_N	Ne	hi	univ	univ	G_X	0	0
185	U	http://t.co/X9AhZRRPiD	univ	hi		G_N	0	0
186	$	1	univ		hi		0	1
187	G_N	Ladke	hi	univ	hi	$	0	0
188	PSP	Ne	hi	hi	hi	G_N	0	0
189	G_SYM	ek	hi	hi	hi	PSP	0	0
190	G_N	Ladki	hi	hi	hi	G_SYM	0	0
191	PSP	Ko	hi	hi	en	G_N	0	0
192	G_V	Call	en	hi	hi	PSP	0	0
193	PSP	Ki	hi	en	en	G_V	0	0
194	G_N	Boy	en	hi	univ	PSP	0	0
195	G_X	:	univ	en	en	G_N	0	0
196	G_PRP	I	en	univ	en	G_X	0	0
197	G_V	LOVE	en	en	en	G_PRP	0	0
198	G_PRP	U	en	en	hi	G_V	0	0
199	G_N	Jaan	hi	en	mixed	G_PRP	0	0
200	G_N	Girl-Sacchi	mixed	hi	mixed	G_N	0	0
201	G_N	Boy-Mucchi	mixed	mixed	en	G_N	0	0
202	G_N	Girl	en	mixed	univ	G_N	0	0
203	G_X	:	univ	en	hi	G_N	0	0
204	G_SYM	ek	hi	univ	univ	G_X	0	0
205	G_SYM	100ka	univ	hi	en	G_SYM	0	0
206	G_V	Recharge	en	univ	hi	G_SYM	0	0
207	G_V	Krwa	hi	en	hi	G_V	0	0
208	G_V	Do	hi	hi	en	G_V	0	0
209	G_R	Plz	en	hi	en	G_V	0	0
210	G_N	Boy-Sorry	en	en	hi	G_R	0	0
211	G_N	Didi	hi	en	en	G_N	0	0
212	G_J	Rong	en	hi	en	G_N	0	0
213	G_N	Number	en	en	univ	G_J	0	0
214	G_X	.	univ	en		G_N	0	0
215	G_N	Boy	en		univ		0	0
216	G_X	:	univ	en	hi	G_N	0	0
217	G_PRP	Tum	hi	univ	hi	G_X	0	0
218	G_N	Ladki	hi	hi	hi	G_PRP	0	0
219	G_V	Ho	hi	hi	hi	G_N	0	0
220	PSP	Ke	hi	hi	hi	G_V	0	0
221	G_N	Sharab	hi	hi	hi	PSP	0	0
222	G_V	Peeti	hi	hi	hi	G_N	0	0
223	G_V	Ho	hi	hi	univ	G_V	0	0
224	G_X	??	univ	hi	en	G_V	0	0
225	G_J	Awesome	en	univ	en	G_X	0	0
226	G_V	reply	en	en	en	G_J	0	0
227	PSP	by	en	en	en	G_V	0	0
228	G_N	Girl	en	en	univ	PSP	0	0
229	G_X	:	univ	en	hi	G_N	0	0
230	G_PRT	To	hi	univ	hi	G_X	0	0
231	G_PRP	Kya	hi	hi	univ	G_PRT	0	0
232	$	2-4	univ	hi	hi	G_PRP	0	1
233	G_N	Peg	hi	univ	hi	$	0	0
234	PSP	Ke	hi	hi	hi	G_N	0	0
235	PSP	Liye	hi	hi	en	PSP	0	0
236	G_N	Gender	en	hi	en	PSP	0	0
237	G_V	Change	en	en	hi	G_N	0	0
238	G_V	Karwaun	hi	en	univ	G_V	0	0
239	G_X	???	univ	hi		G_V	0	0
240	$	1	univ		hi		0	1
241	G_N	Ladke	hi	univ	hi	$	0	0
242	PSP	Ne	hi	hi	hi	G_N	0	0
243	G_SYM	ek	hi	hi	hi	PSP	0	0
244	G_N	Ladki	hi	hi	hi	G_SYM	0	0
245	PSP	Ko	hi	hi	en	G_N	0	0
246	G_V	Call	en	hi	hi	PSP	0	0
247	G_V	Ki	hi	en	univ	G_V	0	0
248	G_X	.	univ	hi	en	G_V	0	0
249	G_N	Boy	en	univ	univ	G_X	0	0
250	G_X	:	univ	en	en	G_N	0	0
251	G_PRP	I	en	univ	en	G_X	0	0
252	G_V	LOVE	en	en	en	G_PRP	0	0
253	G_PRP	U	en	en	hi	G_V	0	0
254	G_N	Jaan	hi	en	univ	G_PRP	0	0
255	G_X	.	univ	hi	en	G_N	0	0
256	G_N	Girl	en	univ	univ	G_X	0	0
257	G_X	:	univ	en	hi	G_N	0	0
258	G_N	Sacchi	hi	univ	univ	G_X	0	0
259	G_X	.	univ	hi	en	G_N	0	0
260	G_N	Boy	en	univ	univ	G_X	0	0
261	G_X	:	univ	en	hi	G_N	0	0
262	G_N	Mucchi	hi	univ	univ	G_X	0	0
263	G_X	.	univ	hi	en	G_N	0	0
264	G_N	Girl	en	univ	univ	G_X	0	0
265	G_X	:	univ	en	hi	G_N	0	0
266	G_SYM	ek	hi	univ	univ	G_X	0	0
267	G_SYM	100ka	univ	hi	en	G_SYM	0	0
268	G_V	Recharge	en	univ	hi	G_SYM	0	0
269	G_V	Krwa	hi	en	univ	G_V	0	0
270	G_X	...	univ	hi	univ	G_V	0	0
271	U	http://t.co/fBVr0axApf	univ	univ		G_X	0	0
272	G_J	Brilliant	en		en		0	0
273	G_N	Answer	en	en	en	G_J	0	0
274	PSP	By	en	en	en	G_N	0	0
275	G_N	Boy	en	en	en	PSP	0	0
276	G_N	Friend	en	en	en	G_N	0	0
277	PSP	on	en	en	en	G_N	0	0
278	G_N	Break	en	en	en	PSP	0	0
279	PSP	Up	en	en	univ	G_N	0	0
280	G_X	…	univ	en	univ	PSP	0	0
281	G_X	.	univ	univ	en	G_X	0	0
282	G_N	Girl	en	univ	univ	G_X	0	0
283	G_X	;	univ	en	hi	G_N	0	0
284	G_PRP	Tumhe	hi	univ	hi	G_X	0	0
285	G_PRP	Mere	hi	hi	hi	G_PRP	0	0
286	G_R	Jaisi	hi	hi	hi	G_PRP	0	0
287	G_N	Ladki	hi	hi	hi	G_R	0	0
288	G_PRT	Nahi	hi	hi	hi	G_N	0	0
289	G_V	Milegi	hi	hi	univ	G_PRT	0	0
290	G_X	.	univ	hi	univ	G_V	0	0
291	G_X	.	univ	univ	univ	G_X	0	0
292	G_X	.	univ	univ	univ	G_X	0	0
293	G_X	.	univ	univ	univ	G_X	0	0
294	G_X	.	univ	univ	en	G_X	0	0
295	G_N	Boy	en	univ	univ	G_X	0	0
296	G_X	;	univ	en	en	G_N	0	0
297	G_V	Chill	en	univ	univ	G_X	0	0
298	G_X	...	univ	en	univ	G_V	0	0
299	U	http://t.co/G6mF9fWFLQ	univ	univ		G_X	0	0
300	G_N	Boy	en		univ		0	0
301	G_X	:	univ	en	hi	G_N	0	0
302	G_PRP	Tum	hi	univ	hi	G_X	0	0
303	G_N	Ladki	hi	hi	hi	G_PRP	0	0
304	G_PRT	Ho	hi	hi	hi	G_N	0	0
305	PSP	Ke	hi	hi	hi	G_PRT	0	0
306	G_N	Sharab	hi	hi	hi	PSP	0	0
307	G_V	Peeti	hi	hi	hi	G_N	0	0
308	G_V	Ho	hi	hi	univ	G_V	0	0
309	G_X	??	univ	hi	en	G_V	0	0
310	G_J	Awesome	en	univ	en	G_X	0	0
311	G_V	reply	en	en	en	G_J	0	0
312	PSP	by	en	en	en	G_V	0	0
313	G_N	Girl	en	en	univ	PSP	0	0
314	G_X	:	univ	en	hi	G_N	0	0
315	G_PRT	To	hi	univ	hi	G_X	0	0
316	G_PRP	Kya	hi	hi	univ	G_PRT	0	0
317	$	2-4	univ	hi	hi	G_PRP	0	1
318	G_N	Peg	hi	univ	hi	$	0	0
319	PSP	Ke	hi	hi	hi	G_N	0	0
320	PSP	Liye	hi	hi	en	PSP	0	0
321	G_N	Gender	en	hi	en	PSP	0	0
322	G_V	Change	en	en	hi	G_N	0	0
323	G_V	Karwaun	hi	en	univ	G_V	0	0
324	G_X	???	univ	hi	univ	G_V	0	0
325	#	#IndvsSA	univ	univ	univ	G_X	1	0
326	#	#MaukaMauka	univ	univ		#	1	0
327	G_N	Boy	en		univ		0	0
328	G_X	-	univ	en	hi	G_N	0	0
329	G_N	badlapur	hi	univ	hi	G_X	0	0
330	G_V	dekhne	hi	hi	hi	G_N	0	0
331	G_V	chale	hi	hi	en	G_V	0	0
332	G_N	Girl	en	hi	univ	G_V	0	0
333	G_X	-	univ	en	en	G_N	0	0
334	G_PRP	M	en	univ	en	G_X	0	0
335	G_V	watching	en	en	en	G_PRP	0	0
336	G_N	india	en	en	en	G_V	0	0
337	PSP	vs	en	en	acro	G_N	0	0
338	G_N	sa	acro	en	en	PSP	0	0
339	G_N	Boy	en	acro	univ	G_N	0	0
340	G_X	(	univ	en	en	G_N	0	0
341	G_V	calls	en	univ	en	G_X	0	0
342	G_PRP	his	en	en	en	G_V	0	0
343	G_N	mom	en	en	univ	G_PRP	0	0
344	G_X	)	univ	en	univ	G_N	0	0
345	G_X	-	univ	univ	hi	G_X	0	0
346	G_N	Maa	hi	univ	univ	G_X	0	0
347	G_X	,	univ	hi	hi	G_N	0	0
348	G_PRP	maine	hi	univ	hi	G_X	0	0
349	G_N	ladki	hi	hi	hi	G_PRP	0	0
350	G_V	dhoond	hi	hi	hi	G_N	0	0
351	PSP	lee	hi	hi	univ	G_V	0	0
352	G_X	...	univ	hi		PSP	0	0
353	G_J	Brilliant	en		en		0	0
354	G_N	Answer	en	en	en	G_J	0	0
355	PSP	By	en	en	en	G_N	0	0
356	G_N	Boy	en	en	en	PSP	0	0
357	G_N	Friend	en	en	en	G_N	0	0
358	PSP	on	en	en	en	G_N	0	0
359	G_N	Break	en	en	en	PSP	0	0
360	PSP	Up	en	en	univ	G_N	0	0
361	G_X	…	univ	en	univ	PSP	0	0
362	G_X	.	univ	univ	en	G_X	0	0
363	G_N	Girl	en	univ	univ	G_X	0	0
364	G_X	;	univ	en	hi	G_N	0	0
365	G_PRP	Tumhe	hi	univ	hi	G_X	0	0
366	G_PRP	Mere	hi	hi	hi	G_PRP	0	0
367	G_R	Jaisi	hi	hi	hi	G_PRP	0	0
368	G_N	Ladki	hi	hi	hi	G_R	0	0
369	G_PRT	Nahi	hi	hi	hi	G_N	0	0
370	G_V	Milegi	hi	hi	univ	G_PRT	0	0
371	G_X	.	univ	hi	univ	G_V	0	0
372	G_X	.	univ	univ	univ	G_X	0	0
373	G_X	.	univ	univ	univ	G_X	0	0
374	G_X	.	univ	univ	univ	G_X	0	0
375	G_X	.	univ	univ	en	G_X	0	0
376	G_N	Boy	en	univ	univ	G_X	0	0
377	G_X	;	univ	en	en	G_N	0	0
378	G_V	Chill	en	univ	univ	G_X	0	0
379	G_X	...	univ	en	univ	G_V	0	0
380	U	http://t.co/tfdsDe3g50	univ	univ		G_X	0	0
381	$	1	univ		hi		0	1
382	G_N	Ladke	hi	univ	hi	$	0	0
383	PSP	Ne	hi	hi	hi	G_N	0	0
384	G_SYM	ek	hi	hi	hi	PSP	0	0
385	G_N	Ladki	hi	hi	hi	G_SYM	0	0
386	PSP	Ko	hi	hi	en	G_N	0	0
387	G_V	Call	en	hi	hi	PSP	0	0
388	G_V	Ki	hi	en	en	G_V	0	0
389	G_N	Boy	en	hi	univ	G_V	0	0
390	G_X	:	univ	en	en	G_N	0	0
391	G_PRP	I	en	univ	en	G_X	0	0
392	G_V	LOVE	en	en	en	G_PRP	0	0
393	G_PRP	U	en	en	en	G_V	0	0
394	G_N	Jaan	en	en	en	G_PRP	0	0
395	G_N	Girl	en	en	univ	G_N	0	0
396	G_X	:	univ	en	hi	G_N	0	0
397	G_N	Sacchi	hi	univ	en	G_X	0	0
398	G_N	Boy	en	hi	univ	G_N	0	0
399	G_X	:	univ	en	hi	G_N	0	0
400	G_N	Mucchi	hi	univ	en	G_X	0	0
401	G_N	Girl	en	hi	univ	G_N	0	0
402	G_X	:	univ	en	hi	G_N	0	0
403	G_SYM	ek	hi	univ	univ	G_X	0	0
404	G_SYM	100ka	univ	hi	en	G_SYM	0	0
405	G_V	Recharge	en	univ	hi	G_SYM	0	0
406	G_V	Krwa	hi	en	hi	G_V	0	0
407	G_V	Do	hi	hi	en	G_V	0	0
408	G_R	Plz	en	hi	univ	G_V	0	0
409	G_X	...	univ	en	univ	G_R	0	0
410	U	http://t.co/lGuAKigGOX	univ	univ		G_X	0	0
411	@	@kkundra	univ		univ		1	0
412	G_PRT	lol	univ	univ	hi	@	0	0
413	G_N	ladki	hi	univ	hi	G_PRT	0	0
414	G_V	mil	hi	hi	hi	G_N	0	0
415	G_V	gyi	hi	hi	univ	G_V	0	0
416	G_X	..	univ	hi	ne	G_V	0	0
417	G_N	Martina	ne	univ	en	G_X	0	0
418	G_R	here	en	ne	en	G_N	0	0
419	G_PRP	you	en	en	en	G_R	0	0
420	G_V	go	en	en	en	G_PRP	0	0
421	G_N	girl	en	en	univ	G_V	0	0
422	G_X	..	univ	en	univ	G_N	0	0
423	G_PRT	hahha	univ	univ	en	G_X	0	0
424	G_PRT	shit	en	univ	univ	G_PRT	0	0
425	#	#Roadies	univ	en		G_PRT	1	0
426	G_N	Boy	en		univ		0	0
427	G_X	:	univ	en	univ	G_N	0	0
428	G_X	-	univ	univ	en	G_X	0	0
429	G_PRP	I	en	univ	en	G_X	0	0
430	G_V	Love	en	en	en	G_PRP	0	0
431	G_PRP	You	en	en	univ	G_V	0	0
432	G_X	,	univ	en	hi	G_PRP	0	0
433	G_PRP	Tum	hi	univ	hi	G_X	0	0
434	G_PRP	Is	hi	hi	hi	G_PRP	0	0
435	G_N	Duniya	hi	hi	hi	G_PRP	0	0
436	G_V	Ki	hi	hi	hi	G_N	0	0
437	G_PRT	Sabse	hi	hi	hi	G_V	0	0
438	G_J	Khubsurat	hi	hi	hi	G_PRT	0	0
439	G_N	Ladki	hi	hi	hi	G_J	0	0
440	PSP	Ho	hi	hi	en	G_N	0	0
441	G_N	Girl	en	hi	univ	PSP	0	0
442	G_X	:	univ	en	univ	G_N	0	0
443	G_X	-	univ	univ	hi	G_X	0	0
444	PSP	Par	hi	univ	hi	G_X	0	0
445	G_PRP	Tumhare	hi	hi	hi	PSP	0	0
446	G_R	Peeche	hi	hi	hi	G_PRP	0	0
447	CC	Toh	hi	hi	hi	G_R	0	0
448	G_PRP	Mujhse	hi	hi	hi	CC	0	0
449	G_PRP	Bhi	hi	hi	hi	G_PRP	0	0
450	G_SYM	Zyaada	hi	hi	univ	G_PRP	0	0
451	G_X	...	univ	hi	univ	G_SYM	0	0
452	U	http://t.co/mNVsAUACmR	univ	univ		G_X	0	0
453	G_X	double_quotes	univ		hi		0	0
454	G_PRP	jab	hi	univ	hi	G_X	0	0
455	G_PRP	koi	hi	hi	hi	G_PRP	0	0
456	G_N	ladki	hi	hi	hi	G_PRP	0	0
457	G_PRT	na	hi	hi	hi	G_N	0	0
458	G_V	kehti	hi	hi	hi	G_PRT	0	0
459	G_V	hai	hi	hi	univ	G_V	0	0
460	G_X	,	univ	hi	hi	G_V	0	0
461	CC	toh	hi	univ	hi	G_X	0	0
462	G_PRP	uska	hi	hi	hi	CC	0	0
463	G_N	matlab	hi	hi	hi	G_PRP	0	0
464	G_PRT	na	hi	hi	hi	G_N	0	0
465	G_PRT	hi	hi	hi	hi	G_PRT	0	0
466	G_V	hota	hi	hi	hi	G_PRT	0	0
467	G_V	hai	hi	hi	univ	G_V	0	0
468	G_X	(	univ	hi	en	G_V	0	0
469	G_R	when	en	univ	en	G_X	0	0
470	DT	a	en	en	en	G_R	0	0
471	G_N	girl	en	en	en	DT	0	0
472	G_V	says	en	en	en	G_N	0	0
473	G_PRT	no	en	en	univ	G_V	0	0
474	G_X	,	univ	en	en	G_PRT	0	0
475	G_PRP	it	en	univ	en	G_X	0	0
476	G_R	only	en	en	en	G_PRP	0	0
477	G_V	means	en	en	en	G_R	0	0
478	G_PRT	no	en	en	univ	G_V	0	0
479	G_X	)	univ	en	univ	G_PRT	0	0
480	G_X	double_quotes	univ	univ	univ	G_X	0	0
481	#	#soimportant	univ	univ	univ	G_X	1	0
482	U	http://t.co/CkAMzmhH1g	univ	univ		#	0	0
483	G_SYM	Ek	hi		hi		0	0
484	G_J	Buri	hi	hi	hi	G_SYM	0	0
485	G_N	Ladki	hi	hi	univ	G_J	0	0
486	G_X	(	univ	hi	en	G_N	0	0
487	DT	A	en	univ	en	G_X	0	0
488	G_J	Bad	en	en	en	DT	0	0
489	G_N	Girl	en	en	univ	G_J	0	0
490	G_X	)	univ	en	univ	G_N	0	0
491	U	http://t.co/koPv0s5kha	univ	univ	en	G_X	0	0
492	PSP	via	en	univ	univ	U	0	0
493	@	@imgur	univ	en	univ	PSP	1	0
494	G_PRT	BAHAHA	univ	univ	univ	@	0	0
495	G_X	.	univ	univ	en	G_PRT	0	0
496	G_PRP	I	en	univ	en	G_X	0	0
497	G_V	guess	en	en	en	G_PRP	0	0
498	G_N	I'm	en	en	en	G_V	0	0
499	DT	a	en	en	univ	G_N	0	0
500	#	#badgirl	univ	en	univ	DT	1	0
501	E	:P	univ	univ	univ	#	0	0
502	#	#whatajoke	univ	univ	univ	E	1	0
503	#	#loadofcrap	univ	univ		#	1	0
504	G_J	Brlnt	en		en		0	0
505	G_N	Ans	en	en	en	G_J	0	0
506	PSP	By	en	en	en	G_N	0	0
507	G_N	bf	en	en	en	PSP	0	0
508	PSP	on	en	en	en	G_N	0	0
509	G_N	Brk	en	en	en	PSP	0	0
510	PSP	Up	en	en	univ	G_N	0	0
511	G_X	.	univ	en	en	PSP	0	0
512	G_N	Girl	en	univ	univ	G_X	0	0
513	G_X	;	univ	en	hi	G_N	0	0
514	G_PRP	Tmhe	hi	univ	hi	G_X	0	0
515	G_PRP	Mere	hi	hi	hi	G_PRP	0	0
516	G_R	Jaisi	hi	hi	hi	G_PRP	0	0
517	G_N	Ladki	hi	hi	hi	G_R	0	0
518	G_PRT	Nahi	hi	hi	hi	G_N	0	0
519	G_V	Milegi	hi	hi	univ	G_PRT	0	0
520	G_X	.	univ	hi	en	G_V	0	0
521	G_N	Boy	en	univ	en	G_X	0	0
522	G_V	Chil	en	en	en	G_N	0	0
523	G_N	swthrt	en	en	hi	G_V	0	0
524	G_PRP	Mjhe	hi	en	hi	G_N	0	0
525	G_PRP	Tu	hi	hi	hi	G_PRP	0	0
526	PSP	Hi	hi	hi	hi	G_PRP	0	0
527	G_PRT	Ni	hi	hi	hi	PSP	0	0
528	G_N	Psnd	hi	hi	hi	G_PRT	0	0
529	CC	To	hi	hi	hi	G_N	0	0
530	G_PRP	Teri	hi	hi	hi	CC	0	0
531	PSP	Jaise	hi	hi	hi	G_PRP	0	0
532	G_PRP	Kyu	hi	hi	hi	PSP	0	0
533	G_V	dhudunga	hi	hi		G_PRP	0	0
534	G_N	Yaar	hi		hi		0	0
535	G_SYM	ek	hi	hi	hi	G_N	0	0
536	G_N	ladki	hi	hi	hi	G_SYM	0	0
537	G_V	hai	hi	hi	univ	G_N	0	0
538	G_X	!	univ	hi	hi	G_V	0	0
539	G_N	Haan	hi	univ	univ	G_X	0	0
540	G_X	!	univ	hi	hi	G_N	0	0
