 0 1 2
137 kitni hi G_R
138 gandhi hi G_N
139 aur hi CC
140 over en PSP
141 acting en G_V
142 karti hi G_V
143 hai hi G_V
144 . univ G_X
145 Ye hi G_PRP
146 girl en G_N
147 models en G_N
148 ko hi PSP
149 itni hi G_R
150 Galatfahmi hi G_J
151 kyon hi G_PRP
152 hoti hi G_V
153 hai hi G_V
154 ki hi PSP
155 wo hi G_PRP
156 badi hi G_J
157 actress en G_N
158 hain hi G_V
159 #### #### ####
160 Life en G_N
161 Ok en G_N
162 Dream en G_J
163 Girl en G_N
164 Ek hi G_SYM
165 Ladki hi G_N
166 Deewani hi G_J
167 Si hi PSP
168 Upcoming en G_J
169 Tv acro G_N
170 show en G_N
171 Story en G_N
172 | univ G_X
173 Star en G_N
174 Cast en G_N
175 | univ G_X
176 Timing en G_N
177 | univ G_X
178 Promo en G_N
179 Wiki ne G_N
180 | univ G_X
181 Ne hi G_N
182 http://t.co/X9AhZRRPiD univ U
183 #### #### ####
184 1 univ $
185 Ladke hi G_N
186 Ne hi PSP
187 ek hi G_SYM
188 Ladki hi G_N
189 Ko hi PSP
190 Call en G_V
191 Ki hi PSP
192 Boy en G_N
193 : univ G_X
194 I en G_PRP
195 LOVE en G_V
196 U en G_PRP
197 Jaan hi G_N
198 Girl-Sacchi mixed G_N
199 Boy-Mucchi mixed G_N
200 Girl en G_N
201 : univ G_X
202 ek hi G_SYM
203 100ka univ G_SYM
204 Recharge en G_V
205 Krwa hi G_V
206 Do hi G_V
207 Plz en G_R
208 Boy-Sorry en G_N
209 Didi hi G_N
210 Rong en G_J
211 Number en G_N
212 . univ G_X
213 #### #### ####
214 Boy en G_N
215 : univ G_X
216 Tum hi G_PRP
217 Ladki hi G_N
218 Ho hi G_V
219 Ke hi PSP
220 Sharab hi G_N
221 Peeti hi G_V
222 Ho hi G_V
223 ?? univ G_X
224 Awesome en G_J
225 reply en G_V
226 by en PSP
227 Girl en G_N
228 : univ G_X
229 To hi G_PRT
230 Kya hi G_PRP
231 2-4 univ $
232 Peg hi G_N
233 Ke hi PSP
234 Liye hi PSP
235 Gender en G_N
236 Change en G_V
237 Karwaun hi G_V
238 ??? univ G_X
239 #### #### ####
240 1 univ $
241 Ladke hi G_N
242 Ne hi PSP
243 ek hi G_SYM
244 Ladki hi G_N
245 Ko hi PSP
246 Call en G_V
247 Ki hi G_V
248 . univ G_X
249 Boy en G_N
250 : univ G_X
251 I en G_PRP
252 LOVE en G_V
253 U en G_PRP
254 Jaan hi G_N
255 . univ G_X
256 Girl en G_N
257 : univ G_X
258 Sacchi hi G_N
259 . univ G_X
260 Boy en G_N
261 : univ G_X
262 Mucchi hi G_N
263 . univ G_X
264 Girl en G_N
265 : univ G_X
266 ek hi G_SYM
267 100ka univ G_SYM
268 Recharge en G_V
269 Krwa hi G_V
270 ... univ G_X
271 http://t.co/fBVr0axApf univ U
272 #### #### ####
273 Brilliant en G_J
274 Answer en G_N
275 By en PSP
276 Boy en G_N
277 Friend en G_N
278 on en PSP
279 Break en G_N
280 Up en PSP
281 … univ G_X
282 . univ G_X
283 Girl en G_N
284 ; univ G_X
285 Tumhe hi G_PRP
286 Mere hi G_PRP
287 Jaisi hi G_R
288 Ladki hi G_N
289 Nahi hi G_PRT
290 Milegi hi G_V
291 . univ G_X
292 . univ G_X
293 . univ G_X
294 . univ G_X
295 . univ G_X
296 Boy en G_N
297 ; univ G_X
298 Chill en G_V
299 ... univ G_X
300 http://t.co/G6mF9fWFLQ univ U
301 #### #### ####
302 Boy en G_N
303 : univ G_X
304 Tum hi G_PRP
305 Ladki hi G_N
306 Ho hi G_PRT
307 Ke hi PSP
308 Sharab hi G_N
309 Peeti hi G_V
310 Ho hi G_V
311 ?? univ G_X
312 Awesome en G_J
313 reply en G_V
314 by en PSP
315 Girl en G_N
316 : univ G_X
317 To hi G_PRT
318 Kya hi G_PRP
319 2-4 univ $
320 Peg hi G_N
321 Ke hi PSP
322 Liye hi PSP
323 Gender en G_N
324 Change en G_V
325 Karwaun hi G_V
326 ??? univ G_X
327 #IndvsSA univ #
328 #MaukaMauka univ #
329 #### #### ####
330 Boy en G_N
331 - univ G_X
332 badlapur hi G_N
333 dekhne hi G_V
334 chale hi G_V
335 Girl en G_N
336 - univ G_X
337 M en G_PRP
338 watching en G_V
339 india en G_N
340 vs en PSP
341 sa acro G_N
342 Boy en G_N
343 ( univ G_X
344 calls en G_V
345 his en G_PRP
346 mom en G_N
347 ) univ G_X
348 - univ G_X
349 Maa hi G_N
350 , univ G_X
351 maine hi G_PRP
352 ladki hi G_N
353 dhoond hi G_V
354 lee hi PSP
355 ... univ G_X
356 #### #### ####
357 Brilliant en G_J
358 Answer en G_N
359 By en PSP
360 Boy en G_N
361 Friend en G_N
362 on en PSP
363 Break en G_N
364 Up en PSP
365 … univ G_X
366 . univ G_X
367 Girl en G_N
368 ; univ G_X
369 Tumhe hi G_PRP
370 Mere hi G_PRP
371 Jaisi hi G_R
372 Ladki hi G_N
373 Nahi hi G_PRT
374 Milegi hi G_V
375 . univ G_X
376 . univ G_X
377 . univ G_X
378 . univ G_X
379 . univ G_X
380 Boy en G_N
381 ; univ G_X
382 Chill en G_V
383 ... univ G_X
384 http://t.co/tfdsDe3g50 univ U
385 #### #### ####
386 1 univ $
387 Ladke hi G_N
388 Ne hi PSP
389 ek hi G_SYM
390 Ladki hi G_N
391 Ko hi PSP
392 Call en G_V
393 Ki hi G_V
394 Boy en G_N
395 : univ G_X
396 I en G_PRP
397 LOVE en G_V
398 U en G_PRP
399 Jaan en G_N
400 Girl en G_N
401 : univ G_X
402 Sacchi hi G_N
403 Boy en G_N
404 : univ G_X
405 Mucchi hi G_N
406 Girl en G_N
407 : univ G_X
408 ek hi G_SYM
409 100ka univ G_SYM
410 Recharge en G_V
411 Krwa hi G_V
412 Do hi G_V
413 Plz en G_R
414 ... univ G_X
415 http://t.co/lGuAKigGOX univ U
416 #### #### ####
417 @kkundra univ @
418 lol univ G_PRT
419 ladki hi G_N
420 mil hi G_V
421 gyi hi G_V
422 .. univ G_X
423 Martina ne G_N
424 here en G_R
425 you en G_PRP
426 go en G_V
427 girl en G_N
428 .. univ G_X
429 hahha univ G_PRT
430 shit en G_PRT
431 #Roadies univ #
432 #### #### ####
433 Boy en G_N
434 : univ G_X
435 - univ G_X
436 I en G_PRP
437 Love en G_V
438 You en G_PRP
439 , univ G_X
440 Tum hi G_PRP
441 Is hi G_PRP
442 Duniya hi G_N
443 Ki hi G_V
444 Sabse hi G_PRT
445 Khubsurat hi G_J
446 Ladki hi G_N
447 Ho hi PSP
448 Girl en G_N
449 : univ G_X
450 - univ G_X
451 Par hi PSP
452 Tumhare hi G_PRP
453 Peeche hi G_R
454 Toh hi CC
455 Mujhse hi G_PRP
456 Bhi hi G_PRP
457 Zyaada hi G_SYM
458 ... univ G_X
459 http://t.co/mNVsAUACmR univ U
460 #### #### ####
461 "	univ	G_X
jab	hi	G_PRP
koi	hi	G_PRP
ladki	hi	G_N
na	hi	G_PRT
kehti	hi	G_V
hai	hi	G_V
,	univ	G_X
toh	hi	CC
uska	hi	G_PRP
matlab	hi	G_N
na	hi	G_PRT
hi	hi	G_PRT
hota	hi	G_V
hai	hi	G_V
(	univ	G_X
when	en	G_R
a	en	DT
girl	en	G_N
says	en	G_V
no	en	G_PRT
,	univ	G_X
it	en	G_PRP
only	en	G_R
means	en	G_V
no	en	G_PRT
)	univ	G_X
" univ G_X
462 #soimportant univ #
463 http://t.co/CkAMzmhH1g univ U
464 #### #### ####
465 Ek hi G_SYM
466 Buri hi G_J
467 Ladki hi G_N
468 ( univ G_X
469 A en DT
470 Bad en G_J
471 Girl en G_N
472 ) univ G_X
473 http://t.co/koPv0s5kha univ U
474 via en PSP
475 @imgur univ @
476 BAHAHA univ G_PRT
477 . univ G_X
478 I en G_PRP
479 guess en G_V
480 I'm en G_N
481 a en DT
482 #badgirl univ #
483 :P univ E
484 #whatajoke univ #
485 #loadofcrap univ #
486 #### #### ####
487 Brlnt en G_J
488 Ans en G_N
489 By en PSP
490 bf en G_N
491 on en PSP
492 Brk en G_N
493 Up en PSP
494 . univ G_X
495 Girl en G_N
496 ; univ G_X
497 Tmhe hi G_PRP
498 Mere hi G_PRP
499 Jaisi hi G_R
500 Ladki hi G_N
501 Nahi hi G_PRT
502 Milegi hi G_V
503 . univ G_X
504 Boy en G_N
505 Chil en G_V
506 swthrt en G_N
507 Mjhe hi G_PRP
508 Tu hi G_PRP
509 Hi hi PSP
510 Ni hi G_PRT
511 Psnd hi G_N
512 To hi CC
513 Teri hi G_PRP
514 Jaise hi PSP
515 Kyu hi G_PRP
516 dhudunga hi G_V
517 #### #### ####
518 Yaar hi G_N
519 ek hi G_SYM
520 ladki hi G_N
521 hai hi G_V
522 ! univ G_X
523 Haan hi G_N
524 ! univ G_X
525 Sachi hi G_N
526 ! univ G_X
527 Ek hi G_SYM
528 naya hi G_J
529 crush en G_N
530 ! univ G_X
531 💞 univ G_X
532 Aree hi G_PRT
533 yaar hi G_N
534 sachi hi G_N
535 ! univ G_X
536 Okay en G_R
537 check en G_V
538 out en G_PRT
539 @ZaalimGF univ @
540 trailer en G_N
541 This en G_PRP
542 girl- en G_N
543 @meprachimishra univ @
544 #gorgeous univ #
545 👰 univ G_X
546 #### #### ####
547 @tehseenp univ @
548 @bwoyblunder univ @
549 @PMOIndia univ @
550 @narendramodi univ @
551 bhai hi G_N
552 mere hi G_PRP
553 office en G_N
554 me hi PSP
555 receptionist en G_N
556 ki hi PSP
557 position en G_N
558 khaali hi G_V
559 hai hi G_V
560 . univ G_X
561 kuch hi G_SYM
562 kaam hi G_N
563 nahi hi G_PRT
564 to hi G_PRT
565 lagwa hi G_V
566 dun hi G_V
567 naukri hi G_N
568 ? univ G_X
569 #### #### ####
570 @praktabh univ @
571 abe hi G_N
572 office en G_N
573 me hi PSP
574 kaam hi G_V
575 kr hi G_V
576 .. univ G_X
577 nahi hi G_PRT
578 to hi G_PRT
579 boss en G_N
580 gand hi G_PRT
581 pe hi PSP
582 laat hi G_V
583 maar hi G_V
584 k hi PSP
585 bhaga hi G_V
586 dega hi G_V
587 #### #### ####
588 @Ujala4u univ @
589 haaha hi G_PRT
590 .. univ G_X
591 hum hi G_PRP
592 aisy hi G_PRP
593 he hi G_PRT
594 hai hi G_V
595 biwi hi G_N
596 office en G_N
597 mein hi PSP
598 kaam hi G_N
599 kion hi G_PRP
600 kry hi G_V
601 .. univ G_X
602 hahah univ G_PRT
603 #### #### ####
604 @Dawoodnusrat univ @
605 bus en G_N
606 office en G_N
607 he hi G_PRT
608 hn hi G_V
609 , univ G_X
610 Sat en G_N
611 thora hi G_SYM
612 thanda hi G_J
613 hota hi G_N
614 hay hi G_V
615 kaam hi G_N
616 k hi PSP
617 point en G_N
618 of en PSP
619 view en G_N
620 say hi PSP
621 you en G_PRP
622 know en G_V
623 :) univ E
624 #### #### ####
625 @siyal_khan univ @
626 office en G_N
627 abb hi G_PRP
628 hum hi G_PRP
629 sub hi G_SYM
630 kaam hi G_V
631 karty hi G_V
632 koi hi G_PRP
633 uni hi G_N
634 clg en G_N
635 nae hi G_PRT
636 jata hi G_V
637 mere hi G_PRP
638 ghar hi G_N
639 #### #### ####
640 “ univ G_X
641 @RamgarhKaJai univ @
642 : univ G_X
643 Office en G_N
644 bhi hi G_N
645 koi hi G_PRP
646 kaam hi G_N
647 karne hi G_V
648 ki hi PSP
649 jagah hi G_N
650 hai hi G_V
651 bhala hi G_N
652 ? univ G_X
653 ” univ G_X
654 Nahi hi G_PRT
655 . univ G_X
656 Tabela hi G_N
657 is hi G_V
658 better en G_J
659 . univ G_X
660 Chalo hi G_V
661 waha hi G_PRP
662 chale hi G_V
663 . univ G_X
664 #### #### ####
665 @eqrab univ @
666 @HajraAbbottaba univ @
667 @AnjumIqbalPTI univ @
668 Array hi G_PRT
669 yar hi G_N
670 hans hi G_N
671 kar hi G_V
672 dil hi G_N
673 na hi G_PRT
674 jalao hi G_N
675 abhi hi G_R
676 sara hi G_SYM
677 din hi G_N
678 office en G_N
679 main hi PSP
680 bhi hi G_PRP
681 kaam hi G_N
682 karna hi G_N
683 hay hi G_V
684 #### #### ####
685 Yar hi G_PRT
686 Saturday en G_N
687 ko hi PSP
688 kon hi G_PRP
689 kaam hi G_N
690 krta hi G_V
691 hai hi G_V
692 .. univ G_X
693 ullu hi G_PRT
694 k hi PSP
695 phatay hi G_PRT
696 😠 univ E
697 I en G_PRP
698 can en G_V
699 watch en G_V
700 Pakistan ne G_N
701 loosing en G_V
702 at en PSP
703 home en G_N
704 not en G_PRT
705 in en PSP
706 fucking en G_J
707 office en G_N
708 😩 univ E
709 #### #### ####
710 @Liaqat842 univ @
711 tum hi G_PRP
712 sahi hi G_J
713 keh hi G_V
714 rhy hi G_V
715 thy hi G_V
716 yeh hi G_PRP
717 zayda hi G_SYM
718 buri hi G_J
719 timings en G_N
720 hain hi G_V
721 3 univ $
722 wali hi PSP
723 match en G_N
724 ki😳 hi PSP
725 subah hi G_N
726 purany hi G_J
727 office en G_N
728 bhi hi PSP
729 jna hi G_V
730 hai hi G_V
731 kaam hi G_N
732 hai hi G_V
733 😏 univ E
734 #### #### ####
735 @ChocolateCharsi univ @
736 no en DT
737 office en G_N
738 hours en G_N
739 ! univ G_X
740 Saara hi G_SYM
741 kaam hi G_N
742 ghar hi G_N
743 per hi PSP
744 #### #### ####
745 @hardik univ @
746 @ImpatientWoman univ @
747 Arey hi G_PRT
748 jagah hi G_N
749 kahan hi G_R
750 hai hi G_V
751 office en G_N
752 main hi PSP
753 ? univ G_X
754 Sab hi G_SYM
755 kaam hi G_N
756 chalu hi G_J
757 hai hi G_V
758 #### #### ####
759 @FaslaRakhein univ @
760 dad en G_N
761 office en G_N
762 k hi PSP
763 kaam hi G_N
764 me hi PSP
765 phasay hi G_J
766 hue hi G_V
767 hen hi G_V
768 .. univ G_X
769 9 univ $
770 , univ G_X
771 9.30 univ $
772 tak hi PSP
773 aa hi G_V
774 jae hi G_V
775 ge hi G_V
776 ... univ G_X
777 😒😒 univ E
778 Yaha hi G_PRP
779 wait en G_V
780 hi hi PSP
781 nai hi G_PRT
782 ho hi G_V
783 raha hi G_V
784 .. univ G_X
785 😒😒😕 univ E
786 #### #### ####
787 @BeingSkChetan univ @
788 hmmm univ G_PRT
789 😳 univ E
790 Office en G_N
791 me hi PSP
792 tweet en G_V
793 karre hi G_V
794 lai hi G_V
795 ? univ G_X
796 Phir hi G_R
797 toh hi G_PRT
798 kaam hi G_N
799 der hi G_N
800 se hi PSP
801 khatam hi G_J
802 hone hi G_V
803 ko hi PSP
804 hai hi G_V
805 ! univ G_X
806 😂😂😂 univ E
807 #### #### ####
808 @FanSidharth univ @
809 Muje hi G_PRP
810 dekhne hi G_V
811 ke hi PSP
812 liye hi PSP
813 time en G_N
814 nhi hi G_R
815 milta hi G_V
816 hai hi G_V
817 re hi G_V
818 . univ G_X
819 Kya hi G_PRP
820 karu hi G_V
821 bata hi G_V
822 biddu hi G_PRT
823 tu hi G_PRP
824 bata hi G_V
825 ? univ G_X
826 Office en G_N
827 me hi PSP
828 kaam hi G_N
829 bhi hi G_PRT
830 hai hi G_V
831 bole hi G_V
832 to hi G_PRT
833 #### #### ####
834 @SniperSpot univ @
835 @SansadBhawan univ @
836 @AkshayA80203737 univ @
837 @Ek_AAPtard univ @
838 @sanat397 univ @
839 Jhaadu hi G_N
840 se hi PSP
841 kaam hi G_N
842 nahi hi G_PRT
843 chala hi G_V
844 tou hi G_PRT
845 ab hi G_R
846 tujhe hi G_PRP
847 muli hi G_N
848 chahiye hi G_V
849 ? univ G_X
850 Gaand hi G_PRT
851 hai hi G_V
852 ya hi CC
853 office en G_N
854 ? univ G_X
855 #### #### ####
856 Keep en G_V
857 calm en G_J
858 and en CC
859 keep en G_V
860 kaam hi G_N
861 se hi PSP
862 kaam hi G_N
863 !!! univ G_X
864 #office univ #
865 #tgif univ #
866 #nametag univ #
867 #buddha univ #
868 #SouvenirFromManali univ #
869 #keepcalm univ #
870 http://t.co/qg7KrE3RMN univ U
871 #### #### ####
872 Tere hi G_PRP
873 office en G_N
874 me en PSP
875 koi hi G_PRP
876 kaam hi G_N
877 dandha hi G_N
878 nai hi G_PRT
879 hai hi G_V
880 lagta hi G_R
881 :P univ E
882 #### #### ####
883 @aru36629 univ @
884 haha univ G_PRT
885 smjh hi G_V
886 gyi hi G_V
887 mai hi G_PRP
888 accha hi G_R
889 tum hi G_PRP
890 office en G_N
891 se hi PSP
892 aane hi G_N
893 ke hi PSP
894 baad hi G_N
895 kya hi G_PRP
896 krti hi G_V
897 ho hi G_V
898 ? univ G_X
899 #### #### ####
900 @khusshhagrawal univ @
901 can't en G_V
902 wait en G_V
903 yaar hi G_PRT
904 . univ G_X
905 I'm en G_N
906 in en PSP
907 office en G_N
908 . univ G_X
909 Accha hi G_R
910 atleast en G_R
911 give en G_V
912 me en G_PRP
913 some en DT
914 hint en G_N
915 * univ G_X
916 Maine hi G_PRP
917 bhi hi G_PRT
918 diya hi G_V
919 tha hi G_V
920 :p univ E
921 #### #### ####
922 accha hi G_R
923 i en G_PRP
924 should en G_V
925 sleep en G_V
926 , univ G_X
927 kaal hi G_R
928 office en G_N
929 hai hi G_V
930 :( univ E
931 #### #### ####
932 @theUglyDude007 univ @
933 @suzali86 univ @
934 ruz hi G_R
935 kaam hi G_N
936 karta hi G_V
937 tu hi G_PRP
938 sunday en G_N
939 ku hi G_PRP
940 office en G_N
941 nahi hi G_PRT
942 jana hi G_V
943 padta hi G_V
944 #### #### ####
945 Office en G_N
946 mein hi PSP
947 kisi hi G_PRP
948 bandy hi G_N
949 ko hi PSP
950 favor en G_N
951 de hi G_V
952 do hi G_V
953 to hi PSP
954 jaty hi G_V
955 hoye hi G_V
956 apna hi G_PRP
957 number en G_N
958 de hi G_V
959 jata hi G_V
960 hai hi G_V
961 kay hi CC
962 koi hi G_PRP
963 kaam hi G_N
964 ho hi G_V
965 to hi G_PRT
966 btana hi G_N
967 aur hi CC
968 baad hi G_R
969 mein hi PSP
970 saaly hi G_PRT
971 phone en G_N
972 hi hi PSP
973 nai hi G_PRT
974 sunty hi G_N
975 . univ G_X
976 #### #### ####
977 Kasam hi G_N
978 se hi PSP
979 ! univ G_X
980 aisa hi G_PRP
981 imandari hi G_J
982 ka hi PSP
983 virus en G_N
984 felayenge hi G_N
985 , univ G_X
986 bahut hi G_SYM
987 mann hi G_N
988 hai hi G_V
989 sarkari hi G_J
990 office en G_N
991 mein hi PSP
992 logon hi G_N
993 ko hi PSP
994 kaam hi G_N
995 karte hi G_N
996 dekhne hi G_N
997 ka hi PSP
998 .. univ G_X
999 http://t.co/xDPeKXIhIY univ U
1000 #### #### ####
1001 @_swapneal univ @
1002 office en G_N
1003 ko hi PSP
1004 kaam hi G_V
1005 ... univ G_X
1006 too en G_R
1007 much en G_J
1008 work en G_N
1009 load en G_N
1010 😰 univ E
1011 #### #### ####
1012 Kaam hi G_N
1013 bolta hi G_V
1014 hai hi G_V
1015 itni hi G_PRT
1016 si hi PSP
1017 baat hi G_V
1018 hai hi G_V
1019 OFFICE en G_N
1020 mein hi PSP
1021 jaati hi G_V
1022 har hi G_R
1023 meri hi G_PRP
1024 raat hi G_N
1025 hai hi G_V
1026 Hardwork en G_N
1027 ka hi PSP
1028 example en G_N
1029 is'se hi G_N
1030 bada hi G_J
1031 kya hi G_PRP
1032 ho hi G_V
1033 sakta hi G_V
1034 ... univ G_X
1035 http://t.co/delkx3Dt5S univ U
1036 #### #### ####
1037 #WakeMeUpWhen univ #
1038 Papa en G_N
1039 k hi PSP
1040 office en G_N
1041 k hi PSP
1042 saray hi G_N
1043 kaam hi G_N
1044 khud hi G_PRP
1045 hojaen hi G_V
1046 . univ G_X
1047 #### #### ####
1048 @iamsrk_vraj univ @
1049 Haan hi G_PRT
1050 ajkal hi G_R
1051 main hi G_PRP
1052 raat hi G_N
1053 ko hi PSP
1054 hi hi PSP
1055 office en G_N
1056 jata hi G_V
1057 hoon hi G_V
1058 .. univ G_X
1059 kaam hi G_V
1060 bhi hi G_PRT
1061 zyada hi G_SYM
1062 nhi hi G_PRT
1063 hota hi G_V
1064 to hi PSP
1065 sukun hi G_N
1066 ke hi PSP
1067 din hi G_R
1068 guzar hi G_N
1069 rha hi G_V
1070 hun hi G_V
1071 .. univ G_X
1072 :P univ E
1073 #### #### ####
1074 Kaun hi G_PRP
1075 kambakht hi G_PRT
1076 job en G_N
1077 satisfaction en G_N
1078 ke hi PSP
1079 liye hi PSP
1080 kaam hi G_N
1081 karta hi G_V
1082 hai hi G_V
1083 . univ G_X
1084 Hum hi G_PRP
1085 to hi G_PRT
1086 office en G_N
1087 jate hi G_V
1088 hain hi G_V
1089 taaki hi CC
1090 fast en G_J
1091 internet en G_N
1092 ke hi PSP
1093 maze hi G_N
1094 ley hi G_V
1095 sake hi G_V
1096 , univ G_X
1097 youtube ne G_N
1098 dekh hi G_V
1099 sake hi G_V
1100 ... univ G_X
1101 #### #### ####
1102 @you_ShutUpp univ @
1103 thaka hi G_J
1104 hota hi G_V
1105 he hi G_V
1106 banda hi G_PRT
1107 , univ G_X
1108 tum hi G_PRP
1109 koi hi G_PRP
1110 kaam hi G_N
1111 karo hi G_V
1112 office en G_N
1113 mein hi PSP
1114 to hi G_PRT
1115 pata hi G_N
1116 ho hi G_V
1117 na hi G_PRT
1118 :p univ E
1119 #### #### ####
1120 @zartasha_maryam univ @
1121 aaj hi G_R
1122 ka hi PSP
1123 din hi G_R
1124 asha hi G_J
1125 gya hi G_N
1126 mere hi G_PRP
1127 liye hi PSP
1128 pehle hi G_N
1129 India ne G_N
1130 jeet hi G_N
1131 gaui hi G_V
1132 then en G_R
1133 aaj hi G_N
1134 dophar hi G_N
1135 me hi PSP
1136 aaram hi G_N
1137 se hi PSP
1138 sone hi G_V
1139 mila hi G_V
1140 , univ G_X
1141 and en CC
1142 aaj hi G_N
1143 office en G_N
1144 pe hi PSP
1145 bhi hi G_PRT
1146 no en G_PRT
1147 kaam hi G_V
1148 #### #### ####
1149 @md_baran univ @
1150 @Hones8Liar univ @
1151 chalo hi G_V
1152 ab hi G_PRP
1153 thoda hi G_J
1154 kaam hi G_N
1155 kar hi G_V
1156 sakte hi G_V
1157 hai hi G_V
1158 ... univ G_X
1159 subah hi G_N
1160 se hi PSP
1161 yahi hi G_PRP
1162 chipke hi G_V
1163 pade hi G_V
1164 hai hi G_V
1165 office en G_N
1166 me hi PSP
1167 bhi hi G_PRT
1168 .. univ G_X
1169 is hi G_PRP
1170 chakkar hi G_N
1171 me hi PSP
1172 lunch en G_N
1173 bhi hi G_PRT
1174 nahi hi G_PRT
1175 kiya hi G_V
1176 #### #### ####
1177 @aashikapokharel univ @
1178 Haha univ G_PRT
1179 okay en G_PRT
1180 . univ G_X
1181 Office en G_N
1182 time en G_N
1183 , univ G_X
1184 aba hi G_PRT
1185 bus hi G_N
1186 ma hi PSP
1187 bore en G_V
1188 hune hi G_V
1189 wala hi G_PRT
1190 chhu hi G_PRT
1191 . univ G_X
1192 Also en G_R
1193 , univ G_X
1194 Alumni en G_N
1195 ko hi PSP
1196 imp en G_J
1197 kaam hi G_V
1198 chha hi G_V
1199 . univ G_X
1200 Viber ne G_N
1201 ma hi PSP
1202 aaye hi G_V
1203 hune hi G_V
1204 . univ G_X
1205 :P univ E
1206 #### #### ####
1207 My en DT
1208 bad en G_J
1209 girl en G_N
1210 so en G_R
1211 good en G_J
1212 she en G_PRP
1213 lied en G_V
1214 to en PSP
1215 arranged en G_V
1216 marriage en G_N
1217 waala hi G_PRT
1218 ladka hi G_N
1219 that en G_PRP
1220 she's en G_N
1221 a en DT
1222 virgin en G_N
1223 for en PSP
1224 his en DT
1225 peace en G_N
1226 of en PSP
1227 mind en G_N
1228 . univ G_X
1229 #### #### ####
1230 Office en G_N
1231 me hi PSP
1232 junior en G_N
1233 ko hi PSP
1234 time en G_N
1235 dena hi G_N
1236 parta hi G_V
1237 hai hi G_V
1238 isi hi G_PRP
1239 lye hi PSP
1240 ghar hi G_N
1241 pe hi PSP
1242 kaam hi G_N
1243 karna hi G_N
1244 parta hi G_V
1245 hai hi G_V
1246 . univ G_X
1247 #### #### ####
1248 @realpreityzinta univ @
1249 CRICKET en G_N
1250 Please en G_R
1251 Aaj hi G_R
1252 KHUSHI hi G_N
1253 KA hi PSP
1254 MAUKA hi G_N
1255 MAUKA hi G_N
1256 MAUKA hi G_N
1257 Hai hi G_V
1258 😄😄 univ E
1259 Love en G_V
1260 u en G_PRP
1261 PZ en G_R
1262 😘😘😘 univ E
1263 love en G_V
1264 ur en G_PRP
1265 dimple en G_N
1266 #IndvsSA univ #
1267 #pzsundaychat univ #
1268 #### #### ####
1269 Nothing en G_N
