id	tag	word	label	prev_label
402	G_X	:	univ	en
403	G_SYM	ek	hi	univ
404	G_SYM	100ka	univ	hi
405	G_V	Recharge	en	univ
406	G_V	Krwa	hi	en
407	G_V	Do	hi	hi
408	G_R	Plz	en	hi
409	G_X	...	univ	en
410	U	http://t.co/lGuAKigGOX	univ	univ
411	@	@kkundra	univ	
412	G_PRT	lol	univ	univ
413	G_N	ladki	hi	univ
414	G_V	mil	hi	hi
415	G_V	gyi	hi	hi
416	G_X	..	univ	hi
417	G_N	Martina	ne	univ
418	G_R	here	en	ne
419	G_PRP	you	en	en
420	G_V	go	en	en
421	G_N	girl	en	en
422	G_X	..	univ	en
423	G_PRT	hahha	univ	univ
424	G_PRT	shit	en	univ
425	#	#Roadies	univ	en
426	G_N	Boy	en	
427	G_X	:	univ	en
428	G_X	-	univ	univ
429	G_PRP	I	en	univ
430	G_V	Love	en	en
431	G_PRP	You	en	en
432	G_X	,	univ	en
433	G_PRP	Tum	hi	univ
434	G_PRP	Is	hi	hi
435	G_N	Duniya	hi	hi
436	G_V	Ki	hi	hi
437	G_PRT	Sabse	hi	hi
438	G_J	Khubsurat	hi	hi
439	G_N	Ladki	hi	hi
440	PSP	Ho	hi	hi
441	G_N	Girl	en	hi
442	G_X	:	univ	en
443	G_X	-	univ	univ
444	PSP	Par	hi	univ
445	G_PRP	Tumhare	hi	hi
446	G_R	Peeche	hi	hi
447	CC	Toh	hi	hi
448	G_PRP	Mujhse	hi	hi
449	G_PRP	Bhi	hi	hi
450	G_SYM	Zyaada	hi	hi
451	G_X	...	univ	hi
452	U	http://t.co/mNVsAUACmR	univ	univ
453	G_X	double_quotes	univ	
454	G_PRP	jab	hi	univ
455	G_PRP	koi	hi	hi
456	G_N	ladki	hi	hi
457	G_PRT	na	hi	hi
458	G_V	kehti	hi	hi
459	G_V	hai	hi	hi
460	G_X	,	univ	hi
461	CC	toh	hi	univ
462	G_PRP	uska	hi	hi
463	G_N	matlab	hi	hi
464	G_PRT	na	hi	hi
465	G_PRT	hi	hi	hi
466	G_V	hota	hi	hi
467	G_V	hai	hi	hi
468	G_X	(	univ	hi
469	G_R	when	en	univ
470	DT	a	en	en
471	G_N	girl	en	en
472	G_V	says	en	en
473	G_PRT	no	en	en
474	G_X	,	univ	en
475	G_PRP	it	en	univ
476	G_R	only	en	en
477	G_V	means	en	en
478	G_PRT	no	en	en
479	G_X	)	univ	en
480	G_X	double_quotes	univ	univ
481	#	#soimportant	univ	univ
482	U	http://t.co/CkAMzmhH1g	univ	univ
483	G_SYM	Ek	hi	
484	G_J	Buri	hi	hi
485	G_N	Ladki	hi	hi
486	G_X	(	univ	hi
487	DT	A	en	univ
488	G_J	Bad	en	en
489	G_N	Girl	en	en
490	G_X	)	univ	en
491	U	http://t.co/koPv0s5kha	univ	univ
492	PSP	via	en	univ
493	@	@imgur	univ	en
494	G_PRT	BAHAHA	univ	univ
495	G_X	.	univ	univ
496	G_PRP	I	en	univ
497	G_V	guess	en	en
498	G_N	I'm	en	en
499	DT	a	en	en
500	#	#badgirl	univ	en
501	E	:P	univ	univ
502	#	#whatajoke	univ	univ
503	#	#loadofcrap	univ	univ
504	G_J	Brlnt	en	
505	G_N	Ans	en	en
506	PSP	By	en	en
507	G_N	bf	en	en
508	PSP	on	en	en
509	G_N	Brk	en	en
510	PSP	Up	en	en
511	G_X	.	univ	en
512	G_N	Girl	en	univ
513	G_X	;	univ	en
514	G_PRP	Tmhe	hi	univ
515	G_PRP	Mere	hi	hi
516	G_R	Jaisi	hi	hi
517	G_N	Ladki	hi	hi
518	G_PRT	Nahi	hi	hi
519	G_V	Milegi	hi	hi
520	G_X	.	univ	hi
521	G_N	Boy	en	univ
522	G_V	Chil	en	en
523	G_N	swthrt	en	en
524	G_PRP	Mjhe	hi	en
525	G_PRP	Tu	hi	hi
526	PSP	Hi	hi	hi
527	G_PRT	Ni	hi	hi
528	G_N	Psnd	hi	hi
529	CC	To	hi	hi
530	G_PRP	Teri	hi	hi
531	PSP	Jaise	hi	hi
532	G_PRP	Kyu	hi	hi
533	G_V	dhudunga	hi	hi
534	G_N	Yaar	hi	
535	G_SYM	ek	hi	hi
536	G_N	ladki	hi	hi
537	G_V	hai	hi	hi
538	G_X	!	univ	hi
539	G_N	Haan	hi	univ
540	G_X	!	univ	hi
541	G_N	Sachi	hi	univ
542	G_X	!	univ	hi
543	G_SYM	Ek	hi	univ
544	G_J	naya	hi	hi
545	G_N	crush	en	hi
546	G_X	!	univ	en
547	G_X	💞	univ	univ
548	G_PRT	Aree	hi	univ
549	G_N	yaar	hi	hi
550	G_N	sachi	hi	hi
551	G_X	!	univ	hi
552	G_R	Okay	en	univ
553	G_V	check	en	en
554	G_PRT	out	en	en
555	@	@ZaalimGF	univ	en
556	G_N	trailer	en	univ
557	G_PRP	This	en	en
558	G_N	girl-	en	en
559	@	@meprachimishra	univ	en
560	#	#gorgeous	univ	univ
561	G_X	👰	univ	univ
562	@	@tehseenp	univ	
563	@	@bwoyblunder	univ	univ
564	@	@PMOIndia	univ	univ
565	@	@narendramodi	univ	univ
566	G_N	bhai	hi	univ
567	G_PRP	mere	hi	hi
568	G_N	office	en	hi
569	PSP	me	hi	en
570	G_N	receptionist	en	hi
571	PSP	ki	hi	en
572	G_N	position	en	hi
573	G_V	khaali	hi	en
574	G_V	hai	hi	hi
575	G_X	.	univ	hi
576	G_SYM	kuch	hi	univ
577	G_N	kaam	hi	hi
578	G_PRT	nahi	hi	hi
579	G_PRT	to	hi	hi
580	G_V	lagwa	hi	hi
581	G_V	dun	hi	hi
582	G_N	naukri	hi	hi
583	G_X	?	univ	hi
584	@	@praktabh	univ	
585	G_N	abe	hi	univ
586	G_N	office	en	hi
587	PSP	me	hi	en
588	G_V	kaam	hi	hi
589	G_V	kr	hi	hi
590	G_X	..	univ	hi
591	G_PRT	nahi	hi	univ
592	G_PRT	to	hi	hi
593	G_N	boss	en	hi
594	G_PRT	gand	hi	en
595	PSP	pe	hi	hi
596	G_V	laat	hi	hi
597	G_V	maar	hi	hi
598	PSP	k	hi	hi
599	G_V	bhaga	hi	hi
600	G_V	dega	hi	hi
601	@	@Ujala4u	univ	
602	G_PRT	haaha	hi	univ
603	G_X	..	univ	hi
604	G_PRP	hum	hi	univ
605	G_PRP	aisy	hi	hi
606	G_PRT	he	hi	hi
607	G_V	hai	hi	hi
608	G_N	biwi	hi	hi
609	G_N	office	en	hi
610	PSP	mein	hi	en
611	G_N	kaam	hi	hi
612	G_PRP	kion	hi	hi
613	G_V	kry	hi	hi
614	G_X	..	univ	hi
615	G_PRT	hahah	univ	univ
616	@	@Dawoodnusrat	univ	
617	G_N	bus	en	univ
618	G_N	office	en	en
619	G_PRT	he	hi	en
620	G_V	hn	hi	hi
621	G_X	,	univ	hi
622	G_N	Sat	en	univ
623	G_SYM	thora	hi	en
624	G_J	thanda	hi	hi
625	G_N	hota	hi	hi
626	G_V	hay	hi	hi
627	G_N	kaam	hi	hi
628	PSP	k	hi	hi
629	G_N	point	en	hi
630	PSP	of	en	en
631	G_N	view	en	en
632	PSP	say	hi	en
633	G_PRP	you	en	hi
634	G_V	know	en	en
635	E	:)	univ	en
636	@	@siyal_khan	univ	
637	G_N	office	en	univ
638	G_PRP	abb	hi	en
639	G_PRP	hum	hi	hi
640	G_SYM	sub	hi	hi
641	G_V	kaam	hi	hi
642	G_V	karty	hi	hi
643	G_PRP	koi	hi	hi
644	G_N	uni	hi	hi
645	G_N	clg	en	hi
646	G_PRT	nae	hi	en
647	G_V	jata	hi	hi
648	G_PRP	mere	hi	hi
649	G_N	ghar	hi	hi
650	G_X	“	univ	
651	@	@RamgarhKaJai	univ	univ
652	G_X	:	univ	univ
653	G_N	Office	en	univ
654	G_N	bhi	hi	en
655	G_PRP	koi	hi	hi
656	G_N	kaam	hi	hi
657	G_V	karne	hi	hi
658	PSP	ki	hi	hi
659	G_N	jagah	hi	hi
660	G_V	hai	hi	hi
661	G_N	bhala	hi	hi
662	G_X	?	univ	hi
663	G_X	”	univ	univ
664	G_PRT	Nahi	hi	univ
665	G_X	.	univ	hi
666	G_N	Tabela	hi	univ
667	G_V	is	hi	hi
668	G_J	better	en	hi
669	G_X	.	univ	en
670	G_V	Chalo	hi	univ
671	G_PRP	waha	hi	hi
672	G_V	chale	hi	hi
673	G_X	.	univ	hi
674	@	@eqrab	univ	
675	@	@HajraAbbottaba	univ	univ
676	@	@AnjumIqbalPTI	univ	univ
677	G_PRT	Array	hi	univ
678	G_N	yar	hi	hi
679	G_N	hans	hi	hi
680	G_V	kar	hi	hi
681	G_N	dil	hi	hi
682	G_PRT	na	hi	hi
683	G_N	jalao	hi	hi
684	G_R	abhi	hi	hi
685	G_SYM	sara	hi	hi
686	G_N	din	hi	hi
687	G_N	office	en	hi
688	PSP	main	hi	en
689	G_PRP	bhi	hi	hi
690	G_N	kaam	hi	hi
691	G_N	karna	hi	hi
692	G_V	hay	hi	hi
693	G_PRT	Yar	hi	
694	G_N	Saturday	en	hi
695	PSP	ko	hi	en
696	G_PRP	kon	hi	hi
697	G_N	kaam	hi	hi
698	G_V	krta	hi	hi
699	G_V	hai	hi	hi
700	G_X	..	univ	hi
701	G_PRT	ullu	hi	univ
702	PSP	k	hi	hi
703	G_PRT	phatay	hi	hi
704	E	😠	univ	hi
705	G_PRP	I	en	univ
706	G_V	can	en	en
707	G_V	watch	en	en
708	G_N	Pakistan	ne	en
709	G_V	loosing	en	ne
710	PSP	at	en	en
711	G_N	home	en	en
712	G_PRT	not	en	en
713	PSP	in	en	en
714	G_J	fucking	en	en
715	G_N	office	en	en
716	E	😩	univ	en
717	@	@Liaqat842	univ	
718	G_PRP	tum	hi	univ
719	G_J	sahi	hi	hi
720	G_V	keh	hi	hi
721	G_V	rhy	hi	hi
722	G_V	thy	hi	hi
723	G_PRP	yeh	hi	hi
724	G_SYM	zayda	hi	hi
725	G_J	buri	hi	hi
726	G_N	timings	en	hi
727	G_V	hain	hi	en
728	$	3	univ	hi
729	PSP	wali	hi	univ
730	G_N	match	en	hi
731	PSP	ki😳	hi	en
732	G_N	subah	hi	hi
733	G_J	purany	hi	hi
734	G_N	office	en	hi
735	PSP	bhi	hi	en
736	G_V	jna	hi	hi
737	G_V	hai	hi	hi
738	G_N	kaam	hi	hi
739	G_V	hai	hi	hi
740	E	😏	univ	hi
741	@	@ChocolateCharsi	univ	
742	DT	no	en	univ
743	G_N	office	en	en
744	G_N	hours	en	en
745	G_X	!	univ	en
746	G_SYM	Saara	hi	univ
747	G_N	kaam	hi	hi
748	G_N	ghar	hi	hi
749	PSP	per	hi	hi
750	@	@hardik	univ	
751	@	@ImpatientWoman	univ	univ
752	G_PRT	Arey	hi	univ
753	G_N	jagah	hi	hi
754	G_R	kahan	hi	hi
755	G_V	hai	hi	hi
756	G_N	office	en	hi
757	PSP	main	hi	en
758	G_X	?	univ	hi
759	G_SYM	Sab	hi	univ
760	G_N	kaam	hi	hi
761	G_J	chalu	hi	hi
762	G_V	hai	hi	hi
763	@	@FaslaRakhein	univ	
764	G_N	dad	en	univ
765	G_N	office	en	en
766	PSP	k	hi	en
767	G_N	kaam	hi	hi
768	PSP	me	hi	hi
769	G_J	phasay	hi	hi
770	G_V	hue	hi	hi
771	G_V	hen	hi	hi
772	G_X	..	univ	hi
773	$	9	univ	univ
774	G_X	,	univ	univ
775	$	9.3	univ	univ
776	PSP	tak	hi	univ
777	G_V	aa	hi	hi
778	G_V	jae	hi	hi
779	G_V	ge	hi	hi
780	G_X	...	univ	hi
781	E	😒😒	univ	univ
782	G_PRP	Yaha	hi	univ
783	G_V	wait	en	hi
784	PSP	hi	hi	en
785	G_PRT	nai	hi	hi
786	G_V	ho	hi	hi
787	G_V	raha	hi	hi
788	G_X	..	univ	hi
789	E	😒😒😕	univ	univ
790	@	@BeingSkChetan	univ	
791	G_PRT	hmmm	univ	univ
792	E	😳	univ	univ
793	G_N	Office	en	univ
794	PSP	me	hi	en
795	G_V	tweet	en	hi
796	G_V	karre	hi	en
797	G_V	lai	hi	hi
798	G_X	?	univ	hi
799	G_R	Phir	hi	univ
800	G_PRT	toh	hi	hi
801	G_N	kaam	hi	hi
802	G_N	der	hi	hi
803	PSP	se	hi	hi
804	G_J	khatam	hi	hi
805	G_V	hone	hi	hi
806	PSP	ko	hi	hi
807	G_V	hai	hi	hi
808	G_X	!	univ	hi
809	E	😂😂😂	univ	univ
810	@	@FanSidharth	univ	
811	G_PRP	Muje	hi	univ
812	G_V	dekhne	hi	hi
813	PSP	ke	hi	hi
814	PSP	liye	hi	hi
815	G_N	time	en	hi
816	G_R	nhi	hi	en
817	G_V	milta	hi	hi
818	G_V	hai	hi	hi
819	G_V	re	hi	hi
820	G_X	.	univ	hi
821	G_PRP	Kya	hi	univ
822	G_V	karu	hi	hi
823	G_V	bata	hi	hi
824	G_PRT	biddu	hi	hi
825	G_PRP	tu	hi	hi
826	G_V	bata	hi	hi
827	G_X	?	univ	hi
828	G_N	Office	en	univ
829	PSP	me	hi	en
830	G_N	kaam	hi	hi
831	G_PRT	bhi	hi	hi
832	G_V	hai	hi	hi
833	G_V	bole	hi	hi
834	G_PRT	to	hi	hi
835	@	@SniperSpot	univ	
836	@	@SansadBhawan	univ	univ
837	@	@AkshayA80203737	univ	univ
838	@	@Ek_AAPtard	univ	univ
839	@	@sanat397	univ	univ
840	G_N	Jhaadu	hi	univ
841	PSP	se	hi	hi
842	G_N	kaam	hi	hi
843	G_PRT	nahi	hi	hi
844	G_V	chala	hi	hi
845	G_PRT	tou	hi	hi
846	G_R	ab	hi	hi
847	G_PRP	tujhe	hi	hi
848	G_N	muli	hi	hi
849	G_V	chahiye	hi	hi
850	G_X	?	univ	hi
851	G_PRT	Gaand	hi	univ
852	G_V	hai	hi	hi
853	CC	ya	hi	hi
854	G_N	office	en	hi
855	G_X	?	univ	en
856	G_V	Keep	en	
857	G_J	calm	en	en
858	CC	and	en	en
859	G_V	keep	en	en
860	G_N	kaam	hi	en
861	PSP	se	hi	hi
862	G_N	kaam	hi	hi
863	G_X	!!!	univ	hi
864	#	#office	univ	univ
865	#	#tgif	univ	univ
866	#	#nametag	univ	univ
867	#	#buddha	univ	univ
868	#	#SouvenirFromManali	univ	univ
869	#	#keepcalm	univ	univ
870	U	http://t.co/qg7KrE3RMN	univ	univ
871	G_PRP	Tere	hi	
872	G_N	office	en	hi
873	PSP	me	en	en
874	G_PRP	koi	hi	en
875	G_N	kaam	hi	hi
876	G_N	dandha	hi	hi
877	G_PRT	nai	hi	hi
878	G_V	hai	hi	hi
879	G_R	lagta	hi	hi
880	E	:P	univ	hi
881	@	@aru36629	univ	
882	G_PRT	haha	univ	univ
883	G_V	smjh	hi	univ
884	G_V	gyi	hi	hi
885	G_PRP	mai	hi	hi
886	G_R	accha	hi	hi
887	G_PRP	tum	hi	hi
888	G_N	office	en	hi
889	PSP	se	hi	en
890	G_N	aane	hi	hi
891	PSP	ke	hi	hi
892	G_N	baad	hi	hi
893	G_PRP	kya	hi	hi
894	G_V	krti	hi	hi
895	G_V	ho	hi	hi
896	G_X	?	univ	hi
897	@	@khusshhagrawal	univ	
898	G_V	can't	en	univ
899	G_V	wait	en	en
900	G_PRT	yaar	hi	en
901	G_X	.	univ	hi
902	G_N	I'm	en	univ
903	PSP	in	en	en
904	G_N	office	en	en
905	G_X	.	univ	en
906	G_R	Accha	hi	univ
907	G_R	atleast	en	hi
908	G_V	give	en	en
909	G_PRP	me	en	en
910	DT	some	en	en
911	G_N	hint	en	en
912	G_X	*	univ	en
913	G_PRP	Maine	hi	univ
914	G_PRT	bhi	hi	hi
915	G_V	diya	hi	hi
916	G_V	tha	hi	hi
917	E	:p	univ	hi
918	G_R	accha	hi	
919	G_PRP	i	en	hi
920	G_V	should	en	en
